Period Ending:,202230/11,202130/11,202030/11,201930/11
Total Revenue,3256,2732,2266.99,2297.25
"Revenue 3256 2732.77 2266.99 2297.25  Other Revenue, Total - - - -","Revenue 3256 2732.77 2266.99 2297.25  Other Revenue, Total - - - -","Revenue 3256 2732.77 2266.99 2297.25  Other Revenue, Total - - - -","Revenue 3256 2732.77 2266.99 2297.25  Other Revenue, Total - - - -","Revenue 3256 2732.77 2266.99 2297.25  Other Revenue, Total - - - -"
Revenue,3256,2732.77,2266.99,2297.25
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",2243,1947.23,1590.09,1666.65
Gross Profit,1013,785.54,676.91,630.6
Total Operating Expenses,2638,2319.82,1962.38,2027.54
"Selling/General/Admin. Expenses, Total 357 343.99 354.86 341.31  Research & Development 36 26.17 15.21 17.29  Depreciation / Amortization 5 2.42 2.22 2.3  Interest Expense (Income) - Net Operating -0.146 - - -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total -3 - - -","Selling/General/Admin. Expenses, Total 357 343.99 354.86 341.31  Research & Development 36 26.17 15.21 17.29  Depreciation / Amortization 5 2.42 2.22 2.3  Interest Expense (Income) - Net Operating -0.146 - - -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total -3 - - -","Selling/General/Admin. Expenses, Total 357 343.99 354.86 341.31  Research & Development 36 26.17 15.21 17.29  Depreciation / Amortization 5 2.42 2.22 2.3  Interest Expense (Income) - Net Operating -0.146 - - -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total -3 - - -","Selling/General/Admin. Expenses, Total 357 343.99 354.86 341.31  Research & Development 36 26.17 15.21 17.29  Depreciation / Amortization 5 2.42 2.22 2.3  Interest Expense (Income) - Net Operating -0.146 - - -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total -3 - - -","Selling/General/Admin. Expenses, Total 357 343.99 354.86 341.31  Research & Development 36 26.17 15.21 17.29  Depreciation / Amortization 5 2.42 2.22 2.3  Interest Expense (Income) - Net Operating -0.146 - - -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total -3 - - -"
"Selling/General/Admin. Expenses, Total",357,343.99,354.86,341.31
Research & Development,36,26.17,15.21,17.29
Depreciation / Amortization,5,2.42,2.22,2.3
Interest Expense (Income) - Net Operating,-0.146,-,-,-
Unusual Expense (Income),-,-,-,-
"Other Operating Expenses, Total",-3,-,-,-
Operating Income,618,412.95,304.62,269.71
"Interest Income (Expense), Net Non-Operating",-,-,-,-0.11
Gain (Loss) on Sale of Assets,-,-,-,-
"Other, Net",-7,6.38,-0.19,0.25
Net Income Before Taxes,625,419.33,304.43,269.85
Provision for Income Taxes,185,124.76,68.17,85.84
Net Income After Taxes,440,294.57,236.26,184.01
Minority Interest,-,-,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,440,294.57,236.26,184.01
Total Extraordinary Items,-,-,-,-
Net Income,440,294.57,236.26,184.01
Total Adjustments to Net Income,-,-0,-0,-0
Income Available to Common Excluding Extraordinary Items,440,294.57,236.26,184.01
Dilution Adjustment,-,-,-,-
Diluted Net Income,440,294.57,236.26,184.01
Diluted Weighted Average Shares,7.66,7.75,7.18,6.32
Diluted EPS Excluding Extraordinary Items,57.41,38.02,32.92,29.1
DPS - Common Stock Primary Issue,6,4,3.38,-
Diluted Normalized EPS,50.97,38.02,32.92,29.1
