Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,225175,216823,209226,227231
"Revenue 225175 216823 209226 227231  Other Revenue, Total - - - -","Revenue 225175 216823 209226 227231  Other Revenue, Total - - - -","Revenue 225175 216823 209226 227231  Other Revenue, Total - - - -","Revenue 225175 216823 209226 227231  Other Revenue, Total - - - -","Revenue 225175 216823 209226 227231  Other Revenue, Total - - - -"
Revenue,225175,216823,209226,227231
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",189245,181709,175664,191727
Gross Profit,35930,35114,33562,35504
Total Operating Expenses,215880,206253,198746,215312
"Selling/General/Admin. Expenses, Total 26635 24544 23082 22668  Research & Development - 2282 2356 2401  Depreciation / Amortization 5321 5564 5768 -  Interest Expense (Income) - Net Operating -273 -205 -207 -  Unusual Expense (Income) - -76 1725 917  Other Operating Expenses, Total -7524 -7641 -7917 -","Selling/General/Admin. Expenses, Total 26635 24544 23082 22668  Research & Development - 2282 2356 2401  Depreciation / Amortization 5321 5564 5768 -  Interest Expense (Income) - Net Operating -273 -205 -207 -  Unusual Expense (Income) - -76 1725 917  Other Operating Expenses, Total -7524 -7641 -7917 -","Selling/General/Admin. Expenses, Total 26635 24544 23082 22668  Research & Development - 2282 2356 2401  Depreciation / Amortization 5321 5564 5768 -  Interest Expense (Income) - Net Operating -273 -205 -207 -  Unusual Expense (Income) - -76 1725 917  Other Operating Expenses, Total -7524 -7641 -7917 -","Selling/General/Admin. Expenses, Total 26635 24544 23082 22668  Research & Development - 2282 2356 2401  Depreciation / Amortization 5321 5564 5768 -  Interest Expense (Income) - Net Operating -273 -205 -207 -  Unusual Expense (Income) - -76 1725 917  Other Operating Expenses, Total -7524 -7641 -7917 -","Selling/General/Admin. Expenses, Total 26635 24544 23082 22668  Research & Development - 2282 2356 2401  Depreciation / Amortization 5321 5564 5768 -  Interest Expense (Income) - Net Operating -273 -205 -207 -  Unusual Expense (Income) - -76 1725 917  Other Operating Expenses, Total -7524 -7641 -7917 -"
"Selling/General/Admin. Expenses, Total",26635,24544,23082,22668
Research & Development,-,2282,2356,2401
Depreciation / Amortization,5321,5564,5768,-
Interest Expense (Income) - Net Operating,-273,-205,-207,-
Unusual Expense (Income),-,-76,1725,917
"Other Operating Expenses, Total",-7524,-7641,-7917,-
Operating Income,9295,10570,10480,11919
"Interest Income (Expense), Net Non-Operating",-,1252,886,411
Gain (Loss) on Sale of Assets,406,-131,-391,-456
"Other, Net",-1313,-987,1863,-701
Net Income Before Taxes,10202,11688,9008,11173
Provision for Income Taxes,2441,4474,3418,3744
Net Income After Taxes,7761,7214,5590,7429
Minority Interest,1692,1795,893,-49
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,7313,6907,5487,7380
Total Extraordinary Items,-,-,-,-
Net Income,7313,6907,5487,7380
Total Adjustments to Net Income,-,-,-,-2
Income Available to Common Excluding Extraordinary Items,7313,6907,5487,7378
Dilution Adjustment,-,-,-,-
Diluted Net Income,7313,6907,5487,7378
Diluted Weighted Average Shares,65.89,65.81,65.74,65.23
Diluted EPS Excluding Extraordinary Items,110.99,104.96,83.46,113.11
DPS - Common Stock Primary Issue,45,42,38,42
Diluted Normalized EPS,87.12,107.61,104.73,127.1
