Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,8804,8691,7764.39,7460.93
"Revenue 8738 8631 7764.39 7460.93  Other Revenue, Total 66 60 - -","Revenue 8738 8631 7764.39 7460.93  Other Revenue, Total 66 60 - -","Revenue 8738 8631 7764.39 7460.93  Other Revenue, Total 66 60 - -","Revenue 8738 8631 7764.39 7460.93  Other Revenue, Total 66 60 - -","Revenue 8738 8631 7764.39 7460.93  Other Revenue, Total 66 60 - -"
Revenue,8738,8631,7764.39,7460.93
"Other Revenue, Total",66,60,-,-
"Cost of Revenue, Total",2524,2485,1891.67,1851.92
Gross Profit,6280,6206,5872.72,5609.01
Total Operating Expenses,6783,6540,6144.61,5991.8
"Selling/General/Admin. Expenses, Total 4259 3929 3814.02 3724.34  Research & Development - 463 332.43 311.14  Depreciation / Amortization 281 215 105.37 103.93  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - 159.42 1.11 0.47  Other Operating Expenses, Total -638 -552 - -","Selling/General/Admin. Expenses, Total 4259 3929 3814.02 3724.34  Research & Development - 463 332.43 311.14  Depreciation / Amortization 281 215 105.37 103.93  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - 159.42 1.11 0.47  Other Operating Expenses, Total -638 -552 - -","Selling/General/Admin. Expenses, Total 4259 3929 3814.02 3724.34  Research & Development - 463 332.43 311.14  Depreciation / Amortization 281 215 105.37 103.93  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - 159.42 1.11 0.47  Other Operating Expenses, Total -638 -552 - -","Selling/General/Admin. Expenses, Total 4259 3929 3814.02 3724.34  Research & Development - 463 332.43 311.14  Depreciation / Amortization 281 215 105.37 103.93  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - 159.42 1.11 0.47  Other Operating Expenses, Total -638 -552 - -","Selling/General/Admin. Expenses, Total 4259 3929 3814.02 3724.34  Research & Development - 463 332.43 311.14  Depreciation / Amortization 281 215 105.37 103.93  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - 159.42 1.11 0.47  Other Operating Expenses, Total -638 -552 - -"
"Selling/General/Admin. Expenses, Total",4259,3929,3814.02,3724.34
Research & Development,-,463,332.43,311.14
Depreciation / Amortization,281,215,105.37,103.93
Interest Expense (Income) - Net Operating,-,-,-,-
Unusual Expense (Income),-,159.42,1.11,0.47
"Other Operating Expenses, Total",-638,-552,-,-
Operating Income,2021,2151,1619.78,1469.13
"Interest Income (Expense), Net Non-Operating",-,4.74,4.12,4.4
Gain (Loss) on Sale of Assets,-2,-1,-,-
"Other, Net",-124,133,33.54,18.37
Net Income Before Taxes,2147,2019,1657.45,1491.91
Provision for Income Taxes,587,626,488.26,456.36
Net Income After Taxes,1560,1393,1169.19,1035.55
Minority Interest,-,-,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,1560,1393,1169.19,1035.55
Total Extraordinary Items,-,-,-,-
Net Income,1560,1393,1169.19,1035.55
Total Adjustments to Net Income,-,-,-,-
Income Available to Common Excluding Extraordinary Items,1560,1393,1169.19,1035.55
Dilution Adjustment,-,-,-,-
Diluted Net Income,1560,1393,1169.19,1035.55
Diluted Weighted Average Shares,23.6,23.41,23.83,23.83
Diluted EPS Excluding Extraordinary Items,66.11,59.5,48.85,43.45
DPS - Common Stock Primary Issue,-,20,14.88,14.88
Diluted Normalized EPS,56.07,58.14,43.3,43.46
