Period Ending:,202231/03,202131/03,202031/03,201931/03
Total Revenue,12570.78,11343.25,12209.17,14080.23
"Revenue 12570.78 11343.25 12209.17 14080.23  Other Revenue, Total - - - -","Revenue 12570.78 11343.25 12209.17 14080.23  Other Revenue, Total - - - -","Revenue 12570.78 11343.25 12209.17 14080.23  Other Revenue, Total - - - -","Revenue 12570.78 11343.25 12209.17 14080.23  Other Revenue, Total - - - -","Revenue 12570.78 11343.25 12209.17 14080.23  Other Revenue, Total - - - -"
Revenue,12570.78,11343.25,12209.17,14080.23
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",9895.53,9277.58,10135.83,11228.79
Gross Profit,2675.25,2065.67,2073.34,2851.44
Total Operating Expenses,11911.52,11025.28,12040.33,13538.82
"Selling/General/Admin. Expenses, Total 1567.83 1390.96 1511.85 1686.61  Research & Development 315.25 280.45 376.21 297.37  Depreciation / Amortization 47.03 41.05 45.34 41.31  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) 85.89 35.24 -28.9 284.73  Other Operating Expenses, Total - - - -","Selling/General/Admin. Expenses, Total 1567.83 1390.96 1511.85 1686.61  Research & Development 315.25 280.45 376.21 297.37  Depreciation / Amortization 47.03 41.05 45.34 41.31  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) 85.89 35.24 -28.9 284.73  Other Operating Expenses, Total - - - -","Selling/General/Admin. Expenses, Total 1567.83 1390.96 1511.85 1686.61  Research & Development 315.25 280.45 376.21 297.37  Depreciation / Amortization 47.03 41.05 45.34 41.31  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) 85.89 35.24 -28.9 284.73  Other Operating Expenses, Total - - - -","Selling/General/Admin. Expenses, Total 1567.83 1390.96 1511.85 1686.61  Research & Development 315.25 280.45 376.21 297.37  Depreciation / Amortization 47.03 41.05 45.34 41.31  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) 85.89 35.24 -28.9 284.73  Other Operating Expenses, Total - - - -","Selling/General/Admin. Expenses, Total 1567.83 1390.96 1511.85 1686.61  Research & Development 315.25 280.45 376.21 297.37  Depreciation / Amortization 47.03 41.05 45.34 41.31  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) 85.89 35.24 -28.9 284.73  Other Operating Expenses, Total - - - -"
"Selling/General/Admin. Expenses, Total",1567.83,1390.96,1511.85,1686.61
Research & Development,315.25,280.45,376.21,297.37
Depreciation / Amortization,47.03,41.05,45.34,41.31
Interest Expense (Income) - Net Operating,-,-,-,-
Unusual Expense (Income),85.89,35.24,-28.9,284.73
"Other Operating Expenses, Total",-,-,-,-
Operating Income,659.26,317.97,168.84,541.41
"Interest Income (Expense), Net Non-Operating",379.07,85.69,93.29,93.62
Gain (Loss) on Sale of Assets,-3.18,-3.5,-4.35,-2.4
"Other, Net",81.4,65.75,41.46,61.13
Net Income Before Taxes,1116.54,465.91,299.24,693.77
Provision for Income Taxes,359.02,132.14,300.06,224.3
Net Income After Taxes,757.52,333.76,-0.82,469.47
Minority Interest,-,-,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,757.52,333.76,-0.82,469.47
Total Extraordinary Items,-,-,-,-
Net Income,757.52,333.76,-0.82,469.47
Total Adjustments to Net Income,-,-,-,-0
Income Available to Common Excluding Extraordinary Items,757.52,333.76,-0.82,469.47
Dilution Adjustment,-,-,-,-
Diluted Net Income,757.52,333.76,-0.82,469.47
Diluted Weighted Average Shares,10.27,10.27,10.27,10.27
Diluted EPS Excluding Extraordinary Items,73.73,32.48,-0.08,45.69
DPS - Common Stock Primary Issue,12,12,12,12
Diluted Normalized EPS,79.61,35.19,-1.63,64.6
