Period Ending:,202231/03,202131/03,202031/03,Unnamed: 4
Total Revenue,2266.28,1813.21,1756.43,-
"Revenue 2266.28 1813.21 1756.43 -  Other Revenue, Total - - - -","Revenue 2266.28 1813.21 1756.43 -  Other Revenue, Total - - - -","Revenue 2266.28 1813.21 1756.43 -  Other Revenue, Total - - - -","Revenue 2266.28 1813.21 1756.43 -  Other Revenue, Total - - - -","Revenue 2266.28 1813.21 1756.43 -  Other Revenue, Total - - - -"
Revenue,2266.28,1813.21,1756.43,-
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",1045.44,914.94,823.97,-
Gross Profit,1220.84,898.27,932.46,-
Total Operating Expenses,2115.17,1876.37,1879.07,-
"Selling/General/Admin. Expenses, Total 1070.34 921.21 907.07 -  Research & Development - - 134.53 -  Depreciation / Amortization - 16.42 13.5 -  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) -0.62 23.8 - -  Other Operating Expenses, Total - - - -","Selling/General/Admin. Expenses, Total 1070.34 921.21 907.07 -  Research & Development - - 134.53 -  Depreciation / Amortization - 16.42 13.5 -  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) -0.62 23.8 - -  Other Operating Expenses, Total - - - -","Selling/General/Admin. Expenses, Total 1070.34 921.21 907.07 -  Research & Development - - 134.53 -  Depreciation / Amortization - 16.42 13.5 -  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) -0.62 23.8 - -  Other Operating Expenses, Total - - - -","Selling/General/Admin. Expenses, Total 1070.34 921.21 907.07 -  Research & Development - - 134.53 -  Depreciation / Amortization - 16.42 13.5 -  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) -0.62 23.8 - -  Other Operating Expenses, Total - - - -","Selling/General/Admin. Expenses, Total 1070.34 921.21 907.07 -  Research & Development - - 134.53 -  Depreciation / Amortization - 16.42 13.5 -  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) -0.62 23.8 - -  Other Operating Expenses, Total - - - -"
"Selling/General/Admin. Expenses, Total",1070.34,921.21,907.07,-
Research & Development,-,-,134.53,-
Depreciation / Amortization,-,16.42,13.5,-
Interest Expense (Income) - Net Operating,-,-,-,-
Unusual Expense (Income),-0.62,23.8,-,-
"Other Operating Expenses, Total",-,-,-,-
Operating Income,151.11,-63.15,-122.64,-
"Interest Income (Expense), Net Non-Operating",-0.98,-1.01,-0.55,-
Gain (Loss) on Sale of Assets,-,-7.61,-2.98,-
"Other, Net",-9.77,11.02,0.94,-
Net Income Before Taxes,140.37,-60.75,-125.23,-
Provision for Income Taxes,-35.2,2.43,-32.55,-
Net Income After Taxes,175.57,-63.18,-92.67,-
Minority Interest,-,-,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,175.57,-63.18,-92.67,-
Total Extraordinary Items,-,-,-,-
Net Income,175.57,-63.18,-92.67,-
Total Adjustments to Net Income,-,-,-,-
Income Available to Common Excluding Extraordinary Items,175.57,-63.18,-92.67,-
Dilution Adjustment,-,-,-,-
Diluted Net Income,175.57,-63.18,-92.67,-
Diluted Weighted Average Shares,3.35,4.1,4.1,-
Diluted EPS Excluding Extraordinary Items,52.41,-15.41,-22.6,-
DPS - Common Stock Primary Issue,-,-,-,-
Diluted Normalized EPS,52.29,-10.43,-22.13,-
