Period Ending:,202131/10,202031/10,201931/10,Unnamed: 4
Total Revenue,1313.55,934.36,764.18,-
"Revenue 1313.55 934.36 764.18 -  Other Revenue, Total - - - -","Revenue 1313.55 934.36 764.18 -  Other Revenue, Total - - - -","Revenue 1313.55 934.36 764.18 -  Other Revenue, Total - - - -","Revenue 1313.55 934.36 764.18 -  Other Revenue, Total - - - -","Revenue 1313.55 934.36 764.18 -  Other Revenue, Total - - - -"
Revenue,1313.55,934.36,764.18,-
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",393.44,296.32,232.13,-
Gross Profit,920.11,638.04,532.05,-
Total Operating Expenses,1111.17,890.07,682.71,-
"Selling/General/Admin. Expenses, Total 690.06 563.27 426.28 -  Research & Development 19.95 26.06 19.28 -  Depreciation / Amortization 7.71 6.5 4.75 -  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - -2.09 0.27 -  Other Operating Expenses, Total - - - -","Selling/General/Admin. Expenses, Total 690.06 563.27 426.28 -  Research & Development 19.95 26.06 19.28 -  Depreciation / Amortization 7.71 6.5 4.75 -  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - -2.09 0.27 -  Other Operating Expenses, Total - - - -","Selling/General/Admin. Expenses, Total 690.06 563.27 426.28 -  Research & Development 19.95 26.06 19.28 -  Depreciation / Amortization 7.71 6.5 4.75 -  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - -2.09 0.27 -  Other Operating Expenses, Total - - - -","Selling/General/Admin. Expenses, Total 690.06 563.27 426.28 -  Research & Development 19.95 26.06 19.28 -  Depreciation / Amortization 7.71 6.5 4.75 -  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - -2.09 0.27 -  Other Operating Expenses, Total - - - -","Selling/General/Admin. Expenses, Total 690.06 563.27 426.28 -  Research & Development 19.95 26.06 19.28 -  Depreciation / Amortization 7.71 6.5 4.75 -  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - -2.09 0.27 -  Other Operating Expenses, Total - - - -"
"Selling/General/Admin. Expenses, Total",690.06,563.27,426.28,-
Research & Development,19.95,26.06,19.28,-
Depreciation / Amortization,7.71,6.5,4.75,-
Interest Expense (Income) - Net Operating,-,-,-,-
Unusual Expense (Income),-,-2.09,0.27,-
"Other Operating Expenses, Total",-,-,-,-
Operating Income,202.38,44.29,81.47,-
"Interest Income (Expense), Net Non-Operating",-2.55,-2.81,-1.78,-
Gain (Loss) on Sale of Assets,-0.12,-26.12,-3.5,-
"Other, Net",-9.36,0.08,19.93,-
Net Income Before Taxes,190.35,15.44,96.13,-
Provision for Income Taxes,60.8,4.01,22.12,-
Net Income After Taxes,129.54,11.43,74,-
Minority Interest,-,-,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,129.54,11.43,74,-
Total Extraordinary Items,-,-,-,-
Net Income,129.54,11.43,74,-
Total Adjustments to Net Income,-,-,-,-
Income Available to Common Excluding Extraordinary Items,129.54,11.43,74,-
Dilution Adjustment,-,-,-,-
Diluted Net Income,129.54,11.43,74,-
Diluted Weighted Average Shares,3.28,3.33,3.33,-
Diluted EPS Excluding Extraordinary Items,39.54,3.44,22.24,-
DPS - Common Stock Primary Issue,-,-,-,-
Diluted Normalized EPS,39.56,8.78,23.11,-
