Period Ending:,202331/01,202231/07,202231/01,202131/07
Total Revenue,5003.41,2371,2080,4131.41
"Revenue 4856 2371 - 4131.41  Other Revenue, Total 204.65 - - -","Revenue 4856 2371 - 4131.41  Other Revenue, Total 204.65 - - -","Revenue 4856 2371 - 4131.41  Other Revenue, Total 204.65 - - -","Revenue 4856 2371 - 4131.41  Other Revenue, Total 204.65 - - -","Revenue 4856 2371 - 4131.41  Other Revenue, Total 204.65 - - -"
Revenue,4856,2371,-,4131.41
"Other Revenue, Total",204.65,-,-,-
"Cost of Revenue, Total",2096,987,-,832.96
Gross Profit,2897.35,1384,-,3298.45
Total Operating Expenses,2283.97,1105,-,1984.94
"Selling/General/Admin. Expenses, Total 57.6 30 - 210.53  Research & Development - - - -  Depreciation / Amortization 1115.8 558 - 941.45  Interest Expense (Income) - Net Operating -338 -158 - -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total -782.41 -936 - -","Selling/General/Admin. Expenses, Total 57.6 30 - 210.53  Research & Development - - - -  Depreciation / Amortization 1115.8 558 - 941.45  Interest Expense (Income) - Net Operating -338 -158 - -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total -782.41 -936 - -","Selling/General/Admin. Expenses, Total 57.6 30 - 210.53  Research & Development - - - -  Depreciation / Amortization 1115.8 558 - 941.45  Interest Expense (Income) - Net Operating -338 -158 - -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total -782.41 -936 - -","Selling/General/Admin. Expenses, Total 57.6 30 - 210.53  Research & Development - - - -  Depreciation / Amortization 1115.8 558 - 941.45  Interest Expense (Income) - Net Operating -338 -158 - -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total -782.41 -936 - -","Selling/General/Admin. Expenses, Total 57.6 30 - 210.53  Research & Development - - - -  Depreciation / Amortization 1115.8 558 - 941.45  Interest Expense (Income) - Net Operating -338 -158 - -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total -782.41 -936 - -"
"Selling/General/Admin. Expenses, Total",57.6,30,-,210.53
Research & Development,-,-,-,-
Depreciation / Amortization,1115.8,558,-,941.45
Interest Expense (Income) - Net Operating,-338,-158,-,-
Unusual Expense (Income),-,-,-,-
"Other Operating Expenses, Total",-782.41,-936,-,-
Operating Income,2908,1266,-,2146.47
"Interest Income (Expense), Net Non-Operating",-,-,-,-303
Gain (Loss) on Sale of Assets,-,-,-,-
"Other, Net",528,498,-,-10.41
Net Income Before Taxes,2556,1100,-,1833.06
Provision for Income Taxes,1.62,-,-,1.8
Net Income After Taxes,2556,1100,-,1831.26
Minority Interest,-,-,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,2378.51,1100,-,1831.26
Total Extraordinary Items,-,-,-,-
Net Income,2378.51,1100,-,1831.26
Total Adjustments to Net Income,-,-,-,-0
Income Available to Common Excluding Extraordinary Items,2378.51,1100,-,1831.25
Dilution Adjustment,-,-,-,-
Diluted Net Income,2378.51,1100,-,1831.25
Diluted Weighted Average Shares,0.359,0.359,-,0.31
Diluted EPS Excluding Extraordinary Items,6619.45,6125.71,-,5888.26
DPS - Common Stock Primary Issue,6924,-,-,5842
Diluted Normalized EPS,4461.06,3845.97,-,5888.26
