Period Ending:,202231/07,202131/07,202031/07,201931/07
Total Revenue,26271,23785,22979.79,24381.6
"Revenue 26271 23785.89 22979.79 24381.6  Other Revenue, Total - - - -","Revenue 26271 23785.89 22979.79 24381.6  Other Revenue, Total - - - -","Revenue 26271 23785.89 22979.79 24381.6  Other Revenue, Total - - - -","Revenue 26271 23785.89 22979.79 24381.6  Other Revenue, Total - - - -","Revenue 26271 23785.89 22979.79 24381.6  Other Revenue, Total - - - -"
Revenue,26271,23785.89,22979.79,24381.6
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",16528,15443.04,14870.84,13509.33
Gross Profit,9743,8342.85,8108.95,10872.27
Total Operating Expenses,21685,20626.68,20821.08,20440.49
"Selling/General/Admin. Expenses, Total 5157 5079.6 5436.18 6714.4  Research & Development - - - -  Depreciation / Amortization 1231 - - -  Interest Expense (Income) - Net Operating -61 - - -  Unusual Expense (Income) - 104.04 514.06 216.76  Other Operating Expenses, Total -1170 - - -","Selling/General/Admin. Expenses, Total 5157 5079.6 5436.18 6714.4  Research & Development - - - -  Depreciation / Amortization 1231 - - -  Interest Expense (Income) - Net Operating -61 - - -  Unusual Expense (Income) - 104.04 514.06 216.76  Other Operating Expenses, Total -1170 - - -","Selling/General/Admin. Expenses, Total 5157 5079.6 5436.18 6714.4  Research & Development - - - -  Depreciation / Amortization 1231 - - -  Interest Expense (Income) - Net Operating -61 - - -  Unusual Expense (Income) - 104.04 514.06 216.76  Other Operating Expenses, Total -1170 - - -","Selling/General/Admin. Expenses, Total 5157 5079.6 5436.18 6714.4  Research & Development - - - -  Depreciation / Amortization 1231 - - -  Interest Expense (Income) - Net Operating -61 - - -  Unusual Expense (Income) - 104.04 514.06 216.76  Other Operating Expenses, Total -1170 - - -","Selling/General/Admin. Expenses, Total 5157 5079.6 5436.18 6714.4  Research & Development - - - -  Depreciation / Amortization 1231 - - -  Interest Expense (Income) - Net Operating -61 - - -  Unusual Expense (Income) - 104.04 514.06 216.76  Other Operating Expenses, Total -1170 - - -"
"Selling/General/Admin. Expenses, Total",5157,5079.6,5436.18,6714.4
Research & Development,-,-,-,-
Depreciation / Amortization,1231,-,-,-
Interest Expense (Income) - Net Operating,-61,-,-,-
Unusual Expense (Income),-,104.04,514.06,216.76
"Other Operating Expenses, Total",-1170,-,-,-
Operating Income,4586,3159.21,2158.71,3941.11
"Interest Income (Expense), Net Non-Operating",-,-19.09,-10.61,-14.26
Gain (Loss) on Sale of Assets,-58,1.7,376.79,6.63
"Other, Net",176,216.57,79.19,8.77
Net Income Before Taxes,4468,3358.4,2604.08,3942.25
Provision for Income Taxes,1245,1176.75,1309.95,905.68
Net Income After Taxes,3223,2181.65,1294.13,3036.57
Minority Interest,1819,153.47,-92.28,-212.65
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,3125,2335.12,1201.85,2823.92
Total Extraordinary Items,-,-,-,-
Net Income,3125,2335.12,1201.85,2823.92
Total Adjustments to Net Income,-,-0,-0,-0
Income Available to Common Excluding Extraordinary Items,3125,2335.12,1201.85,2823.92
Dilution Adjustment,0.312,-,-,-
Diluted Net Income,3124.69,2335.12,1201.85,2823.92
Diluted Weighted Average Shares,325.15,328.24,331.63,335.78
Diluted EPS Excluding Extraordinary Items,9.61,7.11,3.62,8.41
DPS - Common Stock Primary Issue,5,4.75,4.5,4.25
Diluted Normalized EPS,8.63,7.35,3.89,9.07
