Period Ending:,202230/11,202130/11,202030/11,201930/11
Total Revenue,26650,24862,21009,17522
"Revenue 26650 24862 21009 17522  Other Revenue, Total - - - -","Revenue 26650 24862 21009 17522  Other Revenue, Total - - - -","Revenue 26650 24862 21009 17522  Other Revenue, Total - - - -","Revenue 26650 24862 21009 17522  Other Revenue, Total - - - -","Revenue 26650 24862 21009 17522  Other Revenue, Total - - - -"
Revenue,26650,24862,21009,17522
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",17909,17331,14632,12307
Gross Profit,8741,7531,6377,5215
Total Operating Expenses,23558,22227,18810,15863
"Selling/General/Admin. Expenses, Total 5649 4787 4088 3555  Research & Development - - - -  Depreciation / Amortization 868 75 60 55  Interest Expense (Income) - Net Operating -30 - - -  Unusual Expense (Income) - 33 29 -55  Other Operating Expenses, Total -743 1 1 1","Selling/General/Admin. Expenses, Total 5649 4787 4088 3555  Research & Development - - - -  Depreciation / Amortization 868 75 60 55  Interest Expense (Income) - Net Operating -30 - - -  Unusual Expense (Income) - 33 29 -55  Other Operating Expenses, Total -743 1 1 1","Selling/General/Admin. Expenses, Total 5649 4787 4088 3555  Research & Development - - - -  Depreciation / Amortization 868 75 60 55  Interest Expense (Income) - Net Operating -30 - - -  Unusual Expense (Income) - 33 29 -55  Other Operating Expenses, Total -743 1 1 1","Selling/General/Admin. Expenses, Total 5649 4787 4088 3555  Research & Development - - - -  Depreciation / Amortization 868 75 60 55  Interest Expense (Income) - Net Operating -30 - - -  Unusual Expense (Income) - 33 29 -55  Other Operating Expenses, Total -743 1 1 1","Selling/General/Admin. Expenses, Total 5649 4787 4088 3555  Research & Development - - - -  Depreciation / Amortization 868 75 60 55  Interest Expense (Income) - Net Operating -30 - - -  Unusual Expense (Income) - 33 29 -55  Other Operating Expenses, Total -743 1 1 1"
"Selling/General/Admin. Expenses, Total",5649,4787,4088,3555
Research & Development,-,-,-,-
Depreciation / Amortization,868,75,60,55
Interest Expense (Income) - Net Operating,-30,-,-,-
Unusual Expense (Income),-,33,29,-55
"Other Operating Expenses, Total",-743,1,1,1
Operating Income,3092,2635,2199,1659
"Interest Income (Expense), Net Non-Operating",-,-24,-17,-12
Gain (Loss) on Sale of Assets,-163,-,4,-
"Other, Net",347,29,18,33
Net Income Before Taxes,2908,2640,2204,1680
Provision for Income Taxes,1075,741,623,598
Net Income After Taxes,1833,1899,1581,1082
Minority Interest,-8,-18,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,1809,1881,1581,1082
Total Extraordinary Items,-,-,-,-
Net Income,1809,1881,1581,1082
Total Adjustments to Net Income,-,-,-1,-
Income Available to Common Excluding Extraordinary Items,1809,1881,1580,1082
Dilution Adjustment,-,-,-,-
Diluted Net Income,1809,1881,1580,1082
Diluted Weighted Average Shares,79,79,79,79
Diluted EPS Excluding Extraordinary Items,22.9,23.81,20,13.7
DPS - Common Stock Primary Issue,8,6,3.3,1.4
Diluted Normalized EPS,24.36,24.11,20.23,13.25
