Period Ending:,202231/05,202131/05,202031/05,201931/05
Total Revenue,23584,24488,22459.94,19726.43
"Revenue 23584 24488 22459.94 19726.43  Other Revenue, Total - - - -","Revenue 23584 24488 22459.94 19726.43  Other Revenue, Total - - - -","Revenue 23584 24488 22459.94 19726.43  Other Revenue, Total - - - -","Revenue 23584 24488 22459.94 19726.43  Other Revenue, Total - - - -","Revenue 23584 24488 22459.94 19726.43  Other Revenue, Total - - - -"
Revenue,23584,24488,22459.94,19726.43
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",16460,17989,16256.43,14319.74
Gross Profit,7124,6499,6203.51,5406.69
Total Operating Expenses,22613,23672,21842.61,18479.33
"Selling/General/Admin. Expenses, Total 6153 5683 5209.72 4159.59  Research & Development - - - -  Depreciation / Amortization 297 300 - -  Interest Expense (Income) - Net Operating -7 -9 - -  Unusual Expense (Income) - - 376.46 -  Other Operating Expenses, Total -290 -291 - -","Selling/General/Admin. Expenses, Total 6153 5683 5209.72 4159.59  Research & Development - - - -  Depreciation / Amortization 297 300 - -  Interest Expense (Income) - Net Operating -7 -9 - -  Unusual Expense (Income) - - 376.46 -  Other Operating Expenses, Total -290 -291 - -","Selling/General/Admin. Expenses, Total 6153 5683 5209.72 4159.59  Research & Development - - - -  Depreciation / Amortization 297 300 - -  Interest Expense (Income) - Net Operating -7 -9 - -  Unusual Expense (Income) - - 376.46 -  Other Operating Expenses, Total -290 -291 - -","Selling/General/Admin. Expenses, Total 6153 5683 5209.72 4159.59  Research & Development - - - -  Depreciation / Amortization 297 300 - -  Interest Expense (Income) - Net Operating -7 -9 - -  Unusual Expense (Income) - - 376.46 -  Other Operating Expenses, Total -290 -291 - -","Selling/General/Admin. Expenses, Total 6153 5683 5209.72 4159.59  Research & Development - - - -  Depreciation / Amortization 297 300 - -  Interest Expense (Income) - Net Operating -7 -9 - -  Unusual Expense (Income) - - 376.46 -  Other Operating Expenses, Total -290 -291 - -"
"Selling/General/Admin. Expenses, Total",6153,5683,5209.72,4159.59
Research & Development,-,-,-,-
Depreciation / Amortization,297,300,-,-
Interest Expense (Income) - Net Operating,-7,-9,-,-
Unusual Expense (Income),-,-,376.46,-
"Other Operating Expenses, Total",-290,-291,-,-
Operating Income,971,816,617.33,1247.1
"Interest Income (Expense), Net Non-Operating",-,-8.01,-56.98,1.28
Gain (Loss) on Sale of Assets,-,-,-,-
"Other, Net",233,-39,-3.94,-0.53
Net Income Before Taxes,738,855,556.41,1247.86
Provision for Income Taxes,324,307,197.47,358.65
Net Income After Taxes,414,548,358.94,889.21
Minority Interest,26,3,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,448,549,358.94,889.21
Total Extraordinary Items,-,-,-,-
Net Income,448,549,358.94,889.21
Total Adjustments to Net Income,-,-,-,-
Income Available to Common Excluding Extraordinary Items,448,549,358.94,889.21
Dilution Adjustment,-0.276,-0.105,-,-
Diluted Net Income,448.28,549.1,358.94,889.21
Diluted Weighted Average Shares,20.2,20.27,20.29,20.24
Diluted EPS Excluding Extraordinary Items,22.19,27.09,17.69,43.94
DPS - Common Stock Primary Issue,-,-,-,-
Diluted Normalized EPS,32.71,26.41,33.62,46.26
