Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,453604,476464,450863,474150
"Revenue 453604 476464 450863 474150  Other Revenue, Total - - - -","Revenue 453604 476464 450863 474150  Other Revenue, Total - - - -","Revenue 453604 476464 450863 474150  Other Revenue, Total - - - -","Revenue 453604 476464 450863 474150  Other Revenue, Total - - - -","Revenue 453604 476464 450863 474150  Other Revenue, Total - - - -"
Revenue,453604,476464,450863,474150
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",382839,403889,380929,406241
Gross Profit,70765,72575,69934,67909
Total Operating Expenses,446609,465895,436682,460789
"Selling/General/Admin. Expenses, Total 63770 58837 53207 51880  Research & Development - - - -  Depreciation / Amortization 2393 2068 2676 2302  Interest Expense (Income) - Net Operating -32 -82 - -  Unusual Expense (Income) - 115 -131 365  Other Operating Expenses, Total 1084 1183 1 1","Selling/General/Admin. Expenses, Total 63770 58837 53207 51880  Research & Development - - - -  Depreciation / Amortization 2393 2068 2676 2302  Interest Expense (Income) - Net Operating -32 -82 - -  Unusual Expense (Income) - 115 -131 365  Other Operating Expenses, Total 1084 1183 1 1","Selling/General/Admin. Expenses, Total 63770 58837 53207 51880  Research & Development - - - -  Depreciation / Amortization 2393 2068 2676 2302  Interest Expense (Income) - Net Operating -32 -82 - -  Unusual Expense (Income) - 115 -131 365  Other Operating Expenses, Total 1084 1183 1 1","Selling/General/Admin. Expenses, Total 63770 58837 53207 51880  Research & Development - - - -  Depreciation / Amortization 2393 2068 2676 2302  Interest Expense (Income) - Net Operating -32 -82 - -  Unusual Expense (Income) - 115 -131 365  Other Operating Expenses, Total 1084 1183 1 1","Selling/General/Admin. Expenses, Total 63770 58837 53207 51880  Research & Development - - - -  Depreciation / Amortization 2393 2068 2676 2302  Interest Expense (Income) - Net Operating -32 -82 - -  Unusual Expense (Income) - 115 -131 365  Other Operating Expenses, Total 1084 1183 1 1"
"Selling/General/Admin. Expenses, Total",63770,58837,53207,51880
Research & Development,-,-,-,-
Depreciation / Amortization,2393,2068,2676,2302
Interest Expense (Income) - Net Operating,-32,-82,-,-
Unusual Expense (Income),-,115,-131,365
"Other Operating Expenses, Total",1084,1183,1,1
Operating Income,6995,10569,14181,13361
"Interest Income (Expense), Net Non-Operating",-,694,-528,48
Gain (Loss) on Sale of Assets,565,856,-3,37
"Other, Net",-5604,-6409,6357,5420
Net Income Before Taxes,12034,16122,20007,18866
Provision for Income Taxes,4215,5536,6952,6256
Net Income After Taxes,7819,10586,13055,12610
Minority Interest,501,35,-12,17
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,7938,10579,13043,12627
Total Extraordinary Items,-,-,-,-
Net Income,7938,10579,13043,12627
Total Adjustments to Net Income,-,-,-1,1
Income Available to Common Excluding Extraordinary Items,7938,10579,13042,12628
Dilution Adjustment,-,-,-,-
Diluted Net Income,7938,10579,13042,12628
Diluted Weighted Average Shares,55.78,55.76,55.73,55.73
Diluted EPS Excluding Extraordinary Items,142.3,189.74,234,226.59
DPS - Common Stock Primary Issue,75,75,75,75
Diluted Normalized EPS,132.51,172.29,248.65,239.3
