Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,11391,11061,11122.61,10518.25
"Revenue 11390 11061 11122.61 10518.25  Other Revenue, Total 1 - - -","Revenue 11390 11061 11122.61 10518.25  Other Revenue, Total 1 - - -","Revenue 11390 11061 11122.61 10518.25  Other Revenue, Total 1 - - -","Revenue 11390 11061 11122.61 10518.25  Other Revenue, Total 1 - - -","Revenue 11390 11061 11122.61 10518.25  Other Revenue, Total 1 - - -"
Revenue,11390,11061,11122.61,10518.25
"Other Revenue, Total",1,-,-,-
"Cost of Revenue, Total",8401,7863,7683.33,7366.24
Gross Profit,2990,3198,3439.28,3152.02
Total Operating Expenses,11236,10640,10519.52,10104.18
"Selling/General/Admin. Expenses, Total 2743 2703 2520.13 2462.58  Research & Development - 191 194.93 187.36  Depreciation / Amortization 340 330 79.27 86.42  Interest Expense (Income) - Net Operating -1 -2 - -  Unusual Expense (Income) - 1.84 41.86 1.59  Other Operating Expenses, Total -247 -445 - -","Selling/General/Admin. Expenses, Total 2743 2703 2520.13 2462.58  Research & Development - 191 194.93 187.36  Depreciation / Amortization 340 330 79.27 86.42  Interest Expense (Income) - Net Operating -1 -2 - -  Unusual Expense (Income) - 1.84 41.86 1.59  Other Operating Expenses, Total -247 -445 - -","Selling/General/Admin. Expenses, Total 2743 2703 2520.13 2462.58  Research & Development - 191 194.93 187.36  Depreciation / Amortization 340 330 79.27 86.42  Interest Expense (Income) - Net Operating -1 -2 - -  Unusual Expense (Income) - 1.84 41.86 1.59  Other Operating Expenses, Total -247 -445 - -","Selling/General/Admin. Expenses, Total 2743 2703 2520.13 2462.58  Research & Development - 191 194.93 187.36  Depreciation / Amortization 340 330 79.27 86.42  Interest Expense (Income) - Net Operating -1 -2 - -  Unusual Expense (Income) - 1.84 41.86 1.59  Other Operating Expenses, Total -247 -445 - -","Selling/General/Admin. Expenses, Total 2743 2703 2520.13 2462.58  Research & Development - 191 194.93 187.36  Depreciation / Amortization 340 330 79.27 86.42  Interest Expense (Income) - Net Operating -1 -2 - -  Unusual Expense (Income) - 1.84 41.86 1.59  Other Operating Expenses, Total -247 -445 - -"
"Selling/General/Admin. Expenses, Total",2743,2703,2520.13,2462.58
Research & Development,-,191,194.93,187.36
Depreciation / Amortization,340,330,79.27,86.42
Interest Expense (Income) - Net Operating,-1,-2,-,-
Unusual Expense (Income),-,1.84,41.86,1.59
"Other Operating Expenses, Total",-247,-445,-,-
Operating Income,155,421,603.09,414.08
"Interest Income (Expense), Net Non-Operating",-,132.25,10.47,8.63
Gain (Loss) on Sale of Assets,-,123,0.3,0.05
"Other, Net",18,-270,-21.59,16.53
Net Income Before Taxes,137,568,592.27,439.28
Provision for Income Taxes,56,190,212.77,156.45
Net Income After Taxes,81,378,379.5,282.83
Minority Interest,-,-,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,81,378,379.5,282.83
Total Extraordinary Items,-,-,-,-
Net Income,81,378,379.5,282.83
Total Adjustments to Net Income,-,-,-,-
Income Available to Common Excluding Extraordinary Items,81,378,379.5,282.83
Dilution Adjustment,-,-,-,-
Diluted Net Income,81,378,379.5,282.83
Diluted Weighted Average Shares,5.31,5.3,6.23,6.26
Diluted EPS Excluding Extraordinary Items,-,71.31,60.95,45.2
DPS - Common Stock Primary Issue,-,17,15,15
Diluted Normalized EPS,20.95,52.58,65.23,45.35
