Period Ending:,202331/03,202231/03,Unnamed: 3,Unnamed: 4
Total Revenue,28738,25233,-,-
"Revenue 28738 25233 - -  Other Revenue, Total - - - -","Revenue 28738 25233 - -  Other Revenue, Total - - - -","Revenue 28738 25233 - -  Other Revenue, Total - - - -","Revenue 28738 25233 - -  Other Revenue, Total - - - -","Revenue 28738 25233 - -  Other Revenue, Total - - - -"
Revenue,28738,25233,-,-
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",12600,10942,-,-
Gross Profit,16138,14291,-,-
Total Operating Expenses,26706,23874,-,-
"Selling/General/Admin. Expenses, Total 14096 12950 - -  Research & Development - - - -  Depreciation / Amortization 673 - - -  Interest Expense (Income) - Net Operating -166 -186 - -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total -497 168 - -","Selling/General/Admin. Expenses, Total 14096 12950 - -  Research & Development - - - -  Depreciation / Amortization 673 - - -  Interest Expense (Income) - Net Operating -166 -186 - -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total -497 168 - -","Selling/General/Admin. Expenses, Total 14096 12950 - -  Research & Development - - - -  Depreciation / Amortization 673 - - -  Interest Expense (Income) - Net Operating -166 -186 - -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total -497 168 - -","Selling/General/Admin. Expenses, Total 14096 12950 - -  Research & Development - - - -  Depreciation / Amortization 673 - - -  Interest Expense (Income) - Net Operating -166 -186 - -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total -497 168 - -","Selling/General/Admin. Expenses, Total 14096 12950 - -  Research & Development - - - -  Depreciation / Amortization 673 - - -  Interest Expense (Income) - Net Operating -166 -186 - -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total -497 168 - -"
"Selling/General/Admin. Expenses, Total",14096,12950,-,-
Research & Development,-,-,-,-
Depreciation / Amortization,673,-,-,-
Interest Expense (Income) - Net Operating,-166,-186,-,-
Unusual Expense (Income),-,-,-,-
"Other Operating Expenses, Total",-497,168,-,-
Operating Income,2032,1359,-,-
"Interest Income (Expense), Net Non-Operating",-,-,-,-
Gain (Loss) on Sale of Assets,-,-,-,-
"Other, Net",169,187,-,-
Net Income Before Taxes,1863,1172,-,-
Provision for Income Taxes,615,376,-,-
Net Income After Taxes,1248,796,-,-
Minority Interest,-,-,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,1248,796,-,-
Total Extraordinary Items,-,-,-,-
Net Income,1248,796,-,-
Total Adjustments to Net Income,-,-,-,-
Income Available to Common Excluding Extraordinary Items,1248,796,-,-
Dilution Adjustment,-0.8,-0.001,-,-
Diluted Net Income,1248.8,796,-,-
Diluted Weighted Average Shares,8.49,8.43,-,-
Diluted EPS Excluding Extraordinary Items,147.16,94.38,-,-
DPS - Common Stock Primary Issue,-,-,-,-
Diluted Normalized EPS,137.21,86.85,-,-
