Period Ending:,202320/01,202220/01,202120/01,202020/01
Total Revenue,160130,162602,158227,168256
"Revenue 160130 162602 158227 168256  Other Revenue, Total - - - -","Revenue 160130 162602 158227 168256  Other Revenue, Total - - - -","Revenue 160130 162602 158227 168256  Other Revenue, Total - - - -","Revenue 160130 162602 158227 168256  Other Revenue, Total - - - -","Revenue 160130 162602 158227 168256  Other Revenue, Total - - - -"
Revenue,160130,162602,158227,168256
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",87172,77895,74708,81097
Gross Profit,72958,84707,83519,87159
Total Operating Expenses,159422,158251,153367,166308
"Selling/General/Admin. Expenses, Total 72250 78708 76802 74794  Research & Development 1229 1417 1114 962  Depreciation / Amortization 7744 - - 8509  Interest Expense (Income) - Net Operating -224 - - -  Unusual Expense (Income) - 230 742 945  Other Operating Expenses, Total -8749 1 1 1","Selling/General/Admin. Expenses, Total 72250 78708 76802 74794  Research & Development 1229 1417 1114 962  Depreciation / Amortization 7744 - - 8509  Interest Expense (Income) - Net Operating -224 - - -  Unusual Expense (Income) - 230 742 945  Other Operating Expenses, Total -8749 1 1 1","Selling/General/Admin. Expenses, Total 72250 78708 76802 74794  Research & Development 1229 1417 1114 962  Depreciation / Amortization 7744 - - 8509  Interest Expense (Income) - Net Operating -224 - - -  Unusual Expense (Income) - 230 742 945  Other Operating Expenses, Total -8749 1 1 1","Selling/General/Admin. Expenses, Total 72250 78708 76802 74794  Research & Development 1229 1417 1114 962  Depreciation / Amortization 7744 - - 8509  Interest Expense (Income) - Net Operating -224 - - -  Unusual Expense (Income) - 230 742 945  Other Operating Expenses, Total -8749 1 1 1","Selling/General/Admin. Expenses, Total 72250 78708 76802 74794  Research & Development 1229 1417 1114 962  Depreciation / Amortization 7744 - - 8509  Interest Expense (Income) - Net Operating -224 - - -  Unusual Expense (Income) - 230 742 945  Other Operating Expenses, Total -8749 1 1 1"
"Selling/General/Admin. Expenses, Total",72250,78708,76802,74794
Research & Development,1229,1417,1114,962
Depreciation / Amortization,7744,-,-,8509
Interest Expense (Income) - Net Operating,-224,-,-,-
Unusual Expense (Income),-,230,742,945
"Other Operating Expenses, Total",-8749,1,1,1
Operating Income,708,4351,4860,1948
"Interest Income (Expense), Net Non-Operating",-,801,183,121
Gain (Loss) on Sale of Assets,562,164,70,458
"Other, Net",-943,407,139,143
Net Income Before Taxes,1089,5723,5252,2670
Provision for Income Taxes,1580,1788,2100,801
Net Income After Taxes,-491,3935,3152,1869
Minority Interest,476,38,52,-89
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,-507,3973,3204,1780
Total Extraordinary Items,-,-,-,-
Net Income,-507,3973,3204,1780
Total Adjustments to Net Income,-,1,-,-2
Income Available to Common Excluding Extraordinary Items,-507,3974,3204,1778
Dilution Adjustment,-,-,-,-
Diluted Net Income,-507,3974,3204,1778
Diluted Weighted Average Shares,15.67,15.63,15.92,16.47
Diluted EPS Excluding Extraordinary Items,-32.36,254.2,201.28,107.94
DPS - Common Stock Primary Issue,60,60,60,60
Diluted Normalized EPS,29.17,280,249.99,152.44
