Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,10960,9162,7601.36,6744.79
"Revenue 10960 9162.93 7601.36 6744.79  Other Revenue, Total - - - -","Revenue 10960 9162.93 7601.36 6744.79  Other Revenue, Total - - - -","Revenue 10960 9162.93 7601.36 6744.79  Other Revenue, Total - - - -","Revenue 10960 9162.93 7601.36 6744.79  Other Revenue, Total - - - -","Revenue 10960 9162.93 7601.36 6744.79  Other Revenue, Total - - - -"
Revenue,10960,9162.93,7601.36,6744.79
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",2649,2095.51,1692.88,1518.23
Gross Profit,8311,7067.42,5908.48,5226.56
Total Operating Expenses,8495,7192.94,6674.12,6616.95
"Selling/General/Admin. Expenses, Total 5846 5096.17 4964.52 5070.99  Research & Development - - - -  Depreciation / Amortization 183 - - -  Interest Expense (Income) - Net Operating -20 - - -  Unusual Expense (Income) - 1.26 16.73 27.72  Other Operating Expenses, Total -163 - - -","Selling/General/Admin. Expenses, Total 5846 5096.17 4964.52 5070.99  Research & Development - - - -  Depreciation / Amortization 183 - - -  Interest Expense (Income) - Net Operating -20 - - -  Unusual Expense (Income) - 1.26 16.73 27.72  Other Operating Expenses, Total -163 - - -","Selling/General/Admin. Expenses, Total 5846 5096.17 4964.52 5070.99  Research & Development - - - -  Depreciation / Amortization 183 - - -  Interest Expense (Income) - Net Operating -20 - - -  Unusual Expense (Income) - 1.26 16.73 27.72  Other Operating Expenses, Total -163 - - -","Selling/General/Admin. Expenses, Total 5846 5096.17 4964.52 5070.99  Research & Development - - - -  Depreciation / Amortization 183 - - -  Interest Expense (Income) - Net Operating -20 - - -  Unusual Expense (Income) - 1.26 16.73 27.72  Other Operating Expenses, Total -163 - - -","Selling/General/Admin. Expenses, Total 5846 5096.17 4964.52 5070.99  Research & Development - - - -  Depreciation / Amortization 183 - - -  Interest Expense (Income) - Net Operating -20 - - -  Unusual Expense (Income) - 1.26 16.73 27.72  Other Operating Expenses, Total -163 - - -"
"Selling/General/Admin. Expenses, Total",5846,5096.17,4964.52,5070.99
Research & Development,-,-,-,-
Depreciation / Amortization,183,-,-,-
Interest Expense (Income) - Net Operating,-20,-,-,-
Unusual Expense (Income),-,1.26,16.73,27.72
"Other Operating Expenses, Total",-163,-,-,-
Operating Income,2465,1969.98,927.24,127.84
"Interest Income (Expense), Net Non-Operating",-,-27.36,-32.02,-28.48
Gain (Loss) on Sale of Assets,-7,0.34,-6.01,-20.87
"Other, Net",11,2.27,5.31,-0.23
Net Income Before Taxes,2461,1945.23,894.52,78.27
Provision for Income Taxes,794,605.07,341.93,54.07
Net Income After Taxes,1667,1340.16,552.59,24.2
Minority Interest,-,-,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,1667,1340.16,552.59,24.2
Total Extraordinary Items,-,-,-,-
Net Income,1667,1340.16,552.59,24.2
Total Adjustments to Net Income,-,-,-,-0
Income Available to Common Excluding Extraordinary Items,1667,1340.16,552.59,24.2
Dilution Adjustment,-,-,-,-
Diluted Net Income,1667,1340.16,552.59,24.2
Diluted Weighted Average Shares,8.98,9.02,9.01,8.98
Diluted EPS Excluding Extraordinary Items,185.6,148.57,61.36,2.69
DPS - Common Stock Primary Issue,-,40,5,-
Diluted Normalized EPS,171.42,148.64,62.92,6.21
