Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,44685,42151,42152.71,42309.9
"Revenue 44685 42151 42152.71 42309.9  Other Revenue, Total - - - -","Revenue 44685 42151 42152.71 42309.9  Other Revenue, Total - - - -","Revenue 44685 42151 42152.71 42309.9  Other Revenue, Total - - - -","Revenue 44685 42151 42152.71 42309.9  Other Revenue, Total - - - -","Revenue 44685 42151 42152.71 42309.9  Other Revenue, Total - - - -"
Revenue,44685,42151,42152.71,42309.9
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",29074,27344,29176.03,29565.91
Gross Profit,15611,14807,12976.67,12743.99
Total Operating Expenses,42692,40446,41351.26,42046.23
"Selling/General/Admin. Expenses, Total 13618 12933 11592.18 11711.62  Research & Development - 451 457.3 476.9  Depreciation / Amortization 1698 - 173.88 195.96  Interest Expense (Income) - Net Operating -22 -26 - -  Unusual Expense (Income) - -189.81 -48.15 95.84  Other Operating Expenses, Total -1986 -2120 - -","Selling/General/Admin. Expenses, Total 13618 12933 11592.18 11711.62  Research & Development - 451 457.3 476.9  Depreciation / Amortization 1698 - 173.88 195.96  Interest Expense (Income) - Net Operating -22 -26 - -  Unusual Expense (Income) - -189.81 -48.15 95.84  Other Operating Expenses, Total -1986 -2120 - -","Selling/General/Admin. Expenses, Total 13618 12933 11592.18 11711.62  Research & Development - 451 457.3 476.9  Depreciation / Amortization 1698 - 173.88 195.96  Interest Expense (Income) - Net Operating -22 -26 - -  Unusual Expense (Income) - -189.81 -48.15 95.84  Other Operating Expenses, Total -1986 -2120 - -","Selling/General/Admin. Expenses, Total 13618 12933 11592.18 11711.62  Research & Development - 451 457.3 476.9  Depreciation / Amortization 1698 - 173.88 195.96  Interest Expense (Income) - Net Operating -22 -26 - -  Unusual Expense (Income) - -189.81 -48.15 95.84  Other Operating Expenses, Total -1986 -2120 - -","Selling/General/Admin. Expenses, Total 13618 12933 11592.18 11711.62  Research & Development - 451 457.3 476.9  Depreciation / Amortization 1698 - 173.88 195.96  Interest Expense (Income) - Net Operating -22 -26 - -  Unusual Expense (Income) - -189.81 -48.15 95.84  Other Operating Expenses, Total -1986 -2120 - -"
"Selling/General/Admin. Expenses, Total",13618,12933,11592.18,11711.62
Research & Development,-,451,457.3,476.9
Depreciation / Amortization,1698,-,173.88,195.96
Interest Expense (Income) - Net Operating,-22,-26,-,-
Unusual Expense (Income),-,-189.81,-48.15,95.84
"Other Operating Expenses, Total",-1986,-2120,-,-
Operating Income,1993,1705,801.45,263.67
"Interest Income (Expense), Net Non-Operating",-,266.38,155.77,73.15
Gain (Loss) on Sale of Assets,-70,16,-,-
"Other, Net",-420,-533,129.98,107.1
Net Income Before Taxes,2483,2222,1087.2,443.92
Provision for Income Taxes,884,739,424.64,303.41
Net Income After Taxes,1599,1483,662.56,140.51
Minority Interest,31,44,-5.29,-2.87
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,1611,1473,657.27,137.64
Total Extraordinary Items,-,-,-,-
Net Income,1611,1473,657.27,137.64
Total Adjustments to Net Income,-,-,-0,-0
Income Available to Common Excluding Extraordinary Items,-,1473,657.27,137.63
Dilution Adjustment,-,-,-,-
Diluted Net Income,1611,1473,657.27,137.63
Diluted Weighted Average Shares,13.08,13.08,13.08,13.08
Diluted EPS Excluding Extraordinary Items,123.12,112.58,50.23,10.52
DPS - Common Stock Primary Issue,28,25,24,24
Diluted Normalized EPS,110.02,98.35,47.99,15.28
