Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,100167,89476,83862,80488
"Revenue 100167 89476 83862 80488  Other Revenue, Total - - - -","Revenue 100167 89476 83862 80488  Other Revenue, Total - - - -","Revenue 100167 89476 83862 80488  Other Revenue, Total - - - -","Revenue 100167 89476 83862 80488  Other Revenue, Total - - - -","Revenue 100167 89476 83862 80488  Other Revenue, Total - - - -"
Revenue,100167,89476,83862,80488
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",22942,21518,23021,24159
Gross Profit,77225,67958,60841,56329
Total Operating Expenses,39181,35340,35788,35630
"Selling/General/Admin. Expenses, Total 16239 13482 12420 12937  Research & Development - 1804 - -  Depreciation / Amortization 2511 2429 342 153  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - 384 3 -1620  Other Operating Expenses, Total -2511 -3893 2 1","Selling/General/Admin. Expenses, Total 16239 13482 12420 12937  Research & Development - 1804 - -  Depreciation / Amortization 2511 2429 342 153  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - 384 3 -1620  Other Operating Expenses, Total -2511 -3893 2 1","Selling/General/Admin. Expenses, Total 16239 13482 12420 12937  Research & Development - 1804 - -  Depreciation / Amortization 2511 2429 342 153  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - 384 3 -1620  Other Operating Expenses, Total -2511 -3893 2 1","Selling/General/Admin. Expenses, Total 16239 13482 12420 12937  Research & Development - 1804 - -  Depreciation / Amortization 2511 2429 342 153  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - 384 3 -1620  Other Operating Expenses, Total -2511 -3893 2 1","Selling/General/Admin. Expenses, Total 16239 13482 12420 12937  Research & Development - 1804 - -  Depreciation / Amortization 2511 2429 342 153  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - 384 3 -1620  Other Operating Expenses, Total -2511 -3893 2 1"
"Selling/General/Admin. Expenses, Total",16239,13482,12420,12937
Research & Development,-,1804,-,-
Depreciation / Amortization,2511,2429,342,153
Interest Expense (Income) - Net Operating,-,-,-,-
Unusual Expense (Income),-,384,3,-1620
"Other Operating Expenses, Total",-2511,-3893,2,1
Operating Income,60986,54136,48074,44858
"Interest Income (Expense), Net Non-Operating",-,5670,4492,4020
Gain (Loss) on Sale of Assets,-2,5,287,-
"Other, Net",-9236,-5662,31,-973
Net Income Before Taxes,70224,59793,52884,47905
Provision for Income Taxes,20108,16293,14883,12809
Net Income After Taxes,50116,43500,38001,35096
Minority Interest,-,-,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,50116,43500,38001,35096
Total Extraordinary Items,-,-,-,-
Net Income,50116,43500,38001,35096
Total Adjustments to Net Income,-,-,-,-
Income Available to Common Excluding Extraordinary Items,50116,43500,38001,35096
Dilution Adjustment,-,-,-,-
Diluted Net Income,50116,43500,38001,35096
Diluted Weighted Average Shares,88.68,88.78,88.95,88.95
Diluted EPS Excluding Extraordinary Items,565.14,489.96,427.22,394.56
DPS - Common Stock Primary Issue,250,215,185,160
Diluted Normalized EPS,499.85,423.58,424.92,381.21
