Period Ending:,202331/03,202231/03,202131/03,Unnamed: 4
Total Revenue,39572,29556,11998,-
"Revenue 39572 29556 11998 -  Other Revenue, Total - - - -","Revenue 39572 29556 11998 -  Other Revenue, Total - - - -","Revenue 39572 29556 11998 -  Other Revenue, Total - - - -","Revenue 39572 29556 11998 -  Other Revenue, Total - - - -","Revenue 39572 29556 11998 -  Other Revenue, Total - - - -"
Revenue,39572,29556,11998,-
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",32405,24017,8646,-
Gross Profit,7167,5539,3352,-
Total Operating Expenses,35546,26275,11601,-
"Selling/General/Admin. Expenses, Total 3141 2258 2955 -  Research & Development - - - -  Depreciation / Amortization 459 - - -  Interest Expense (Income) - Net Operating -384 -625 -512 -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total 333 625 512 -","Selling/General/Admin. Expenses, Total 3141 2258 2955 -  Research & Development - - - -  Depreciation / Amortization 459 - - -  Interest Expense (Income) - Net Operating -384 -625 -512 -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total 333 625 512 -","Selling/General/Admin. Expenses, Total 3141 2258 2955 -  Research & Development - - - -  Depreciation / Amortization 459 - - -  Interest Expense (Income) - Net Operating -384 -625 -512 -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total 333 625 512 -","Selling/General/Admin. Expenses, Total 3141 2258 2955 -  Research & Development - - - -  Depreciation / Amortization 459 - - -  Interest Expense (Income) - Net Operating -384 -625 -512 -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total 333 625 512 -","Selling/General/Admin. Expenses, Total 3141 2258 2955 -  Research & Development - - - -  Depreciation / Amortization 459 - - -  Interest Expense (Income) - Net Operating -384 -625 -512 -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total 333 625 512 -"
"Selling/General/Admin. Expenses, Total",3141,2258,2955,-
Research & Development,-,-,-,-
Depreciation / Amortization,459,-,-,-
Interest Expense (Income) - Net Operating,-384,-625,-512,-
Unusual Expense (Income),-,-,-,-
"Other Operating Expenses, Total",333,625,512,-
Operating Income,4026,3281,397,-
"Interest Income (Expense), Net Non-Operating",-,-,-,-
Gain (Loss) on Sale of Assets,72,7814,-5706,-
"Other, Net",438,-15159,12505,-
Net Income Before Taxes,3516,10626,-6402,-
Provision for Income Taxes,1073,263,1244,-
Net Income After Taxes,2443,10363,-7646,-
Minority Interest,-,-,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,2443,10363,-7646,-
Total Extraordinary Items,-,-,-,-
Net Income,2443,10363,-7646,-
Total Adjustments to Net Income,-,-,-,-
Income Available to Common Excluding Extraordinary Items,2443,10363,-7646,-
Dilution Adjustment,-,-,-,-
Diluted Net Income,2443,10363,-7646,-
Diluted Weighted Average Shares,7.44,7.1,3.95,-
Diluted EPS Excluding Extraordinary Items,328.5,1460.4,-1934.23,-
DPS - Common Stock Primary Issue,-,-,-,-
Diluted Normalized EPS,289.52,247.67,-106.25,-
