Period Ending:,202231/07,202131/07,202031/07,201931/07
Total Revenue,140845,129823,126958,113278
"Revenue 140845 129823 126958 113278  Other Revenue, Total - - - -","Revenue 140845 129823 126958 113278  Other Revenue, Total - - - -","Revenue 140845 129823 126958 113278  Other Revenue, Total - - - -","Revenue 140845 129823 126958 113278  Other Revenue, Total - - - -","Revenue 140845 129823 126958 113278  Other Revenue, Total - - - -"
Revenue,140845,129823,126958,113278
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",101506,92924,90283,80874
Gross Profit,39339,36899,36675,32404
Total Operating Expenses,134169,123247,120905,108589
"Selling/General/Admin. Expenses, Total 32663 30323 29957 27803  Research & Development - - - -  Depreciation / Amortization 1525 1352 - -  Interest Expense (Income) - Net Operating -33 -36 - -  Unusual Expense (Income) - -86 664 -89  Other Operating Expenses, Total -1492 -1316 1 1","Selling/General/Admin. Expenses, Total 32663 30323 29957 27803  Research & Development - - - -  Depreciation / Amortization 1525 1352 - -  Interest Expense (Income) - Net Operating -33 -36 - -  Unusual Expense (Income) - -86 664 -89  Other Operating Expenses, Total -1492 -1316 1 1","Selling/General/Admin. Expenses, Total 32663 30323 29957 27803  Research & Development - - - -  Depreciation / Amortization 1525 1352 - -  Interest Expense (Income) - Net Operating -33 -36 - -  Unusual Expense (Income) - -86 664 -89  Other Operating Expenses, Total -1492 -1316 1 1","Selling/General/Admin. Expenses, Total 32663 30323 29957 27803  Research & Development - - - -  Depreciation / Amortization 1525 1352 - -  Interest Expense (Income) - Net Operating -33 -36 - -  Unusual Expense (Income) - -86 664 -89  Other Operating Expenses, Total -1492 -1316 1 1","Selling/General/Admin. Expenses, Total 32663 30323 29957 27803  Research & Development - - - -  Depreciation / Amortization 1525 1352 - -  Interest Expense (Income) - Net Operating -33 -36 - -  Unusual Expense (Income) - -86 664 -89  Other Operating Expenses, Total -1492 -1316 1 1"
"Selling/General/Admin. Expenses, Total",32663,30323,29957,27803
Research & Development,-,-,-,-
Depreciation / Amortization,1525,1352,-,-
Interest Expense (Income) - Net Operating,-33,-36,-,-
Unusual Expense (Income),-,-86,664,-89
"Other Operating Expenses, Total",-1492,-1316,1,1
Operating Income,6676,6576,6053,4689
"Interest Income (Expense), Net Non-Operating",-,1,-32,-20
Gain (Loss) on Sale of Assets,47,365,-,-
"Other, Net",-334,-567,123,170
Net Income Before Taxes,6963,6778,6144,4839
Provision for Income Taxes,2657,2494,2456,1985
Net Income After Taxes,4306,4284,3688,2854
Minority Interest,198,131,-33,-41
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,4266,4246,3655,2813
Total Extraordinary Items,-,-,-,-
Net Income,4266,4246,3655,2813
Total Adjustments to Net Income,-,-,-1,-
Income Available to Common Excluding Extraordinary Items,4266,4246,3654,2813
Dilution Adjustment,-,-,-,-
Diluted Net Income,4266,4246,3654,2813
Diluted Weighted Average Shares,26.68,26.66,26.66,26.64
Diluted EPS Excluding Extraordinary Items,159.9,159.27,137.07,105.58
DPS - Common Stock Primary Issue,35,30,25,20
Diluted Normalized EPS,160.73,154.59,170.02,119.83
