Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,2696069,2585643,2603169,2698511
"Revenue 2696069 2585643 2603169 2698511  Other Revenue, Total - - - -","Revenue 2696069 2585643 2603169 2698511  Other Revenue, Total - - - -","Revenue 2696069 2585643 2603169 2698511  Other Revenue, Total - - - -","Revenue 2696069 2585643 2603169 2698511  Other Revenue, Total - - - -","Revenue 2696069 2585643 2603169 2698511  Other Revenue, Total - - - -"
Revenue,2696069,2585643,2603169,2698511
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",2503983,2398174,2427726,2491433
Gross Profit,192086,187469,175443,207078
Total Operating Expenses,2665920,2559998,2589222,2652183
"Selling/General/Admin. Expenses, Total 161937 158377 145307 150202  Research & Development - - 1438 1400  Depreciation / Amortization 12804 - 8119 7874  Interest Expense (Income) - Net Operating -64 - - -  Unusual Expense (Income) - 3446 6725 1317  Other Operating Expenses, Total -12740 1 -93 -43","Selling/General/Admin. Expenses, Total 161937 158377 145307 150202  Research & Development - - 1438 1400  Depreciation / Amortization 12804 - 8119 7874  Interest Expense (Income) - Net Operating -64 - - -  Unusual Expense (Income) - 3446 6725 1317  Other Operating Expenses, Total -12740 1 -93 -43","Selling/General/Admin. Expenses, Total 161937 158377 145307 150202  Research & Development - - 1438 1400  Depreciation / Amortization 12804 - 8119 7874  Interest Expense (Income) - Net Operating -64 - - -  Unusual Expense (Income) - 3446 6725 1317  Other Operating Expenses, Total -12740 1 -93 -43","Selling/General/Admin. Expenses, Total 161937 158377 145307 150202  Research & Development - - 1438 1400  Depreciation / Amortization 12804 - 8119 7874  Interest Expense (Income) - Net Operating -64 - - -  Unusual Expense (Income) - 3446 6725 1317  Other Operating Expenses, Total -12740 1 -93 -43","Selling/General/Admin. Expenses, Total 161937 158377 145307 150202  Research & Development - - 1438 1400  Depreciation / Amortization 12804 - 8119 7874  Interest Expense (Income) - Net Operating -64 - - -  Unusual Expense (Income) - 3446 6725 1317  Other Operating Expenses, Total -12740 1 -93 -43"
"Selling/General/Admin. Expenses, Total",161937,158377,145307,150202
Research & Development,-,-,1438,1400
Depreciation / Amortization,12804,-,8119,7874
Interest Expense (Income) - Net Operating,-64,-,-,-
Unusual Expense (Income),-,3446,6725,1317
"Other Operating Expenses, Total",-12740,1,-93,-43
Operating Income,30149,25645,13947,46328
"Interest Income (Expense), Net Non-Operating",-,21138,13116,3835
Gain (Loss) on Sale of Assets,7716,129,506,878
"Other, Net",-16158,1268,8962,8192
Net Income Before Taxes,38591,48180,36531,59233
Provision for Income Taxes,12803,15977,12038,18913
Net Income After Taxes,25788,32203,24493,40320
Minority Interest,244,-20,8,-47
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,25786,32183,24501,40273
Total Extraordinary Items,-,-,-,-
Net Income,25786,32183,24501,40273
Total Adjustments to Net Income,-,-1,-,-
Income Available to Common Excluding Extraordinary Items,25786,32182,24501,40273
Dilution Adjustment,-,-,-,-
Diluted Net Income,25786,32182,24501,40273
Diluted Weighted Average Shares,202.37,209.56,211.67,211.67
Diluted EPS Excluding Extraordinary Items,127.42,153.57,115.75,190.26
DPS - Common Stock Primary Issue,57,54,53,50
Diluted Normalized EPS,101.37,167.13,138.41,195.89
