Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,3402279,3387938,3137806,3389871
"Revenue 3361657 3336967 3054375 3389871  Other Revenue, Total 40622 50971 83431 -","Revenue 3361657 3336967 3054375 3389871  Other Revenue, Total 40622 50971 83431 -","Revenue 3361657 3336967 3054375 3389871  Other Revenue, Total 40622 50971 83431 -","Revenue 3361657 3336967 3054375 3389871  Other Revenue, Total 40622 50971 83431 -","Revenue 3361657 3336967 3054375 3389871  Other Revenue, Total 40622 50971 83431 -"
Revenue,3361657,3336967,3054375,3389871
"Other Revenue, Total",40622,50971,83431,-
"Cost of Revenue, Total",2471682,2405821,2182554,2472002
Gross Profit,1036639,982117,955252,917869
Total Operating Expenses,3269723,3190071,2987959,3259411
"Selling/General/Admin. Expenses, Total 758832 772201 764166 787409  Research & Development - - - -  Depreciation / Amortization 82150 70583 69888 -  Interest Expense (Income) - Net Operating -4853 -4366 -4549 -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total -231127 -206114 -24100 -","Selling/General/Admin. Expenses, Total 758832 772201 764166 787409  Research & Development - - - -  Depreciation / Amortization 82150 70583 69888 -  Interest Expense (Income) - Net Operating -4853 -4366 -4549 -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total -231127 -206114 -24100 -","Selling/General/Admin. Expenses, Total 758832 772201 764166 787409  Research & Development - - - -  Depreciation / Amortization 82150 70583 69888 -  Interest Expense (Income) - Net Operating -4853 -4366 -4549 -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total -231127 -206114 -24100 -","Selling/General/Admin. Expenses, Total 758832 772201 764166 787409  Research & Development - - - -  Depreciation / Amortization 82150 70583 69888 -  Interest Expense (Income) - Net Operating -4853 -4366 -4549 -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total -231127 -206114 -24100 -","Selling/General/Admin. Expenses, Total 758832 772201 764166 787409  Research & Development - - - -  Depreciation / Amortization 82150 70583 69888 -  Interest Expense (Income) - Net Operating -4853 -4366 -4549 -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total -231127 -206114 -24100 -"
"Selling/General/Admin. Expenses, Total",758832,772201,764166,787409
Research & Development,-,-,-,-
Depreciation / Amortization,82150,70583,69888,-
Interest Expense (Income) - Net Operating,-4853,-4366,-4549,-
Unusual Expense (Income),-,-,-,-
"Other Operating Expenses, Total",-231127,-206114,-24100,-
Operating Income,238598,197867,149847,130460
"Interest Income (Expense), Net Non-Operating",-,56042,4144,-60121
Gain (Loss) on Sale of Assets,-,-,-,-89155
"Other, Net",49633,-41238,-3641,-28723
Net Income Before Taxes,188965,239105,153488,-47539
Provision for Income Taxes,63973,24845,13759,35120
Net Income After Taxes,124992,214260,139729,-82659
Minority Interest,89686,160030,139996,-18180
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,126573,194651,121709,-100839
Total Extraordinary Items,-,-,-7728,-13794
Net Income,126573,194651,113981,-114633
Total Adjustments to Net Income,-,-,7728,-
Income Available to Common Excluding Extraordinary Items,126573,194651,121709,-100839
Dilution Adjustment,-,519,-7728,-
Diluted Net Income,126573,194132,121709,-114633
Diluted Weighted Average Shares,432.64,440.34,453.66,484.92
Diluted EPS Excluding Extraordinary Items,292.56,440.87,268.29,-207.95
DPS - Common Stock Primary Issue,60,110,80,20
Diluted Normalized EPS,306.39,294.84,176.22,-88.44
