Period Ending:,202315/05,202215/05,202115/05,202015/05
Total Current Assets,-,7964,10100,5904.22
"Cash and Short Term Investments - 6787 9011 5245.53  Cash - - - -  Cash & Equivalents - 6787 9011 5245.53  Short Term Investments - - - -  Total Receivables, Net - 803 767 227.54  Accounts Receivables - Trade, Net - 803 767 227.54  Total Inventory - 176 134 136.16  Prepaid Expenses - 86 75 77.03  Other Current Assets, Total - 112 113 217.97","Cash and Short Term Investments - 6787 9011 5245.53  Cash - - - -  Cash & Equivalents - 6787 9011 5245.53  Short Term Investments - - - -  Total Receivables, Net - 803 767 227.54  Accounts Receivables - Trade, Net - 803 767 227.54  Total Inventory - 176 134 136.16  Prepaid Expenses - 86 75 77.03  Other Current Assets, Total - 112 113 217.97","Cash and Short Term Investments - 6787 9011 5245.53  Cash - - - -  Cash & Equivalents - 6787 9011 5245.53  Short Term Investments - - - -  Total Receivables, Net - 803 767 227.54  Accounts Receivables - Trade, Net - 803 767 227.54  Total Inventory - 176 134 136.16  Prepaid Expenses - 86 75 77.03  Other Current Assets, Total - 112 113 217.97","Cash and Short Term Investments - 6787 9011 5245.53  Cash - - - -  Cash & Equivalents - 6787 9011 5245.53  Short Term Investments - - - -  Total Receivables, Net - 803 767 227.54  Accounts Receivables - Trade, Net - 803 767 227.54  Total Inventory - 176 134 136.16  Prepaid Expenses - 86 75 77.03  Other Current Assets, Total - 112 113 217.97","Cash and Short Term Investments - 6787 9011 5245.53  Cash - - - -  Cash & Equivalents - 6787 9011 5245.53  Short Term Investments - - - -  Total Receivables, Net - 803 767 227.54  Accounts Receivables - Trade, Net - 803 767 227.54  Total Inventory - 176 134 136.16  Prepaid Expenses - 86 75 77.03  Other Current Assets, Total - 112 113 217.97"
Cash and Short Term Investments,-,6787,9011,5245.53
Cash,-,-,-,-
Cash & Equivalents,-,6787,9011,5245.53
Short Term Investments,-,-,-,-
"Total Receivables, Net",-,803,767,227.54
"Accounts Receivables - Trade, Net",-,803,767,227.54
Total Inventory,-,176,134,136.16
Prepaid Expenses,-,86,75,77.03
"Other Current Assets, Total",-,112,113,217.97
Total Assets,-,10977,12697,8752
