Period Ending:,202231/08,202131/08,202031/08,201931/08
Total Current Assets,1776,707.22,844.36,383.26
"Cash and Short Term Investments 1094 560.69 700.35 252.13  Cash - - - -  Cash & Equivalents 1094 560.69 700.35 252.13  Short Term Investments - - - -  Total Receivables, Net 440 134.11 129.95 110.93  Accounts Receivables - Trade, Net 440 134.11 129.95 110.93  Total Inventory 150 - 0.69 4.49  Prepaid Expenses - 12.15 9.72 9.13  Other Current Assets, Total 92 0.28 3.65 6.59","Cash and Short Term Investments 1094 560.69 700.35 252.13  Cash - - - -  Cash & Equivalents 1094 560.69 700.35 252.13  Short Term Investments - - - -  Total Receivables, Net 440 134.11 129.95 110.93  Accounts Receivables - Trade, Net 440 134.11 129.95 110.93  Total Inventory 150 - 0.69 4.49  Prepaid Expenses - 12.15 9.72 9.13  Other Current Assets, Total 92 0.28 3.65 6.59","Cash and Short Term Investments 1094 560.69 700.35 252.13  Cash - - - -  Cash & Equivalents 1094 560.69 700.35 252.13  Short Term Investments - - - -  Total Receivables, Net 440 134.11 129.95 110.93  Accounts Receivables - Trade, Net 440 134.11 129.95 110.93  Total Inventory 150 - 0.69 4.49  Prepaid Expenses - 12.15 9.72 9.13  Other Current Assets, Total 92 0.28 3.65 6.59","Cash and Short Term Investments 1094 560.69 700.35 252.13  Cash - - - -  Cash & Equivalents 1094 560.69 700.35 252.13  Short Term Investments - - - -  Total Receivables, Net 440 134.11 129.95 110.93  Accounts Receivables - Trade, Net 440 134.11 129.95 110.93  Total Inventory 150 - 0.69 4.49  Prepaid Expenses - 12.15 9.72 9.13  Other Current Assets, Total 92 0.28 3.65 6.59","Cash and Short Term Investments 1094 560.69 700.35 252.13  Cash - - - -  Cash & Equivalents 1094 560.69 700.35 252.13  Short Term Investments - - - -  Total Receivables, Net 440 134.11 129.95 110.93  Accounts Receivables - Trade, Net 440 134.11 129.95 110.93  Total Inventory 150 - 0.69 4.49  Prepaid Expenses - 12.15 9.72 9.13  Other Current Assets, Total 92 0.28 3.65 6.59"
Cash and Short Term Investments,1094,560.69,700.35,252.13
Cash,-,-,-,-
Cash & Equivalents,1094,560.69,700.35,252.13
Short Term Investments,-,-,-,-
"Total Receivables, Net",440,134.11,129.95,110.93
"Accounts Receivables - Trade, Net",440,134.11,129.95,110.93
Total Inventory,150,-,0.69,4.49
Prepaid Expenses,-,12.15,9.72,9.13
"Other Current Assets, Total",92,0.28,3.65,6.59
Total Assets,3856,3386.99,1054.89,555.55
