Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Current Assets,52998,49975,46333.79,25737.33
"Cash and Short Term Investments 45575 47303 42863.75 22979.2  Cash - - - -  Cash & Equivalents 45575 47303 42863.75 21279.2  Short Term Investments - - - 1700  Total Receivables, Net 5441 1460 3049.57 2340.16  Accounts Receivables - Trade, Net 2990 1460 3049.57 2340.16  Total Inventory - - - -  Prepaid Expenses 474 419 330.76 269.1  Other Current Assets, Total 1508 793 89.71 148.87","Cash and Short Term Investments 45575 47303 42863.75 22979.2  Cash - - - -  Cash & Equivalents 45575 47303 42863.75 21279.2  Short Term Investments - - - 1700  Total Receivables, Net 5441 1460 3049.57 2340.16  Accounts Receivables - Trade, Net 2990 1460 3049.57 2340.16  Total Inventory - - - -  Prepaid Expenses 474 419 330.76 269.1  Other Current Assets, Total 1508 793 89.71 148.87","Cash and Short Term Investments 45575 47303 42863.75 22979.2  Cash - - - -  Cash & Equivalents 45575 47303 42863.75 21279.2  Short Term Investments - - - 1700  Total Receivables, Net 5441 1460 3049.57 2340.16  Accounts Receivables - Trade, Net 2990 1460 3049.57 2340.16  Total Inventory - - - -  Prepaid Expenses 474 419 330.76 269.1  Other Current Assets, Total 1508 793 89.71 148.87","Cash and Short Term Investments 45575 47303 42863.75 22979.2  Cash - - - -  Cash & Equivalents 45575 47303 42863.75 21279.2  Short Term Investments - - - 1700  Total Receivables, Net 5441 1460 3049.57 2340.16  Accounts Receivables - Trade, Net 2990 1460 3049.57 2340.16  Total Inventory - - - -  Prepaid Expenses 474 419 330.76 269.1  Other Current Assets, Total 1508 793 89.71 148.87","Cash and Short Term Investments 45575 47303 42863.75 22979.2  Cash - - - -  Cash & Equivalents 45575 47303 42863.75 21279.2  Short Term Investments - - - 1700  Total Receivables, Net 5441 1460 3049.57 2340.16  Accounts Receivables - Trade, Net 2990 1460 3049.57 2340.16  Total Inventory - - - -  Prepaid Expenses 474 419 330.76 269.1  Other Current Assets, Total 1508 793 89.71 148.87"
Cash and Short Term Investments,45575,47303,42863.75,22979.2
Cash,-,-,-,-
Cash & Equivalents,45575,47303,42863.75,21279.2
Short Term Investments,-,-,-,1700
"Total Receivables, Net",5441,1460,3049.57,2340.16
"Accounts Receivables - Trade, Net",2990,1460,3049.57,2340.16
Total Inventory,-,-,-,-
Prepaid Expenses,474,419,330.76,269.1
"Other Current Assets, Total",1508,793,89.71,148.87
Total Assets,65765,58919,54110.44,44296.25
