Period Ending:,202230/06,202130/06,202030/06,201930/06
Total Current Assets,13159,6283.08,6488.62,8079.58
"Cash and Short Term Investments 10015 3881.7 4295.3 5665.29  Cash - - - -  Cash & Equivalents 10015 3881.7 4295.3 5665.29  Short Term Investments - - - -  Total Receivables, Net 1980 1291.68 1240.11 1345.65  Accounts Receivables - Trade, Net 1980 893.83 444.54 1345.65  Total Inventory 102 100.25 93.86 109.54  Prepaid Expenses 971 958.83 - -  Other Current Assets, Total 91 50.63 859.36 959.11","Cash and Short Term Investments 10015 3881.7 4295.3 5665.29  Cash - - - -  Cash & Equivalents 10015 3881.7 4295.3 5665.29  Short Term Investments - - - -  Total Receivables, Net 1980 1291.68 1240.11 1345.65  Accounts Receivables - Trade, Net 1980 893.83 444.54 1345.65  Total Inventory 102 100.25 93.86 109.54  Prepaid Expenses 971 958.83 - -  Other Current Assets, Total 91 50.63 859.36 959.11","Cash and Short Term Investments 10015 3881.7 4295.3 5665.29  Cash - - - -  Cash & Equivalents 10015 3881.7 4295.3 5665.29  Short Term Investments - - - -  Total Receivables, Net 1980 1291.68 1240.11 1345.65  Accounts Receivables - Trade, Net 1980 893.83 444.54 1345.65  Total Inventory 102 100.25 93.86 109.54  Prepaid Expenses 971 958.83 - -  Other Current Assets, Total 91 50.63 859.36 959.11","Cash and Short Term Investments 10015 3881.7 4295.3 5665.29  Cash - - - -  Cash & Equivalents 10015 3881.7 4295.3 5665.29  Short Term Investments - - - -  Total Receivables, Net 1980 1291.68 1240.11 1345.65  Accounts Receivables - Trade, Net 1980 893.83 444.54 1345.65  Total Inventory 102 100.25 93.86 109.54  Prepaid Expenses 971 958.83 - -  Other Current Assets, Total 91 50.63 859.36 959.11","Cash and Short Term Investments 10015 3881.7 4295.3 5665.29  Cash - - - -  Cash & Equivalents 10015 3881.7 4295.3 5665.29  Short Term Investments - - - -  Total Receivables, Net 1980 1291.68 1240.11 1345.65  Accounts Receivables - Trade, Net 1980 893.83 444.54 1345.65  Total Inventory 102 100.25 93.86 109.54  Prepaid Expenses 971 958.83 - -  Other Current Assets, Total 91 50.63 859.36 959.11"
Cash and Short Term Investments,10015,3881.7,4295.3,5665.29
Cash,-,-,-,-
Cash & Equivalents,10015,3881.7,4295.3,5665.29
Short Term Investments,-,-,-,-
"Total Receivables, Net",1980,1291.68,1240.11,1345.65
"Accounts Receivables - Trade, Net",1980,893.83,444.54,1345.65
Total Inventory,102,100.25,93.86,109.54
Prepaid Expenses,971,958.83,-,-
"Other Current Assets, Total",91,50.63,859.36,959.11
Total Assets,25932,17296.67,17422.65,18906.35
"Property/Plant/Equipment, Total - Net 6636 4853.81 4826.37 4797.71  Property/Plant/Equipment, Total - Gross - - - -  Accumulated Depreciation, Total - - - -  Goodwill, Net - - - -  Intangibles, Net 140 191.33 265.01 331.06  Long Term Investments 5977 53.33 51.66 50.76  Note Receivable - Long Term - 27.66 36.48 45.13  Other Long Term Assets, Total 2 5887.46 5754.49 5602.11  Other Assets, Total -1769 - - -","Property/Plant/Equipment, Total - Net 6636 4853.81 4826.37 4797.71  Property/Plant/Equipment, Total - Gross - - - -  Accumulated Depreciation, Total - - - -  Goodwill, Net - - - -  Intangibles, Net 140 191.33 265.01 331.06  Long Term Investments 5977 53.33 51.66 50.76  Note Receivable - Long Term - 27.66 36.48 45.13  Other Long Term Assets, Total 2 5887.46 5754.49 5602.11  Other Assets, Total -1769 - - -","Property/Plant/Equipment, Total - Net 6636 4853.81 4826.37 4797.71  Property/Plant/Equipment, Total - Gross - - - -  Accumulated Depreciation, Total - - - -  Goodwill, Net - - - -  Intangibles, Net 140 191.33 265.01 331.06  Long Term Investments 5977 53.33 51.66 50.76  Note Receivable - Long Term - 27.66 36.48 45.13  Other Long Term Assets, Total 2 5887.46 5754.49 5602.11  Other Assets, Total -1769 - - -","Property/Plant/Equipment, Total - Net 6636 4853.81 4826.37 4797.71  Property/Plant/Equipment, Total - Gross - - - -  Accumulated Depreciation, Total - - - -  Goodwill, Net - - - -  Intangibles, Net 140 191.33 265.01 331.06  Long Term Investments 5977 53.33 51.66 50.76  Note Receivable - Long Term - 27.66 36.48 45.13  Other Long Term Assets, Total 2 5887.46 5754.49 5602.11  Other Assets, Total -1769 - - -","Property/Plant/Equipment, Total - Net 6636 4853.81 4826.37 4797.71  Property/Plant/Equipment, Total - Gross - - - -  Accumulated Depreciation, Total - - - -  Goodwill, Net - - - -  Intangibles, Net 140 191.33 265.01 331.06  Long Term Investments 5977 53.33 51.66 50.76  Note Receivable - Long Term - 27.66 36.48 45.13  Other Long Term Assets, Total 2 5887.46 5754.49 5602.11  Other Assets, Total -1769 - - -"
"Property/Plant/Equipment, Total - Net",6636,4853.81,4826.37,4797.71
"Property/Plant/Equipment, Total - Gross",-,-,-,-
"Accumulated Depreciation, Total",-,-,-,-
"Goodwill, Net",-,-,-,-
"Intangibles, Net",140,191.33,265.01,331.06
Long Term Investments,5977,53.33,51.66,50.76
Note Receivable - Long Term,-,27.66,36.48,45.13
"Other Long Term Assets, Total",2,5887.46,5754.49,5602.11
"Other Assets, Total",-1769,-,-,-
Total Current Liabilities,16583,10472.06,7659.94,4263.77
"Accounts Payable 949 708.57 532.6 1044.17  Payable/Accrued - - - -  Accrued Expenses 579 546.27 538.65 826.06  Notes Payable/Short Term Debt 9600 7600 5000 120  Current Port. of LT Debt/Capital Leases 3780 790.23 775.06 719.67  Other Current liabilities, Total 1675 826.99 813.63 1553.88","Accounts Payable 949 708.57 532.6 1044.17  Payable/Accrued - - - -  Accrued Expenses 579 546.27 538.65 826.06  Notes Payable/Short Term Debt 9600 7600 5000 120  Current Port. of LT Debt/Capital Leases 3780 790.23 775.06 719.67  Other Current liabilities, Total 1675 826.99 813.63 1553.88","Accounts Payable 949 708.57 532.6 1044.17  Payable/Accrued - - - -  Accrued Expenses 579 546.27 538.65 826.06  Notes Payable/Short Term Debt 9600 7600 5000 120  Current Port. of LT Debt/Capital Leases 3780 790.23 775.06 719.67  Other Current liabilities, Total 1675 826.99 813.63 1553.88","Accounts Payable 949 708.57 532.6 1044.17  Payable/Accrued - - - -  Accrued Expenses 579 546.27 538.65 826.06  Notes Payable/Short Term Debt 9600 7600 5000 120  Current Port. of LT Debt/Capital Leases 3780 790.23 775.06 719.67  Other Current liabilities, Total 1675 826.99 813.63 1553.88","Accounts Payable 949 708.57 532.6 1044.17  Payable/Accrued - - - -  Accrued Expenses 579 546.27 538.65 826.06  Notes Payable/Short Term Debt 9600 7600 5000 120  Current Port. of LT Debt/Capital Leases 3780 790.23 775.06 719.67  Other Current liabilities, Total 1675 826.99 813.63 1553.88"
Accounts Payable,949,708.57,532.6,1044.17
Payable/Accrued,-,-,-,-
Accrued Expenses,579,546.27,538.65,826.06
Notes Payable/Short Term Debt,9600,7600,5000,120
Current Port. of LT Debt/Capital Leases,3780,790.23,775.06,719.67
"Other Current liabilities, Total",1675,826.99,813.63,1553.88
Total Liabilities,24585,20229.96,11419.52,8263.4
"Total Long Term Debt 7158 9046.78 3147.34 3405  Long Term Debt 7158 8948.23 3054.85 3310.48  Capital Lease Obligations - 98.56 92.48 94.52  Deferred Income Tax - - - -  Minority Interest - - - -  Other Liabilities, Total -19695.22 711.11 612.25 594.62","Total Long Term Debt 7158 9046.78 3147.34 3405  Long Term Debt 7158 8948.23 3054.85 3310.48  Capital Lease Obligations - 98.56 92.48 94.52  Deferred Income Tax - - - -  Minority Interest - - - -  Other Liabilities, Total -19695.22 711.11 612.25 594.62","Total Long Term Debt 7158 9046.78 3147.34 3405  Long Term Debt 7158 8948.23 3054.85 3310.48  Capital Lease Obligations - 98.56 92.48 94.52  Deferred Income Tax - - - -  Minority Interest - - - -  Other Liabilities, Total -19695.22 711.11 612.25 594.62","Total Long Term Debt 7158 9046.78 3147.34 3405  Long Term Debt 7158 8948.23 3054.85 3310.48  Capital Lease Obligations - 98.56 92.48 94.52  Deferred Income Tax - - - -  Minority Interest - - - -  Other Liabilities, Total -19695.22 711.11 612.25 594.62","Total Long Term Debt 7158 9046.78 3147.34 3405  Long Term Debt 7158 8948.23 3054.85 3310.48  Capital Lease Obligations - 98.56 92.48 94.52  Deferred Income Tax - - - -  Minority Interest - - - -  Other Liabilities, Total -19695.22 711.11 612.25 594.62"
Total Long Term Debt,7158,9046.78,3147.34,3405
Long Term Debt,7158,8948.23,3054.85,3310.48
Capital Lease Obligations,-,98.56,92.48,94.52
Deferred Income Tax,-,-,-,-
Minority Interest,-,-,-,-
"Other Liabilities, Total",-19695.22,711.11,612.25,594.62
Total Equity,1347,-2933.29,6003.13,10642.95
"Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 100 1948.03 1948.03 1948.03  Additional Paid-In Capital 3433 1949.81 1949.81 1948.03  Retained Earnings (Accumulated Deficit) -2170 -6812.33 2119.76 6750.93  Treasury Stock - Common -8 -8.92 -8.92 -0.07  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - -9.88 -5.55 -3.97  Other Equity, Total -8 - -0 -","Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 100 1948.03 1948.03 1948.03  Additional Paid-In Capital 3433 1949.81 1949.81 1948.03  Retained Earnings (Accumulated Deficit) -2170 -6812.33 2119.76 6750.93  Treasury Stock - Common -8 -8.92 -8.92 -0.07  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - -9.88 -5.55 -3.97  Other Equity, Total -8 - -0 -","Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 100 1948.03 1948.03 1948.03  Additional Paid-In Capital 3433 1949.81 1949.81 1948.03  Retained Earnings (Accumulated Deficit) -2170 -6812.33 2119.76 6750.93  Treasury Stock - Common -8 -8.92 -8.92 -0.07  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - -9.88 -5.55 -3.97  Other Equity, Total -8 - -0 -","Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 100 1948.03 1948.03 1948.03  Additional Paid-In Capital 3433 1949.81 1949.81 1948.03  Retained Earnings (Accumulated Deficit) -2170 -6812.33 2119.76 6750.93  Treasury Stock - Common -8 -8.92 -8.92 -0.07  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - -9.88 -5.55 -3.97  Other Equity, Total -8 - -0 -","Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 100 1948.03 1948.03 1948.03  Additional Paid-In Capital 3433 1949.81 1949.81 1948.03  Retained Earnings (Accumulated Deficit) -2170 -6812.33 2119.76 6750.93  Treasury Stock - Common -8 -8.92 -8.92 -0.07  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - -9.88 -5.55 -3.97  Other Equity, Total -8 - -0 -"
"Redeemable Preferred Stock, Total",-,-,-,-
"Preferred Stock - Non Redeemable, Net",-,-,-,-
"Common Stock, Total",100,1948.03,1948.03,1948.03
Additional Paid-In Capital,3433,1949.81,1949.81,1948.03
Retained Earnings (Accumulated Deficit),-2170,-6812.33,2119.76,6750.93
Treasury Stock - Common,-8,-8.92,-8.92,-0.07
ESOP Debt Guarantee,-,-,-,-
Unrealized Gain (Loss),-,-9.88,-5.55,-3.97
"Other Equity, Total",-8,-,-0,-
Total Liabilities & Shareholders' Equity,25932,17296.67,17422.65,18906.35
Total Common Shares Outstanding,12.88,12.88,12.88,12.88
Total Preferred Shares Outstanding,-,-,-,-
