Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Current Assets,45411,46534,43997,42595
"Cash and Short Term Investments 9128 12224 11595 10336  Cash - - - -  Cash & Equivalents 9051 12224 11595 10336  Short Term Investments 77 - - -  Total Receivables, Net 17319 16486 16853 17410  Accounts Receivables - Trade, Net 15101 16486 16853 17410  Total Inventory 16636 15508 13247 12432  Prepaid Expenses 369 317 278 275  Other Current Assets, Total 1959 1999 2024 2142","Cash and Short Term Investments 9128 12224 11595 10336  Cash - - - -  Cash & Equivalents 9051 12224 11595 10336  Short Term Investments 77 - - -  Total Receivables, Net 17319 16486 16853 17410  Accounts Receivables - Trade, Net 15101 16486 16853 17410  Total Inventory 16636 15508 13247 12432  Prepaid Expenses 369 317 278 275  Other Current Assets, Total 1959 1999 2024 2142","Cash and Short Term Investments 9128 12224 11595 10336  Cash - - - -  Cash & Equivalents 9051 12224 11595 10336  Short Term Investments 77 - - -  Total Receivables, Net 17319 16486 16853 17410  Accounts Receivables - Trade, Net 15101 16486 16853 17410  Total Inventory 16636 15508 13247 12432  Prepaid Expenses 369 317 278 275  Other Current Assets, Total 1959 1999 2024 2142","Cash and Short Term Investments 9128 12224 11595 10336  Cash - - - -  Cash & Equivalents 9051 12224 11595 10336  Short Term Investments 77 - - -  Total Receivables, Net 17319 16486 16853 17410  Accounts Receivables - Trade, Net 15101 16486 16853 17410  Total Inventory 16636 15508 13247 12432  Prepaid Expenses 369 317 278 275  Other Current Assets, Total 1959 1999 2024 2142","Cash and Short Term Investments 9128 12224 11595 10336  Cash - - - -  Cash & Equivalents 9051 12224 11595 10336  Short Term Investments 77 - - -  Total Receivables, Net 17319 16486 16853 17410  Accounts Receivables - Trade, Net 15101 16486 16853 17410  Total Inventory 16636 15508 13247 12432  Prepaid Expenses 369 317 278 275  Other Current Assets, Total 1959 1999 2024 2142"
Cash and Short Term Investments,9128,12224,11595,10336
Cash,-,-,-,-
Cash & Equivalents,9051,12224,11595,10336
Short Term Investments,77,-,-,-
"Total Receivables, Net",17319,16486,16853,17410
"Accounts Receivables - Trade, Net",15101,16486,16853,17410
Total Inventory,16636,15508,13247,12432
Prepaid Expenses,369,317,278,275
"Other Current Assets, Total",1959,1999,2024,2142
Total Assets,85025,86469,85033,81736
