Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Current Assets,-,68130,65523,65638
"Cash and Short Term Investments 20855 21664 20938 20415  Cash - - - -  Cash & Equivalents 20685 21403 20687 20242  Short Term Investments 170 261 251 173  Total Receivables, Net - 21868 21712 18333  Accounts Receivables - Trade, Net - 21868 16825 16314  Total Inventory - 23351 21778 25296  Prepaid Expenses - 767 651 840  Other Current Assets, Total 1263 480 444 754","Cash and Short Term Investments 20855 21664 20938 20415  Cash - - - -  Cash & Equivalents 20685 21403 20687 20242  Short Term Investments 170 261 251 173  Total Receivables, Net - 21868 21712 18333  Accounts Receivables - Trade, Net - 21868 16825 16314  Total Inventory - 23351 21778 25296  Prepaid Expenses - 767 651 840  Other Current Assets, Total 1263 480 444 754","Cash and Short Term Investments 20855 21664 20938 20415  Cash - - - -  Cash & Equivalents 20685 21403 20687 20242  Short Term Investments 170 261 251 173  Total Receivables, Net - 21868 21712 18333  Accounts Receivables - Trade, Net - 21868 16825 16314  Total Inventory - 23351 21778 25296  Prepaid Expenses - 767 651 840  Other Current Assets, Total 1263 480 444 754","Cash and Short Term Investments 20855 21664 20938 20415  Cash - - - -  Cash & Equivalents 20685 21403 20687 20242  Short Term Investments 170 261 251 173  Total Receivables, Net - 21868 21712 18333  Accounts Receivables - Trade, Net - 21868 16825 16314  Total Inventory - 23351 21778 25296  Prepaid Expenses - 767 651 840  Other Current Assets, Total 1263 480 444 754","Cash and Short Term Investments 20855 21664 20938 20415  Cash - - - -  Cash & Equivalents 20685 21403 20687 20242  Short Term Investments 170 261 251 173  Total Receivables, Net - 21868 21712 18333  Accounts Receivables - Trade, Net - 21868 16825 16314  Total Inventory - 23351 21778 25296  Prepaid Expenses - 767 651 840  Other Current Assets, Total 1263 480 444 754"
Cash and Short Term Investments,20855,21664,20938,20415
Cash,-,-,-,-
Cash & Equivalents,20685,21403,20687,20242
Short Term Investments,170,261,251,173
"Total Receivables, Net",-,21868,21712,18333
"Accounts Receivables - Trade, Net",-,21868,16825,16314
Total Inventory,-,23351,21778,25296
Prepaid Expenses,-,767,651,840
"Other Current Assets, Total",1263,480,444,754
Total Assets,-,248455,245386,261996
