Period Ending:,202231/03,202131/03,202031/03,201931/03
Total Current Assets,6761.6,6242.94,7491.43,6247.07
"Cash and Short Term Investments 967.51 1422.49 2556.41 1820.25  Cash - - - -  Cash & Equivalents 967.51 1422.49 2556.41 1820.25  Short Term Investments - - - -  Total Receivables, Net 2906.08 1816.81 2413.61 2759.25  Accounts Receivables - Trade, Net 2040.76 1436.11 1900.13 2759.25  Total Inventory 2320.51 2213.08 2109.88 1645.98  Prepaid Expenses 26.12 21.51 20.07 18.81  Other Current Assets, Total 541.37 769.06 391.46 21.58","Cash and Short Term Investments 967.51 1422.49 2556.41 1820.25  Cash - - - -  Cash & Equivalents 967.51 1422.49 2556.41 1820.25  Short Term Investments - - - -  Total Receivables, Net 2906.08 1816.81 2413.61 2759.25  Accounts Receivables - Trade, Net 2040.76 1436.11 1900.13 2759.25  Total Inventory 2320.51 2213.08 2109.88 1645.98  Prepaid Expenses 26.12 21.51 20.07 18.81  Other Current Assets, Total 541.37 769.06 391.46 21.58","Cash and Short Term Investments 967.51 1422.49 2556.41 1820.25  Cash - - - -  Cash & Equivalents 967.51 1422.49 2556.41 1820.25  Short Term Investments - - - -  Total Receivables, Net 2906.08 1816.81 2413.61 2759.25  Accounts Receivables - Trade, Net 2040.76 1436.11 1900.13 2759.25  Total Inventory 2320.51 2213.08 2109.88 1645.98  Prepaid Expenses 26.12 21.51 20.07 18.81  Other Current Assets, Total 541.37 769.06 391.46 21.58","Cash and Short Term Investments 967.51 1422.49 2556.41 1820.25  Cash - - - -  Cash & Equivalents 967.51 1422.49 2556.41 1820.25  Short Term Investments - - - -  Total Receivables, Net 2906.08 1816.81 2413.61 2759.25  Accounts Receivables - Trade, Net 2040.76 1436.11 1900.13 2759.25  Total Inventory 2320.51 2213.08 2109.88 1645.98  Prepaid Expenses 26.12 21.51 20.07 18.81  Other Current Assets, Total 541.37 769.06 391.46 21.58","Cash and Short Term Investments 967.51 1422.49 2556.41 1820.25  Cash - - - -  Cash & Equivalents 967.51 1422.49 2556.41 1820.25  Short Term Investments - - - -  Total Receivables, Net 2906.08 1816.81 2413.61 2759.25  Accounts Receivables - Trade, Net 2040.76 1436.11 1900.13 2759.25  Total Inventory 2320.51 2213.08 2109.88 1645.98  Prepaid Expenses 26.12 21.51 20.07 18.81  Other Current Assets, Total 541.37 769.06 391.46 21.58"
Cash and Short Term Investments,967.51,1422.49,2556.41,1820.25
Cash,-,-,-,-
Cash & Equivalents,967.51,1422.49,2556.41,1820.25
Short Term Investments,-,-,-,-
"Total Receivables, Net",2906.08,1816.81,2413.61,2759.25
"Accounts Receivables - Trade, Net",2040.76,1436.11,1900.13,2759.25
Total Inventory,2320.51,2213.08,2109.88,1645.98
Prepaid Expenses,26.12,21.51,20.07,18.81
"Other Current Assets, Total",541.37,769.06,391.46,21.58
Total Assets,12811.66,11081.89,10569.55,9462.16
