Period Ending:,202230/06,202130/06,202030/06,201930/06
Total Current Assets,12030,12991,11780.82,10165.94
"Cash and Short Term Investments 9625 9809 7822.73 6393.53  Cash - - - -  Cash & Equivalents 9625 9809 7822.73 6393.53  Short Term Investments - - - -  Total Receivables, Net 1624 2906 3456.76 3251.87  Accounts Receivables - Trade, Net 1614 1412 3355.47 3204.78  Total Inventory 288 198 200.86 175.1  Prepaid Expenses 110 62 - -  Other Current Assets, Total 383 16 300.47 345.44","Cash and Short Term Investments 9625 9809 7822.73 6393.53  Cash - - - -  Cash & Equivalents 9625 9809 7822.73 6393.53  Short Term Investments - - - -  Total Receivables, Net 1624 2906 3456.76 3251.87  Accounts Receivables - Trade, Net 1614 1412 3355.47 3204.78  Total Inventory 288 198 200.86 175.1  Prepaid Expenses 110 62 - -  Other Current Assets, Total 383 16 300.47 345.44","Cash and Short Term Investments 9625 9809 7822.73 6393.53  Cash - - - -  Cash & Equivalents 9625 9809 7822.73 6393.53  Short Term Investments - - - -  Total Receivables, Net 1624 2906 3456.76 3251.87  Accounts Receivables - Trade, Net 1614 1412 3355.47 3204.78  Total Inventory 288 198 200.86 175.1  Prepaid Expenses 110 62 - -  Other Current Assets, Total 383 16 300.47 345.44","Cash and Short Term Investments 9625 9809 7822.73 6393.53  Cash - - - -  Cash & Equivalents 9625 9809 7822.73 6393.53  Short Term Investments - - - -  Total Receivables, Net 1624 2906 3456.76 3251.87  Accounts Receivables - Trade, Net 1614 1412 3355.47 3204.78  Total Inventory 288 198 200.86 175.1  Prepaid Expenses 110 62 - -  Other Current Assets, Total 383 16 300.47 345.44","Cash and Short Term Investments 9625 9809 7822.73 6393.53  Cash - - - -  Cash & Equivalents 9625 9809 7822.73 6393.53  Short Term Investments - - - -  Total Receivables, Net 1624 2906 3456.76 3251.87  Accounts Receivables - Trade, Net 1614 1412 3355.47 3204.78  Total Inventory 288 198 200.86 175.1  Prepaid Expenses 110 62 - -  Other Current Assets, Total 383 16 300.47 345.44"
Cash and Short Term Investments,9625,9809,7822.73,6393.53
Cash,-,-,-,-
Cash & Equivalents,9625,9809,7822.73,6393.53
Short Term Investments,-,-,-,-
"Total Receivables, Net",1624,2906,3456.76,3251.87
"Accounts Receivables - Trade, Net",1614,1412,3355.47,3204.78
Total Inventory,288,198,200.86,175.1
Prepaid Expenses,110,62,-,-
"Other Current Assets, Total",383,16,300.47,345.44
Total Assets,20816,20330,24912.92,18694.94
"Property/Plant/Equipment, Total - Net 2849 3148 3480.1 471.85  Property/Plant/Equipment, Total - Gross - 3491.34 4094.71 1042.59  Accumulated Depreciation, Total - -342.74 -614.61 -570.75  Goodwill, Net 2356 1949 7086.43 6192.01  Intangibles, Net 1219 176 1242.52 1034.53  Long Term Investments 1672 1586 670.31 482.13  Note Receivable - Long Term 10 1494 - -  Other Long Term Assets, Total 1 2 652.75 348.5  Other Assets, Total -264 -2214 - -","Property/Plant/Equipment, Total - Net 2849 3148 3480.1 471.85  Property/Plant/Equipment, Total - Gross - 3491.34 4094.71 1042.59  Accumulated Depreciation, Total - -342.74 -614.61 -570.75  Goodwill, Net 2356 1949 7086.43 6192.01  Intangibles, Net 1219 176 1242.52 1034.53  Long Term Investments 1672 1586 670.31 482.13  Note Receivable - Long Term 10 1494 - -  Other Long Term Assets, Total 1 2 652.75 348.5  Other Assets, Total -264 -2214 - -","Property/Plant/Equipment, Total - Net 2849 3148 3480.1 471.85  Property/Plant/Equipment, Total - Gross - 3491.34 4094.71 1042.59  Accumulated Depreciation, Total - -342.74 -614.61 -570.75  Goodwill, Net 2356 1949 7086.43 6192.01  Intangibles, Net 1219 176 1242.52 1034.53  Long Term Investments 1672 1586 670.31 482.13  Note Receivable - Long Term 10 1494 - -  Other Long Term Assets, Total 1 2 652.75 348.5  Other Assets, Total -264 -2214 - -","Property/Plant/Equipment, Total - Net 2849 3148 3480.1 471.85  Property/Plant/Equipment, Total - Gross - 3491.34 4094.71 1042.59  Accumulated Depreciation, Total - -342.74 -614.61 -570.75  Goodwill, Net 2356 1949 7086.43 6192.01  Intangibles, Net 1219 176 1242.52 1034.53  Long Term Investments 1672 1586 670.31 482.13  Note Receivable - Long Term 10 1494 - -  Other Long Term Assets, Total 1 2 652.75 348.5  Other Assets, Total -264 -2214 - -","Property/Plant/Equipment, Total - Net 2849 3148 3480.1 471.85  Property/Plant/Equipment, Total - Gross - 3491.34 4094.71 1042.59  Accumulated Depreciation, Total - -342.74 -614.61 -570.75  Goodwill, Net 2356 1949 7086.43 6192.01  Intangibles, Net 1219 176 1242.52 1034.53  Long Term Investments 1672 1586 670.31 482.13  Note Receivable - Long Term 10 1494 - -  Other Long Term Assets, Total 1 2 652.75 348.5  Other Assets, Total -264 -2214 - -"
"Property/Plant/Equipment, Total - Net",2849,3148,3480.1,471.85
"Property/Plant/Equipment, Total - Gross",-,3491.34,4094.71,1042.59
"Accumulated Depreciation, Total",-,-342.74,-614.61,-570.75
"Goodwill, Net",2356,1949,7086.43,6192.01
"Intangibles, Net",1219,176,1242.52,1034.53
Long Term Investments,1672,1586,670.31,482.13
Note Receivable - Long Term,10,1494,-,-
"Other Long Term Assets, Total",1,2,652.75,348.5
"Other Assets, Total",-264,-2214,-,-
Total Current Liabilities,5936,4911,8168.27,4984.74
"Accounts Payable 947 697 819.14 708.48  Payable/Accrued - 69.42 76.6 45.15  Accrued Expenses - 221.78 260.73 282.15  Notes Payable/Short Term Debt 1866 2174 2983.9 166.67  Current Port. of LT Debt/Capital Leases 1975 1660 2341.65 1807.54  Other Current liabilities, Total 1148 380 1762.85 1974.76","Accounts Payable 947 697 819.14 708.48  Payable/Accrued - 69.42 76.6 45.15  Accrued Expenses - 221.78 260.73 282.15  Notes Payable/Short Term Debt 1866 2174 2983.9 166.67  Current Port. of LT Debt/Capital Leases 1975 1660 2341.65 1807.54  Other Current liabilities, Total 1148 380 1762.85 1974.76","Accounts Payable 947 697 819.14 708.48  Payable/Accrued - 69.42 76.6 45.15  Accrued Expenses - 221.78 260.73 282.15  Notes Payable/Short Term Debt 1866 2174 2983.9 166.67  Current Port. of LT Debt/Capital Leases 1975 1660 2341.65 1807.54  Other Current liabilities, Total 1148 380 1762.85 1974.76","Accounts Payable 947 697 819.14 708.48  Payable/Accrued - 69.42 76.6 45.15  Accrued Expenses - 221.78 260.73 282.15  Notes Payable/Short Term Debt 1866 2174 2983.9 166.67  Current Port. of LT Debt/Capital Leases 1975 1660 2341.65 1807.54  Other Current liabilities, Total 1148 380 1762.85 1974.76","Accounts Payable 947 697 819.14 708.48  Payable/Accrued - 69.42 76.6 45.15  Accrued Expenses - 221.78 260.73 282.15  Notes Payable/Short Term Debt 1866 2174 2983.9 166.67  Current Port. of LT Debt/Capital Leases 1975 1660 2341.65 1807.54  Other Current liabilities, Total 1148 380 1762.85 1974.76"
Accounts Payable,947,697,819.14,708.48
Payable/Accrued,-,69.42,76.6,45.15
Accrued Expenses,-,221.78,260.73,282.15
Notes Payable/Short Term Debt,1866,2174,2983.9,166.67
Current Port. of LT Debt/Capital Leases,1975,1660,2341.65,1807.54
"Other Current liabilities, Total",1148,380,1762.85,1974.76
Total Liabilities,11811,9861,17509.93,11684.35
