Period Ending:,202231/12,202131/12,202031/12,201931/12
Total Current Assets,2659,2308.76,2072.96,1862.33
"Cash and Short Term Investments 1961 1692.24 1590.59 1411.17  Cash - - - -  Cash & Equivalents 1961 1692.24 1590.59 1411.17  Short Term Investments - - - -  Total Receivables, Net 273 195.9 169.05 138.45  Accounts Receivables - Trade, Net 273 195.79 168.45 138.24  Total Inventory 412 409.74 307.89 300.65  Prepaid Expenses 11 10.4 5.02 3.72  Other Current Assets, Total 2 0.48 0.4 8.35","Cash and Short Term Investments 1961 1692.24 1590.59 1411.17  Cash - - - -  Cash & Equivalents 1961 1692.24 1590.59 1411.17  Short Term Investments - - - -  Total Receivables, Net 273 195.9 169.05 138.45  Accounts Receivables - Trade, Net 273 195.79 168.45 138.24  Total Inventory 412 409.74 307.89 300.65  Prepaid Expenses 11 10.4 5.02 3.72  Other Current Assets, Total 2 0.48 0.4 8.35","Cash and Short Term Investments 1961 1692.24 1590.59 1411.17  Cash - - - -  Cash & Equivalents 1961 1692.24 1590.59 1411.17  Short Term Investments - - - -  Total Receivables, Net 273 195.9 169.05 138.45  Accounts Receivables - Trade, Net 273 195.79 168.45 138.24  Total Inventory 412 409.74 307.89 300.65  Prepaid Expenses 11 10.4 5.02 3.72  Other Current Assets, Total 2 0.48 0.4 8.35","Cash and Short Term Investments 1961 1692.24 1590.59 1411.17  Cash - - - -  Cash & Equivalents 1961 1692.24 1590.59 1411.17  Short Term Investments - - - -  Total Receivables, Net 273 195.9 169.05 138.45  Accounts Receivables - Trade, Net 273 195.79 168.45 138.24  Total Inventory 412 409.74 307.89 300.65  Prepaid Expenses 11 10.4 5.02 3.72  Other Current Assets, Total 2 0.48 0.4 8.35","Cash and Short Term Investments 1961 1692.24 1590.59 1411.17  Cash - - - -  Cash & Equivalents 1961 1692.24 1590.59 1411.17  Short Term Investments - - - -  Total Receivables, Net 273 195.9 169.05 138.45  Accounts Receivables - Trade, Net 273 195.79 168.45 138.24  Total Inventory 412 409.74 307.89 300.65  Prepaid Expenses 11 10.4 5.02 3.72  Other Current Assets, Total 2 0.48 0.4 8.35"
Cash and Short Term Investments,1961,1692.24,1590.59,1411.17
Cash,-,-,-,-
Cash & Equivalents,1961,1692.24,1590.59,1411.17
Short Term Investments,-,-,-,-
"Total Receivables, Net",273,195.9,169.05,138.45
"Accounts Receivables - Trade, Net",273,195.79,168.45,138.24
Total Inventory,412,409.74,307.89,300.65
Prepaid Expenses,11,10.4,5.02,3.72
"Other Current Assets, Total",2,0.48,0.4,8.35
Total Assets,3711,3413.68,3221.62,3140.96
