Period Ending:,202231/12,202131/12,202031/12,201931/12
Total Current Assets,1336537,1063661,834906,699680
"Cash and Short Term Investments 503107 471970 378620 333058  Cash - 261331 205734 -  Cash & Equivalents 222169 267753 6599 203941  Short Term Investments 280938 204217 166287 129117  Total Receivables, Net 514283 356009 253354 181641  Accounts Receivables - Trade, Net 512538 355081 195632 139628  Total Inventory 292206 208838 183893 168122  Prepaid Expenses 18770 17301 14997 11807  Other Current Assets, Total 8171 9543 4042 5052","Cash and Short Term Investments 503107 471970 378620 333058  Cash - 261331 205734 -  Cash & Equivalents 222169 267753 6599 203941  Short Term Investments 280938 204217 166287 129117  Total Receivables, Net 514283 356009 253354 181641  Accounts Receivables - Trade, Net 512538 355081 195632 139628  Total Inventory 292206 208838 183893 168122  Prepaid Expenses 18770 17301 14997 11807  Other Current Assets, Total 8171 9543 4042 5052","Cash and Short Term Investments 503107 471970 378620 333058  Cash - 261331 205734 -  Cash & Equivalents 222169 267753 6599 203941  Short Term Investments 280938 204217 166287 129117  Total Receivables, Net 514283 356009 253354 181641  Accounts Receivables - Trade, Net 512538 355081 195632 139628  Total Inventory 292206 208838 183893 168122  Prepaid Expenses 18770 17301 14997 11807  Other Current Assets, Total 8171 9543 4042 5052","Cash and Short Term Investments 503107 471970 378620 333058  Cash - 261331 205734 -  Cash & Equivalents 222169 267753 6599 203941  Short Term Investments 280938 204217 166287 129117  Total Receivables, Net 514283 356009 253354 181641  Accounts Receivables - Trade, Net 512538 355081 195632 139628  Total Inventory 292206 208838 183893 168122  Prepaid Expenses 18770 17301 14997 11807  Other Current Assets, Total 8171 9543 4042 5052","Cash and Short Term Investments 503107 471970 378620 333058  Cash - 261331 205734 -  Cash & Equivalents 222169 267753 6599 203941  Short Term Investments 280938 204217 166287 129117  Total Receivables, Net 514283 356009 253354 181641  Accounts Receivables - Trade, Net 512538 355081 195632 139628  Total Inventory 292206 208838 183893 168122  Prepaid Expenses 18770 17301 14997 11807  Other Current Assets, Total 8171 9543 4042 5052"
Cash and Short Term Investments,503107,471970,378620,333058
Cash,-,261331,205734,-
Cash & Equivalents,222169,267753,6599,203941
Short Term Investments,280938,204217,166287,129117
"Total Receivables, Net",514283,356009,253354,181641
"Accounts Receivables - Trade, Net",512538,355081,195632,139628
Total Inventory,292206,208838,183893,168122
Prepaid Expenses,18770,17301,14997,11807
"Other Current Assets, Total",8171,9543,4042,5052
Total Assets,1869758,1538694,1235498,1058915
