Period Ending:,202331/01,202231/07,202231/01,202131/07
Total Current Assets,12585,12683,12184,11070.36
"Cash and Short Term Investments 3488 4265 3774 3169.69  Cash - - - -  Cash & Equivalents 3488 4265 3774 3169.69  Short Term Investments - - - -  Total Receivables, Net 147 137 88 179.68  Accounts Receivables - Trade, Net 147 137 88 96.19  Total Inventory - - - -  Prepaid Expenses - - - 177.09  Other Current Assets, Total 8950 8281 8322 7720.99","Cash and Short Term Investments 3488 4265 3774 3169.69  Cash - - - -  Cash & Equivalents 3488 4265 3774 3169.69  Short Term Investments - - - -  Total Receivables, Net 147 137 88 179.68  Accounts Receivables - Trade, Net 147 137 88 96.19  Total Inventory - - - -  Prepaid Expenses - - - 177.09  Other Current Assets, Total 8950 8281 8322 7720.99","Cash and Short Term Investments 3488 4265 3774 3169.69  Cash - - - -  Cash & Equivalents 3488 4265 3774 3169.69  Short Term Investments - - - -  Total Receivables, Net 147 137 88 179.68  Accounts Receivables - Trade, Net 147 137 88 96.19  Total Inventory - - - -  Prepaid Expenses - - - 177.09  Other Current Assets, Total 8950 8281 8322 7720.99","Cash and Short Term Investments 3488 4265 3774 3169.69  Cash - - - -  Cash & Equivalents 3488 4265 3774 3169.69  Short Term Investments - - - -  Total Receivables, Net 147 137 88 179.68  Accounts Receivables - Trade, Net 147 137 88 96.19  Total Inventory - - - -  Prepaid Expenses - - - 177.09  Other Current Assets, Total 8950 8281 8322 7720.99","Cash and Short Term Investments 3488 4265 3774 3169.69  Cash - - - -  Cash & Equivalents 3488 4265 3774 3169.69  Short Term Investments - - - -  Total Receivables, Net 147 137 88 179.68  Accounts Receivables - Trade, Net 147 137 88 96.19  Total Inventory - - - -  Prepaid Expenses - - - 177.09  Other Current Assets, Total 8950 8281 8322 7720.99"
Cash and Short Term Investments,3488,4265,3774,3169.69
Cash,-,-,-,-
Cash & Equivalents,3488,4265,3774,3169.69
Short Term Investments,-,-,-,-
"Total Receivables, Net",147,137,88,179.68
"Accounts Receivables - Trade, Net",147,137,88,96.19
Total Inventory,-,-,-,-
Prepaid Expenses,-,-,-,177.09
"Other Current Assets, Total",8950,8281,8322,7720.99
Total Assets,208766,193488,193316,179170.82
