Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Current Assets,134309,98895,82721,68668
"Cash and Short Term Investments 6538 5134 5680 4492  Cash - - - -  Cash & Equivalents 6538 5134 5680 4492  Short Term Investments - - - -  Total Receivables, Net 62534 50441 41718 34731  Accounts Receivables - Trade, Net 57733 50441 41718 34731  Total Inventory 43082 27507 24795 21825  Prepaid Expenses 17332 11732 6867 5440  Other Current Assets, Total 4823 4081 3661 2180","Cash and Short Term Investments 6538 5134 5680 4492  Cash - - - -  Cash & Equivalents 6538 5134 5680 4492  Short Term Investments - - - -  Total Receivables, Net 62534 50441 41718 34731  Accounts Receivables - Trade, Net 57733 50441 41718 34731  Total Inventory 43082 27507 24795 21825  Prepaid Expenses 17332 11732 6867 5440  Other Current Assets, Total 4823 4081 3661 2180","Cash and Short Term Investments 6538 5134 5680 4492  Cash - - - -  Cash & Equivalents 6538 5134 5680 4492  Short Term Investments - - - -  Total Receivables, Net 62534 50441 41718 34731  Accounts Receivables - Trade, Net 57733 50441 41718 34731  Total Inventory 43082 27507 24795 21825  Prepaid Expenses 17332 11732 6867 5440  Other Current Assets, Total 4823 4081 3661 2180","Cash and Short Term Investments 6538 5134 5680 4492  Cash - - - -  Cash & Equivalents 6538 5134 5680 4492  Short Term Investments - - - -  Total Receivables, Net 62534 50441 41718 34731  Accounts Receivables - Trade, Net 57733 50441 41718 34731  Total Inventory 43082 27507 24795 21825  Prepaid Expenses 17332 11732 6867 5440  Other Current Assets, Total 4823 4081 3661 2180","Cash and Short Term Investments 6538 5134 5680 4492  Cash - - - -  Cash & Equivalents 6538 5134 5680 4492  Short Term Investments - - - -  Total Receivables, Net 62534 50441 41718 34731  Accounts Receivables - Trade, Net 57733 50441 41718 34731  Total Inventory 43082 27507 24795 21825  Prepaid Expenses 17332 11732 6867 5440  Other Current Assets, Total 4823 4081 3661 2180"
Cash and Short Term Investments,6538,5134,5680,4492
Cash,-,-,-,-
Cash & Equivalents,6538,5134,5680,4492
Short Term Investments,-,-,-,-
"Total Receivables, Net",62534,50441,41718,34731
"Accounts Receivables - Trade, Net",57733,50441,41718,34731
Total Inventory,43082,27507,24795,21825
Prepaid Expenses,17332,11732,6867,5440
"Other Current Assets, Total",4823,4081,3661,2180
Total Assets,143452,107801,90870,76539
