Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Current Assets,511746,476745,428751,408780
"Cash and Short Term Investments 129909 179334 199393 178646  Cash - - - -  Cash & Equivalents 119042 167915 191002 168422  Short Term Investments 10867 11419 8391 10224  Total Receivables, Net 123260 113207 99603 100450  Accounts Receivables - Trade, Net 123260 102685 93055 87295  Total Inventory 222133 169583 120186 117858  Prepaid Expenses - 7889 7112 7324  Other Current Assets, Total 36444 6732 2457 4502","Cash and Short Term Investments 129909 179334 199393 178646  Cash - - - -  Cash & Equivalents 119042 167915 191002 168422  Short Term Investments 10867 11419 8391 10224  Total Receivables, Net 123260 113207 99603 100450  Accounts Receivables - Trade, Net 123260 102685 93055 87295  Total Inventory 222133 169583 120186 117858  Prepaid Expenses - 7889 7112 7324  Other Current Assets, Total 36444 6732 2457 4502","Cash and Short Term Investments 129909 179334 199393 178646  Cash - - - -  Cash & Equivalents 119042 167915 191002 168422  Short Term Investments 10867 11419 8391 10224  Total Receivables, Net 123260 113207 99603 100450  Accounts Receivables - Trade, Net 123260 102685 93055 87295  Total Inventory 222133 169583 120186 117858  Prepaid Expenses - 7889 7112 7324  Other Current Assets, Total 36444 6732 2457 4502","Cash and Short Term Investments 129909 179334 199393 178646  Cash - - - -  Cash & Equivalents 119042 167915 191002 168422  Short Term Investments 10867 11419 8391 10224  Total Receivables, Net 123260 113207 99603 100450  Accounts Receivables - Trade, Net 123260 102685 93055 87295  Total Inventory 222133 169583 120186 117858  Prepaid Expenses - 7889 7112 7324  Other Current Assets, Total 36444 6732 2457 4502","Cash and Short Term Investments 129909 179334 199393 178646  Cash - - - -  Cash & Equivalents 119042 167915 191002 168422  Short Term Investments 10867 11419 8391 10224  Total Receivables, Net 123260 113207 99603 100450  Accounts Receivables - Trade, Net 123260 102685 93055 87295  Total Inventory 222133 169583 120186 117858  Prepaid Expenses - 7889 7112 7324  Other Current Assets, Total 36444 6732 2457 4502"
Cash and Short Term Investments,129909,179334,199393,178646
Cash,-,-,-,-
Cash & Equivalents,119042,167915,191002,168422
Short Term Investments,10867,11419,8391,10224
"Total Receivables, Net",123260,113207,99603,100450
"Accounts Receivables - Trade, Net",123260,102685,93055,87295
Total Inventory,222133,169583,120186,117858
Prepaid Expenses,-,7889,7112,7324
"Other Current Assets, Total",36444,6732,2457,4502
Total Assets,850486,811149,743896,731472
"Property/Plant/Equipment, Total - Net 153498 138263 128577 129931  Property/Plant/Equipment, Total - Gross - - 379946 369171  Accumulated Depreciation, Total - - -251370 -239241  Goodwill, Net - 79366 75845 91431  Intangibles, Net 114220 42323 42351 42978  Long Term Investments 50200 53185 53525 34576  Note Receivable - Long Term - 10522 6548 -  Other Long Term Assets, Total 4 6 5 23776  Other Assets, Total 167002 95788 46273 -","Property/Plant/Equipment, Total - Net 153498 138263 128577 129931  Property/Plant/Equipment, Total - Gross - - 379946 369171  Accumulated Depreciation, Total - - -251370 -239241  Goodwill, Net - 79366 75845 91431  Intangibles, Net 114220 42323 42351 42978  Long Term Investments 50200 53185 53525 34576  Note Receivable - Long Term - 10522 6548 -  Other Long Term Assets, Total 4 6 5 23776  Other Assets, Total 167002 95788 46273 -","Property/Plant/Equipment, Total - Net 153498 138263 128577 129931  Property/Plant/Equipment, Total - Gross - - 379946 369171  Accumulated Depreciation, Total - - -251370 -239241  Goodwill, Net - 79366 75845 91431  Intangibles, Net 114220 42323 42351 42978  Long Term Investments 50200 53185 53525 34576  Note Receivable - Long Term - 10522 6548 -  Other Long Term Assets, Total 4 6 5 23776  Other Assets, Total 167002 95788 46273 -","Property/Plant/Equipment, Total - Net 153498 138263 128577 129931  Property/Plant/Equipment, Total - Gross - - 379946 369171  Accumulated Depreciation, Total - - -251370 -239241  Goodwill, Net - 79366 75845 91431  Intangibles, Net 114220 42323 42351 42978  Long Term Investments 50200 53185 53525 34576  Note Receivable - Long Term - 10522 6548 -  Other Long Term Assets, Total 4 6 5 23776  Other Assets, Total 167002 95788 46273 -","Property/Plant/Equipment, Total - Net 153498 138263 128577 129931  Property/Plant/Equipment, Total - Gross - - 379946 369171  Accumulated Depreciation, Total - - -251370 -239241  Goodwill, Net - 79366 75845 91431  Intangibles, Net 114220 42323 42351 42978  Long Term Investments 50200 53185 53525 34576  Note Receivable - Long Term - 10522 6548 -  Other Long Term Assets, Total 4 6 5 23776  Other Assets, Total 167002 95788 46273 -"
"Property/Plant/Equipment, Total - Net",153498,138263,128577,129931
"Property/Plant/Equipment, Total - Gross",-,-,379946,369171
"Accumulated Depreciation, Total",-,-,-251370,-239241
"Goodwill, Net",-,79366,75845,91431
"Intangibles, Net",114220,42323,42351,42978
Long Term Investments,50200,53185,53525,34576
Note Receivable - Long Term,-,10522,6548,-
"Other Long Term Assets, Total",4,6,5,23776
"Other Assets, Total",167002,95788,46273,-
Total Current Liabilities,201276,179506,151489,169918
"Accounts Payable 82755 71247 54589 34535  Payable/Accrued - - - -  Accrued Expenses - 49462 46887 42915  Notes Payable/Short Term Debt - - - 30012  Current Port. of LT Debt/Capital Leases 36823 27936 26695 28316  Other Current liabilities, Total 81698 30861 23318 34140","Accounts Payable 82755 71247 54589 34535  Payable/Accrued - - - -  Accrued Expenses - 49462 46887 42915  Notes Payable/Short Term Debt - - - 30012  Current Port. of LT Debt/Capital Leases 36823 27936 26695 28316  Other Current liabilities, Total 81698 30861 23318 34140","Accounts Payable 82755 71247 54589 34535  Payable/Accrued - - - -  Accrued Expenses - 49462 46887 42915  Notes Payable/Short Term Debt - - - 30012  Current Port. of LT Debt/Capital Leases 36823 27936 26695 28316  Other Current liabilities, Total 81698 30861 23318 34140","Accounts Payable 82755 71247 54589 34535  Payable/Accrued - - - -  Accrued Expenses - 49462 46887 42915  Notes Payable/Short Term Debt - - - 30012  Current Port. of LT Debt/Capital Leases 36823 27936 26695 28316  Other Current liabilities, Total 81698 30861 23318 34140","Accounts Payable 82755 71247 54589 34535  Payable/Accrued - - - -  Accrued Expenses - 49462 46887 42915  Notes Payable/Short Term Debt - - - 30012  Current Port. of LT Debt/Capital Leases 36823 27936 26695 28316  Other Current liabilities, Total 81698 30861 23318 34140"
Accounts Payable,82755,71247,54589,34535
Payable/Accrued,-,-,-,-
Accrued Expenses,-,49462,46887,42915
Notes Payable/Short Term Debt,-,-,-,30012
Current Port. of LT Debt/Capital Leases,36823,27936,26695,28316
"Other Current liabilities, Total",81698,30861,23318,34140
Total Liabilities,253807,249938,244189,302951
"Total Long Term Debt 600 39024 57111 78671  Long Term Debt 600 20705 38290 56650  Capital Lease Obligations - 18319 18821 22021  Deferred Income Tax 7055 7207 6394 5564  Minority Interest 60 65 16657 16650  Other Liabilities, Total 44816 -16690 -44919 32148","Total Long Term Debt 600 39024 57111 78671  Long Term Debt 600 20705 38290 56650  Capital Lease Obligations - 18319 18821 22021  Deferred Income Tax 7055 7207 6394 5564  Minority Interest 60 65 16657 16650  Other Liabilities, Total 44816 -16690 -44919 32148","Total Long Term Debt 600 39024 57111 78671  Long Term Debt 600 20705 38290 56650  Capital Lease Obligations - 18319 18821 22021  Deferred Income Tax 7055 7207 6394 5564  Minority Interest 60 65 16657 16650  Other Liabilities, Total 44816 -16690 -44919 32148","Total Long Term Debt 600 39024 57111 78671  Long Term Debt 600 20705 38290 56650  Capital Lease Obligations - 18319 18821 22021  Deferred Income Tax 7055 7207 6394 5564  Minority Interest 60 65 16657 16650  Other Liabilities, Total 44816 -16690 -44919 32148","Total Long Term Debt 600 39024 57111 78671  Long Term Debt 600 20705 38290 56650  Capital Lease Obligations - 18319 18821 22021  Deferred Income Tax 7055 7207 6394 5564  Minority Interest 60 65 16657 16650  Other Liabilities, Total 44816 -16690 -44919 32148"
Total Long Term Debt,600,39024,57111,78671
Long Term Debt,600,20705,38290,56650
Capital Lease Obligations,-,18319,18821,22021
Deferred Income Tax,7055,7207,6394,5564
Minority Interest,60,65,16657,16650
"Other Liabilities, Total",44816,-16690,-44919,32148
Total Equity,596679,561211,499707,428521
