Period Ending:,202231/08,202131/08,202031/08,201931/08
Total Current Assets,17023,11003.78,9608.5,8271.05
"Cash and Short Term Investments 4277 2908.49 3030.14 2809.78  Cash - - - -  Cash & Equivalents 4277 2908.49 3030.14 2809.78  Short Term Investments - - - -  Total Receivables, Net 3716 2577.98 2246.73 1944.19  Accounts Receivables - Trade, Net 2603 1957.69 1774.75 1378.06  Total Inventory 8927 5440.75 4259.98 3450.86  Prepaid Expenses 86 60.04 50.07 53.92  Other Current Assets, Total 17 16.53 21.59 12.31","Cash and Short Term Investments 4277 2908.49 3030.14 2809.78  Cash - - - -  Cash & Equivalents 4277 2908.49 3030.14 2809.78  Short Term Investments - - - -  Total Receivables, Net 3716 2577.98 2246.73 1944.19  Accounts Receivables - Trade, Net 2603 1957.69 1774.75 1378.06  Total Inventory 8927 5440.75 4259.98 3450.86  Prepaid Expenses 86 60.04 50.07 53.92  Other Current Assets, Total 17 16.53 21.59 12.31","Cash and Short Term Investments 4277 2908.49 3030.14 2809.78  Cash - - - -  Cash & Equivalents 4277 2908.49 3030.14 2809.78  Short Term Investments - - - -  Total Receivables, Net 3716 2577.98 2246.73 1944.19  Accounts Receivables - Trade, Net 2603 1957.69 1774.75 1378.06  Total Inventory 8927 5440.75 4259.98 3450.86  Prepaid Expenses 86 60.04 50.07 53.92  Other Current Assets, Total 17 16.53 21.59 12.31","Cash and Short Term Investments 4277 2908.49 3030.14 2809.78  Cash - - - -  Cash & Equivalents 4277 2908.49 3030.14 2809.78  Short Term Investments - - - -  Total Receivables, Net 3716 2577.98 2246.73 1944.19  Accounts Receivables - Trade, Net 2603 1957.69 1774.75 1378.06  Total Inventory 8927 5440.75 4259.98 3450.86  Prepaid Expenses 86 60.04 50.07 53.92  Other Current Assets, Total 17 16.53 21.59 12.31","Cash and Short Term Investments 4277 2908.49 3030.14 2809.78  Cash - - - -  Cash & Equivalents 4277 2908.49 3030.14 2809.78  Short Term Investments - - - -  Total Receivables, Net 3716 2577.98 2246.73 1944.19  Accounts Receivables - Trade, Net 2603 1957.69 1774.75 1378.06  Total Inventory 8927 5440.75 4259.98 3450.86  Prepaid Expenses 86 60.04 50.07 53.92  Other Current Assets, Total 17 16.53 21.59 12.31"
Cash and Short Term Investments,4277,2908.49,3030.14,2809.78
Cash,-,-,-,-
Cash & Equivalents,4277,2908.49,3030.14,2809.78
Short Term Investments,-,-,-,-
"Total Receivables, Net",3716,2577.98,2246.73,1944.19
"Accounts Receivables - Trade, Net",2603,1957.69,1774.75,1378.06
Total Inventory,8927,5440.75,4259.98,3450.86
Prepaid Expenses,86,60.04,50.07,53.92
"Other Current Assets, Total",17,16.53,21.59,12.31
Total Assets,20833,12914.21,11403.24,9772.77
