Period Ending:,202231/03,202131/03,202031/03,201931/03
Total Current Assets,22560,20798,20978,23701
"Cash and Short Term Investments 9183 7727 8504 9735  Cash - - - -  Cash & Equivalents 9183 7727 8504 9735  Short Term Investments - - - -  Total Receivables, Net 13255 12948 12327 13828  Accounts Receivables - Trade, Net 12598 12193 10622 12657  Total Inventory 66 60 63 67  Prepaid Expenses 32 31 46 46  Other Current Assets, Total 24 32 38 25","Cash and Short Term Investments 9183 7727 8504 9735  Cash - - - -  Cash & Equivalents 9183 7727 8504 9735  Short Term Investments - - - -  Total Receivables, Net 13255 12948 12327 13828  Accounts Receivables - Trade, Net 12598 12193 10622 12657  Total Inventory 66 60 63 67  Prepaid Expenses 32 31 46 46  Other Current Assets, Total 24 32 38 25","Cash and Short Term Investments 9183 7727 8504 9735  Cash - - - -  Cash & Equivalents 9183 7727 8504 9735  Short Term Investments - - - -  Total Receivables, Net 13255 12948 12327 13828  Accounts Receivables - Trade, Net 12598 12193 10622 12657  Total Inventory 66 60 63 67  Prepaid Expenses 32 31 46 46  Other Current Assets, Total 24 32 38 25","Cash and Short Term Investments 9183 7727 8504 9735  Cash - - - -  Cash & Equivalents 9183 7727 8504 9735  Short Term Investments - - - -  Total Receivables, Net 13255 12948 12327 13828  Accounts Receivables - Trade, Net 12598 12193 10622 12657  Total Inventory 66 60 63 67  Prepaid Expenses 32 31 46 46  Other Current Assets, Total 24 32 38 25","Cash and Short Term Investments 9183 7727 8504 9735  Cash - - - -  Cash & Equivalents 9183 7727 8504 9735  Short Term Investments - - - -  Total Receivables, Net 13255 12948 12327 13828  Accounts Receivables - Trade, Net 12598 12193 10622 12657  Total Inventory 66 60 63 67  Prepaid Expenses 32 31 46 46  Other Current Assets, Total 24 32 38 25"
Cash and Short Term Investments,9183,7727,8504,9735
Cash,-,-,-,-
Cash & Equivalents,9183,7727,8504,9735
Short Term Investments,-,-,-,-
"Total Receivables, Net",13255,12948,12327,13828
"Accounts Receivables - Trade, Net",12598,12193,10622,12657
Total Inventory,66,60,63,67
Prepaid Expenses,32,31,46,46
"Other Current Assets, Total",24,32,38,25
Total Assets,25413,23599,23711,26487
"Property/Plant/Equipment, Total - Net 1660 1685 1701 1770  Property/Plant/Equipment, Total - Gross 3837 4006 3923 3964  Accumulated Depreciation, Total -2178 -2320 -2223 -2193  Goodwill, Net - - - -  Intangibles, Net 54 55 60 42  Long Term Investments 343 319 257 353  Note Receivable - Long Term 11 16 22 27  Other Long Term Assets, Total 785 726 693 594  Other Assets, Total - - - -","Property/Plant/Equipment, Total - Net 1660 1685 1701 1770  Property/Plant/Equipment, Total - Gross 3837 4006 3923 3964  Accumulated Depreciation, Total -2178 -2320 -2223 -2193  Goodwill, Net - - - -  Intangibles, Net 54 55 60 42  Long Term Investments 343 319 257 353  Note Receivable - Long Term 11 16 22 27  Other Long Term Assets, Total 785 726 693 594  Other Assets, Total - - - -","Property/Plant/Equipment, Total - Net 1660 1685 1701 1770  Property/Plant/Equipment, Total - Gross 3837 4006 3923 3964  Accumulated Depreciation, Total -2178 -2320 -2223 -2193  Goodwill, Net - - - -  Intangibles, Net 54 55 60 42  Long Term Investments 343 319 257 353  Note Receivable - Long Term 11 16 22 27  Other Long Term Assets, Total 785 726 693 594  Other Assets, Total - - - -","Property/Plant/Equipment, Total - Net 1660 1685 1701 1770  Property/Plant/Equipment, Total - Gross 3837 4006 3923 3964  Accumulated Depreciation, Total -2178 -2320 -2223 -2193  Goodwill, Net - - - -  Intangibles, Net 54 55 60 42  Long Term Investments 343 319 257 353  Note Receivable - Long Term 11 16 22 27  Other Long Term Assets, Total 785 726 693 594  Other Assets, Total - - - -","Property/Plant/Equipment, Total - Net 1660 1685 1701 1770  Property/Plant/Equipment, Total - Gross 3837 4006 3923 3964  Accumulated Depreciation, Total -2178 -2320 -2223 -2193  Goodwill, Net - - - -  Intangibles, Net 54 55 60 42  Long Term Investments 343 319 257 353  Note Receivable - Long Term 11 16 22 27  Other Long Term Assets, Total 785 726 693 594  Other Assets, Total - - - -"
"Property/Plant/Equipment, Total - Net",1660,1685,1701,1770
"Property/Plant/Equipment, Total - Gross",3837,4006,3923,3964
"Accumulated Depreciation, Total",-2178,-2320,-2223,-2193
"Goodwill, Net",-,-,-,-
