Period Ending:,202231/12,202131/12,202031/12,201931/12
Total Current Assets,3483,3493.12,3076.74,2452.55
"Cash and Short Term Investments 941 1263.9 1046.86 466.8  Cash - - - -  Cash & Equivalents 941 1263.9 1046.86 466.8  Short Term Investments - - - -  Total Receivables, Net 1712 1487.39 1305.09 1197.12  Accounts Receivables - Trade, Net 1697 337.71 175.22 197.64  Total Inventory 313 246.68 186.97 168.04  Prepaid Expenses - 374.9 425.12 497.44  Other Current Assets, Total 517 120.25 112.7 123.16","Cash and Short Term Investments 941 1263.9 1046.86 466.8  Cash - - - -  Cash & Equivalents 941 1263.9 1046.86 466.8  Short Term Investments - - - -  Total Receivables, Net 1712 1487.39 1305.09 1197.12  Accounts Receivables - Trade, Net 1697 337.71 175.22 197.64  Total Inventory 313 246.68 186.97 168.04  Prepaid Expenses - 374.9 425.12 497.44  Other Current Assets, Total 517 120.25 112.7 123.16","Cash and Short Term Investments 941 1263.9 1046.86 466.8  Cash - - - -  Cash & Equivalents 941 1263.9 1046.86 466.8  Short Term Investments - - - -  Total Receivables, Net 1712 1487.39 1305.09 1197.12  Accounts Receivables - Trade, Net 1697 337.71 175.22 197.64  Total Inventory 313 246.68 186.97 168.04  Prepaid Expenses - 374.9 425.12 497.44  Other Current Assets, Total 517 120.25 112.7 123.16","Cash and Short Term Investments 941 1263.9 1046.86 466.8  Cash - - - -  Cash & Equivalents 941 1263.9 1046.86 466.8  Short Term Investments - - - -  Total Receivables, Net 1712 1487.39 1305.09 1197.12  Accounts Receivables - Trade, Net 1697 337.71 175.22 197.64  Total Inventory 313 246.68 186.97 168.04  Prepaid Expenses - 374.9 425.12 497.44  Other Current Assets, Total 517 120.25 112.7 123.16","Cash and Short Term Investments 941 1263.9 1046.86 466.8  Cash - - - -  Cash & Equivalents 941 1263.9 1046.86 466.8  Short Term Investments - - - -  Total Receivables, Net 1712 1487.39 1305.09 1197.12  Accounts Receivables - Trade, Net 1697 337.71 175.22 197.64  Total Inventory 313 246.68 186.97 168.04  Prepaid Expenses - 374.9 425.12 497.44  Other Current Assets, Total 517 120.25 112.7 123.16"
Cash and Short Term Investments,941,1263.9,1046.86,466.8
Cash,-,-,-,-
Cash & Equivalents,941,1263.9,1046.86,466.8
Short Term Investments,-,-,-,-
"Total Receivables, Net",1712,1487.39,1305.09,1197.12
"Accounts Receivables - Trade, Net",1697,337.71,175.22,197.64
Total Inventory,313,246.68,186.97,168.04
Prepaid Expenses,-,374.9,425.12,497.44
