Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Current Assets,238374,241778,191961,187604
"Cash and Short Term Investments 21561 6256 12192 23001  Cash - - - -  Cash & Equivalents 17952 6127 10023 22908  Short Term Investments 3609 129 2169 93  Total Receivables, Net 155391 155395 103608 124853  Accounts Receivables - Trade, Net 154046 151437 100775 12803  Total Inventory 40854 63398 63515 37748  Prepaid Expenses - 434 366 1994  Other Current Assets, Total 20568 16295 12280 8","Cash and Short Term Investments 21561 6256 12192 23001  Cash - - - -  Cash & Equivalents 17952 6127 10023 22908  Short Term Investments 3609 129 2169 93  Total Receivables, Net 155391 155395 103608 124853  Accounts Receivables - Trade, Net 154046 151437 100775 12803  Total Inventory 40854 63398 63515 37748  Prepaid Expenses - 434 366 1994  Other Current Assets, Total 20568 16295 12280 8","Cash and Short Term Investments 21561 6256 12192 23001  Cash - - - -  Cash & Equivalents 17952 6127 10023 22908  Short Term Investments 3609 129 2169 93  Total Receivables, Net 155391 155395 103608 124853  Accounts Receivables - Trade, Net 154046 151437 100775 12803  Total Inventory 40854 63398 63515 37748  Prepaid Expenses - 434 366 1994  Other Current Assets, Total 20568 16295 12280 8","Cash and Short Term Investments 21561 6256 12192 23001  Cash - - - -  Cash & Equivalents 17952 6127 10023 22908  Short Term Investments 3609 129 2169 93  Total Receivables, Net 155391 155395 103608 124853  Accounts Receivables - Trade, Net 154046 151437 100775 12803  Total Inventory 40854 63398 63515 37748  Prepaid Expenses - 434 366 1994  Other Current Assets, Total 20568 16295 12280 8","Cash and Short Term Investments 21561 6256 12192 23001  Cash - - - -  Cash & Equivalents 17952 6127 10023 22908  Short Term Investments 3609 129 2169 93  Total Receivables, Net 155391 155395 103608 124853  Accounts Receivables - Trade, Net 154046 151437 100775 12803  Total Inventory 40854 63398 63515 37748  Prepaid Expenses - 434 366 1994  Other Current Assets, Total 20568 16295 12280 8"
Cash and Short Term Investments,21561,6256,12192,23001
Cash,-,-,-,-
Cash & Equivalents,17952,6127,10023,22908
Short Term Investments,3609,129,2169,93
"Total Receivables, Net",155391,155395,103608,124853
"Accounts Receivables - Trade, Net",154046,151437,100775,12803
Total Inventory,40854,63398,63515,37748
Prepaid Expenses,-,434,366,1994
"Other Current Assets, Total",20568,16295,12280,8
Total Assets,287448,298387,244803,229958
"Property/Plant/Equipment, Total - Net 42553 43748 37904 34953  Property/Plant/Equipment, Total - Gross - 78229 70494 67380  Accumulated Depreciation, Total - -34482 -32592 -32430  Goodwill, Net 1003 1040 1040 1604  Intangibles, Net 1255 712 697 529  Long Term Investments 761 4842 4804 3937  Note Receivable - Long Term 1345 3958 2833 -  Other Long Term Assets, Total 4 5 5 1331  Other Assets, Total -86862 -69311 -17252 -","Property/Plant/Equipment, Total - Net 42553 43748 37904 34953  Property/Plant/Equipment, Total - Gross - 78229 70494 67380  Accumulated Depreciation, Total - -34482 -32592 -32430  Goodwill, Net 1003 1040 1040 1604  Intangibles, Net 1255 712 697 529  Long Term Investments 761 4842 4804 3937  Note Receivable - Long Term 1345 3958 2833 -  Other Long Term Assets, Total 4 5 5 1331  Other Assets, Total -86862 -69311 -17252 -","Property/Plant/Equipment, Total - Net 42553 43748 37904 34953  Property/Plant/Equipment, Total - Gross - 78229 70494 67380  Accumulated Depreciation, Total - -34482 -32592 -32430  Goodwill, Net 1003 1040 1040 1604  Intangibles, Net 1255 712 697 529  Long Term Investments 761 4842 4804 3937  Note Receivable - Long Term 1345 3958 2833 -  Other Long Term Assets, Total 4 5 5 1331  Other Assets, Total -86862 -69311 -17252 -","Property/Plant/Equipment, Total - Net 42553 43748 37904 34953  Property/Plant/Equipment, Total - Gross - 78229 70494 67380  Accumulated Depreciation, Total - -34482 -32592 -32430  Goodwill, Net 1003 1040 1040 1604  Intangibles, Net 1255 712 697 529  Long Term Investments 761 4842 4804 3937  Note Receivable - Long Term 1345 3958 2833 -  Other Long Term Assets, Total 4 5 5 1331  Other Assets, Total -86862 -69311 -17252 -","Property/Plant/Equipment, Total - Net 42553 43748 37904 34953  Property/Plant/Equipment, Total - Gross - 78229 70494 67380  Accumulated Depreciation, Total - -34482 -32592 -32430  Goodwill, Net 1003 1040 1040 1604  Intangibles, Net 1255 712 697 529  Long Term Investments 761 4842 4804 3937  Note Receivable - Long Term 1345 3958 2833 -  Other Long Term Assets, Total 4 5 5 1331  Other Assets, Total -86862 -69311 -17252 -"
"Property/Plant/Equipment, Total - Net",42553,43748,37904,34953
"Property/Plant/Equipment, Total - Gross",-,78229,70494,67380
"Accumulated Depreciation, Total",-,-34482,-32592,-32430
"Goodwill, Net",1003,1040,1040,1604
"Intangibles, Net",1255,712,697,529
Long Term Investments,761,4842,4804,3937
Note Receivable - Long Term,1345,3958,2833,-
"Other Long Term Assets, Total",4,5,5,1331
"Other Assets, Total",-86862,-69311,-17252,-
Total Current Liabilities,125480,148626,119568,153137
"Accounts Payable 26024 27711 26465 7893  Payable/Accrued - 27711 - -  Accrued Expenses - 1998 1703 3293  Notes Payable/Short Term Debt 91494 108263 79337 102994  Current Port. of LT Debt/Capital Leases - 261 352 19309  Other Current liabilities, Total 7962 10654 12063 19648","Accounts Payable 26024 27711 26465 7893  Payable/Accrued - 27711 - -  Accrued Expenses - 1998 1703 3293  Notes Payable/Short Term Debt 91494 108263 79337 102994  Current Port. of LT Debt/Capital Leases - 261 352 19309  Other Current liabilities, Total 7962 10654 12063 19648","Accounts Payable 26024 27711 26465 7893  Payable/Accrued - 27711 - -  Accrued Expenses - 1998 1703 3293  Notes Payable/Short Term Debt 91494 108263 79337 102994  Current Port. of LT Debt/Capital Leases - 261 352 19309  Other Current liabilities, Total 7962 10654 12063 19648","Accounts Payable 26024 27711 26465 7893  Payable/Accrued - 27711 - -  Accrued Expenses - 1998 1703 3293  Notes Payable/Short Term Debt 91494 108263 79337 102994  Current Port. of LT Debt/Capital Leases - 261 352 19309  Other Current liabilities, Total 7962 10654 12063 19648","Accounts Payable 26024 27711 26465 7893  Payable/Accrued - 27711 - -  Accrued Expenses - 1998 1703 3293  Notes Payable/Short Term Debt 91494 108263 79337 102994  Current Port. of LT Debt/Capital Leases - 261 352 19309  Other Current liabilities, Total 7962 10654 12063 19648"
Accounts Payable,26024,27711,26465,7893
Payable/Accrued,-,27711,-,-
Accrued Expenses,-,1998,1703,3293
Notes Payable/Short Term Debt,91494,108263,79337,102994
Current Port. of LT Debt/Capital Leases,-,261,352,19309
"Other Current liabilities, Total",7962,10654,12063,19648
Total Liabilities,180491,193250,146900,160784
"Total Long Term Debt 52868 42662 25501 5990  Long Term Debt 52868 42662 25501 4928  Capital Lease Obligations - - 752 1062  Deferred Income Tax 275 576 968 1453  Minority Interest - - - -  Other Liabilities, Total -89626 -210278 -127811 204","Total Long Term Debt 52868 42662 25501 5990  Long Term Debt 52868 42662 25501 4928  Capital Lease Obligations - - 752 1062  Deferred Income Tax 275 576 968 1453  Minority Interest - - - -  Other Liabilities, Total -89626 -210278 -127811 204","Total Long Term Debt 52868 42662 25501 5990  Long Term Debt 52868 42662 25501 4928  Capital Lease Obligations - - 752 1062  Deferred Income Tax 275 576 968 1453  Minority Interest - - - -  Other Liabilities, Total -89626 -210278 -127811 204","Total Long Term Debt 52868 42662 25501 5990  Long Term Debt 52868 42662 25501 4928  Capital Lease Obligations - - 752 1062  Deferred Income Tax 275 576 968 1453  Minority Interest - - - -  Other Liabilities, Total -89626 -210278 -127811 204","Total Long Term Debt 52868 42662 25501 5990  Long Term Debt 52868 42662 25501 4928  Capital Lease Obligations - - 752 1062  Deferred Income Tax 275 576 968 1453  Minority Interest - - - -  Other Liabilities, Total -89626 -210278 -127811 204"
Total Long Term Debt,52868,42662,25501,5990
Long Term Debt,52868,42662,25501,4928
Capital Lease Obligations,-,-,752,1062
Deferred Income Tax,275,576,968,1453
Minority Interest,-,-,-,-
"Other Liabilities, Total",-89626,-210278,-127811,204
Total Equity,106957,105137,97903,69174
