Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Current Assets,2759,2783,2074.79,1757.58
"Cash and Short Term Investments 2327 2410 1745.72 1187.78  Cash - - - -  Cash & Equivalents 2327 2410 1745.72 1187.78  Short Term Investments - - - -  Total Receivables, Net 370 357 306.62 538.97  Accounts Receivables - Trade, Net 370 357 306.62 323.85  Total Inventory - - - -  Prepaid Expenses - 14 13.3 15.34  Other Current Assets, Total 62 2 9.14 15.48","Cash and Short Term Investments 2327 2410 1745.72 1187.78  Cash - - - -  Cash & Equivalents 2327 2410 1745.72 1187.78  Short Term Investments - - - -  Total Receivables, Net 370 357 306.62 538.97  Accounts Receivables - Trade, Net 370 357 306.62 323.85  Total Inventory - - - -  Prepaid Expenses - 14 13.3 15.34  Other Current Assets, Total 62 2 9.14 15.48","Cash and Short Term Investments 2327 2410 1745.72 1187.78  Cash - - - -  Cash & Equivalents 2327 2410 1745.72 1187.78  Short Term Investments - - - -  Total Receivables, Net 370 357 306.62 538.97  Accounts Receivables - Trade, Net 370 357 306.62 323.85  Total Inventory - - - -  Prepaid Expenses - 14 13.3 15.34  Other Current Assets, Total 62 2 9.14 15.48","Cash and Short Term Investments 2327 2410 1745.72 1187.78  Cash - - - -  Cash & Equivalents 2327 2410 1745.72 1187.78  Short Term Investments - - - -  Total Receivables, Net 370 357 306.62 538.97  Accounts Receivables - Trade, Net 370 357 306.62 323.85  Total Inventory - - - -  Prepaid Expenses - 14 13.3 15.34  Other Current Assets, Total 62 2 9.14 15.48","Cash and Short Term Investments 2327 2410 1745.72 1187.78  Cash - - - -  Cash & Equivalents 2327 2410 1745.72 1187.78  Short Term Investments - - - -  Total Receivables, Net 370 357 306.62 538.97  Accounts Receivables - Trade, Net 370 357 306.62 323.85  Total Inventory - - - -  Prepaid Expenses - 14 13.3 15.34  Other Current Assets, Total 62 2 9.14 15.48"
Cash and Short Term Investments,2327,2410,1745.72,1187.78
Cash,-,-,-,-
Cash & Equivalents,2327,2410,1745.72,1187.78
Short Term Investments,-,-,-,-
"Total Receivables, Net",370,357,306.62,538.97
"Accounts Receivables - Trade, Net",370,357,306.62,323.85
Total Inventory,-,-,-,-
Prepaid Expenses,-,14,13.3,15.34
"Other Current Assets, Total",62,2,9.14,15.48
Total Assets,5964,5153,4518.63,3772.79
