Period Ending:,202231/12,202131/12,202031/12,201931/12
Total Current Assets,24758,21804,22915,22471
"Cash and Short Term Investments 13791 11632 10125 10113  Cash - - - -  Cash & Equivalents 12491 10532 10125 9313  Short Term Investments 1300 1100 - 800  Total Receivables, Net 8971 8214 9494 9319  Accounts Receivables - Trade, Net 8971 8214 9494 9319  Total Inventory 244 515 1128 987  Prepaid Expenses 1006 991 1138 1181  Other Current Assets, Total 746 452 1030 871","Cash and Short Term Investments 13791 11632 10125 10113  Cash - - - -  Cash & Equivalents 12491 10532 10125 9313  Short Term Investments 1300 1100 - 800  Total Receivables, Net 8971 8214 9494 9319  Accounts Receivables - Trade, Net 8971 8214 9494 9319  Total Inventory 244 515 1128 987  Prepaid Expenses 1006 991 1138 1181  Other Current Assets, Total 746 452 1030 871","Cash and Short Term Investments 13791 11632 10125 10113  Cash - - - -  Cash & Equivalents 12491 10532 10125 9313  Short Term Investments 1300 1100 - 800  Total Receivables, Net 8971 8214 9494 9319  Accounts Receivables - Trade, Net 8971 8214 9494 9319  Total Inventory 244 515 1128 987  Prepaid Expenses 1006 991 1138 1181  Other Current Assets, Total 746 452 1030 871","Cash and Short Term Investments 13791 11632 10125 10113  Cash - - - -  Cash & Equivalents 12491 10532 10125 9313  Short Term Investments 1300 1100 - 800  Total Receivables, Net 8971 8214 9494 9319  Accounts Receivables - Trade, Net 8971 8214 9494 9319  Total Inventory 244 515 1128 987  Prepaid Expenses 1006 991 1138 1181  Other Current Assets, Total 746 452 1030 871","Cash and Short Term Investments 13791 11632 10125 10113  Cash - - - -  Cash & Equivalents 12491 10532 10125 9313  Short Term Investments 1300 1100 - 800  Total Receivables, Net 8971 8214 9494 9319  Accounts Receivables - Trade, Net 8971 8214 9494 9319  Total Inventory 244 515 1128 987  Prepaid Expenses 1006 991 1138 1181  Other Current Assets, Total 746 452 1030 871"
Cash and Short Term Investments,13791,11632,10125,10113
Cash,-,-,-,-
Cash & Equivalents,12491,10532,10125,9313
Short Term Investments,1300,1100,-,800
"Total Receivables, Net",8971,8214,9494,9319
"Accounts Receivables - Trade, Net",8971,8214,9494,9319
Total Inventory,244,515,1128,987
Prepaid Expenses,1006,991,1138,1181
"Other Current Assets, Total",746,452,1030,871
Total Assets,44213,47261,44565,45626
