Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Current Assets,1695,1642,1573.36,1470.79
"Cash and Short Term Investments 1071 918 806.99 724.6  Cash - - - -  Cash & Equivalents 1071 918 550.87 473.01  Short Term Investments - - 256.12 251.59  Total Receivables, Net 463 337 413.89 495.99  Accounts Receivables - Trade, Net 305 278 237.96 277.62  Total Inventory 24 125 89.83 28.59  Prepaid Expenses 61 169 207.65 171.21  Other Current Assets, Total 76 93 55.01 50.4","Cash and Short Term Investments 1071 918 806.99 724.6  Cash - - - -  Cash & Equivalents 1071 918 550.87 473.01  Short Term Investments - - 256.12 251.59  Total Receivables, Net 463 337 413.89 495.99  Accounts Receivables - Trade, Net 305 278 237.96 277.62  Total Inventory 24 125 89.83 28.59  Prepaid Expenses 61 169 207.65 171.21  Other Current Assets, Total 76 93 55.01 50.4","Cash and Short Term Investments 1071 918 806.99 724.6  Cash - - - -  Cash & Equivalents 1071 918 550.87 473.01  Short Term Investments - - 256.12 251.59  Total Receivables, Net 463 337 413.89 495.99  Accounts Receivables - Trade, Net 305 278 237.96 277.62  Total Inventory 24 125 89.83 28.59  Prepaid Expenses 61 169 207.65 171.21  Other Current Assets, Total 76 93 55.01 50.4","Cash and Short Term Investments 1071 918 806.99 724.6  Cash - - - -  Cash & Equivalents 1071 918 550.87 473.01  Short Term Investments - - 256.12 251.59  Total Receivables, Net 463 337 413.89 495.99  Accounts Receivables - Trade, Net 305 278 237.96 277.62  Total Inventory 24 125 89.83 28.59  Prepaid Expenses 61 169 207.65 171.21  Other Current Assets, Total 76 93 55.01 50.4","Cash and Short Term Investments 1071 918 806.99 724.6  Cash - - - -  Cash & Equivalents 1071 918 550.87 473.01  Short Term Investments - - 256.12 251.59  Total Receivables, Net 463 337 413.89 495.99  Accounts Receivables - Trade, Net 305 278 237.96 277.62  Total Inventory 24 125 89.83 28.59  Prepaid Expenses 61 169 207.65 171.21  Other Current Assets, Total 76 93 55.01 50.4"
Cash and Short Term Investments,1071,918,806.99,724.6
Cash,-,-,-,-
Cash & Equivalents,1071,918,550.87,473.01
Short Term Investments,-,-,256.12,251.59
"Total Receivables, Net",463,337,413.89,495.99
"Accounts Receivables - Trade, Net",305,278,237.96,277.62
Total Inventory,24,125,89.83,28.59
Prepaid Expenses,61,169,207.65,171.21
"Other Current Assets, Total",76,93,55.01,50.4
Total Assets,1829,1760,1717.29,1662.72
"Property/Plant/Equipment, Total - Net 24 24 24.23 27.01  Property/Plant/Equipment, Total - Gross - 75.97 66.83 78.82  Accumulated Depreciation, Total - -51.82 -42.59 -51.81  Goodwill, Net 1 3 5.74 7.77  Intangibles, Net 46 41 32.47 40.35  Long Term Investments 30 41 1.2 1.69  Note Receivable - Long Term 158 59 40.99 53.75  Other Long Term Assets, Total 1 1 39.28 61.37  Other Assets, Total -331 -111 - -","Property/Plant/Equipment, Total - Net 24 24 24.23 27.01  Property/Plant/Equipment, Total - Gross - 75.97 66.83 78.82  Accumulated Depreciation, Total - -51.82 -42.59 -51.81  Goodwill, Net 1 3 5.74 7.77  Intangibles, Net 46 41 32.47 40.35  Long Term Investments 30 41 1.2 1.69  Note Receivable - Long Term 158 59 40.99 53.75  Other Long Term Assets, Total 1 1 39.28 61.37  Other Assets, Total -331 -111 - -","Property/Plant/Equipment, Total - Net 24 24 24.23 27.01  Property/Plant/Equipment, Total - Gross - 75.97 66.83 78.82  Accumulated Depreciation, Total - -51.82 -42.59 -51.81  Goodwill, Net 1 3 5.74 7.77  Intangibles, Net 46 41 32.47 40.35  Long Term Investments 30 41 1.2 1.69  Note Receivable - Long Term 158 59 40.99 53.75  Other Long Term Assets, Total 1 1 39.28 61.37  Other Assets, Total -331 -111 - -","Property/Plant/Equipment, Total - Net 24 24 24.23 27.01  Property/Plant/Equipment, Total - Gross - 75.97 66.83 78.82  Accumulated Depreciation, Total - -51.82 -42.59 -51.81  Goodwill, Net 1 3 5.74 7.77  Intangibles, Net 46 41 32.47 40.35  Long Term Investments 30 41 1.2 1.69  Note Receivable - Long Term 158 59 40.99 53.75  Other Long Term Assets, Total 1 1 39.28 61.37  Other Assets, Total -331 -111 - -","Property/Plant/Equipment, Total - Net 24 24 24.23 27.01  Property/Plant/Equipment, Total - Gross - 75.97 66.83 78.82  Accumulated Depreciation, Total - -51.82 -42.59 -51.81  Goodwill, Net 1 3 5.74 7.77  Intangibles, Net 46 41 32.47 40.35  Long Term Investments 30 41 1.2 1.69  Note Receivable - Long Term 158 59 40.99 53.75  Other Long Term Assets, Total 1 1 39.28 61.37  Other Assets, Total -331 -111 - -"
"Property/Plant/Equipment, Total - Net",24,24,24.23,27.01
"Property/Plant/Equipment, Total - Gross",-,75.97,66.83,78.82
"Accumulated Depreciation, Total",-,-51.82,-42.59,-51.81
"Goodwill, Net",1,3,5.74,7.77
"Intangibles, Net",46,41,32.47,40.35
Long Term Investments,30,41,1.2,1.69
Note Receivable - Long Term,158,59,40.99,53.75
"Other Long Term Assets, Total",1,1,39.28,61.37
"Other Assets, Total",-331,-111,-,-
Total Current Liabilities,296,335,269.14,348.02
"Accounts Payable 85 99 84.25 87.94  Payable/Accrued - - - -  Accrued Expenses 25 30 25.61 26.69  Notes Payable/Short Term Debt 4 - - -  Current Port. of LT Debt/Capital Leases - - - 0.05  Other Current liabilities, Total 182 206 159.27 233.35","Accounts Payable 85 99 84.25 87.94  Payable/Accrued - - - -  Accrued Expenses 25 30 25.61 26.69  Notes Payable/Short Term Debt 4 - - -  Current Port. of LT Debt/Capital Leases - - - 0.05  Other Current liabilities, Total 182 206 159.27 233.35","Accounts Payable 85 99 84.25 87.94  Payable/Accrued - - - -  Accrued Expenses 25 30 25.61 26.69  Notes Payable/Short Term Debt 4 - - -  Current Port. of LT Debt/Capital Leases - - - 0.05  Other Current liabilities, Total 182 206 159.27 233.35","Accounts Payable 85 99 84.25 87.94  Payable/Accrued - - - -  Accrued Expenses 25 30 25.61 26.69  Notes Payable/Short Term Debt 4 - - -  Current Port. of LT Debt/Capital Leases - - - 0.05  Other Current liabilities, Total 182 206 159.27 233.35","Accounts Payable 85 99 84.25 87.94  Payable/Accrued - - - -  Accrued Expenses 25 30 25.61 26.69  Notes Payable/Short Term Debt 4 - - -  Current Port. of LT Debt/Capital Leases - - - 0.05  Other Current liabilities, Total 182 206 159.27 233.35"
Accounts Payable,85,99,84.25,87.94
Payable/Accrued,-,-,-,-
Accrued Expenses,25,30,25.61,26.69
Notes Payable/Short Term Debt,4,-,-,-
Current Port. of LT Debt/Capital Leases,-,-,-,0.05
"Other Current liabilities, Total",182,206,159.27,233.35
Total Liabilities,508,521,439.2,361.36
"Total Long Term Debt 155 160 160 0.03  Long Term Debt 155 160 160 -  Capital Lease Obligations - - - 0.03  Deferred Income Tax - - 0.06 -  Minority Interest - - - -  Other Liabilities, Total 53 -134 10 13.31","Total Long Term Debt 155 160 160 0.03  Long Term Debt 155 160 160 -  Capital Lease Obligations - - - 0.03  Deferred Income Tax - - 0.06 -  Minority Interest - - - -  Other Liabilities, Total 53 -134 10 13.31","Total Long Term Debt 155 160 160 0.03  Long Term Debt 155 160 160 -  Capital Lease Obligations - - - 0.03  Deferred Income Tax - - 0.06 -  Minority Interest - - - -  Other Liabilities, Total 53 -134 10 13.31","Total Long Term Debt 155 160 160 0.03  Long Term Debt 155 160 160 -  Capital Lease Obligations - - - 0.03  Deferred Income Tax - - 0.06 -  Minority Interest - - - -  Other Liabilities, Total 53 -134 10 13.31","Total Long Term Debt 155 160 160 0.03  Long Term Debt 155 160 160 -  Capital Lease Obligations - - - 0.03  Deferred Income Tax - - 0.06 -  Minority Interest - - - -  Other Liabilities, Total 53 -134 10 13.31"
Total Long Term Debt,155,160,160,0.03
Long Term Debt,155,160,160,-
Capital Lease Obligations,-,-,-,0.03
Deferred Income Tax,-,-,0.06,-
Minority Interest,-,-,-,-
"Other Liabilities, Total",53,-134,10,13.31
Total Equity,1321,1239,1278.09,1301.36
"Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 491 491 491.16 490.4  Additional Paid-In Capital 24 24 24.74 22.2  Retained Earnings (Accumulated Deficit) 859 786 832.88 871.05  Treasury Stock - Common -65 -65 -65.62 -76.91  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - - -0.29 -3.3  Other Equity, Total 12 3 -4.78 -2.08","Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 491 491 491.16 490.4  Additional Paid-In Capital 24 24 24.74 22.2  Retained Earnings (Accumulated Deficit) 859 786 832.88 871.05  Treasury Stock - Common -65 -65 -65.62 -76.91  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - - -0.29 -3.3  Other Equity, Total 12 3 -4.78 -2.08","Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 491 491 491.16 490.4  Additional Paid-In Capital 24 24 24.74 22.2  Retained Earnings (Accumulated Deficit) 859 786 832.88 871.05  Treasury Stock - Common -65 -65 -65.62 -76.91  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - - -0.29 -3.3  Other Equity, Total 12 3 -4.78 -2.08","Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 491 491 491.16 490.4  Additional Paid-In Capital 24 24 24.74 22.2  Retained Earnings (Accumulated Deficit) 859 786 832.88 871.05  Treasury Stock - Common -65 -65 -65.62 -76.91  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - - -0.29 -3.3  Other Equity, Total 12 3 -4.78 -2.08","Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 491 491 491.16 490.4  Additional Paid-In Capital 24 24 24.74 22.2  Retained Earnings (Accumulated Deficit) 859 786 832.88 871.05  Treasury Stock - Common -65 -65 -65.62 -76.91  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - - -0.29 -3.3  Other Equity, Total 12 3 -4.78 -2.08"
"Redeemable Preferred Stock, Total",-,-,-,-
"Preferred Stock - Non Redeemable, Net",-,-,-,-
"Common Stock, Total",491,491,491.16,490.4
Additional Paid-In Capital,24,24,24.74,22.2
Retained Earnings (Accumulated Deficit),859,786,832.88,871.05
Treasury Stock - Common,-65,-65,-65.62,-76.91
ESOP Debt Guarantee,-,-,-,-
Unrealized Gain (Loss),-,-,-0.29,-3.3
