Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Current Assets,64980,66942,57033,60045
"Cash and Short Term Investments 28683 30742 25892 29703  Cash - - - -  Cash & Equivalents 28683 30742 25892 29703  Short Term Investments - - - -  Total Receivables, Net 6417 6355 5134 5450  Accounts Receivables - Trade, Net 6417 6355 5134 5450  Total Inventory 25719 26912 23161 169  Prepaid Expenses 1001 1174 1305 1110  Other Current Assets, Total 3160 1759 1541 23613","Cash and Short Term Investments 28683 30742 25892 29703  Cash - - - -  Cash & Equivalents 28683 30742 25892 29703  Short Term Investments - - - -  Total Receivables, Net 6417 6355 5134 5450  Accounts Receivables - Trade, Net 6417 6355 5134 5450  Total Inventory 25719 26912 23161 169  Prepaid Expenses 1001 1174 1305 1110  Other Current Assets, Total 3160 1759 1541 23613","Cash and Short Term Investments 28683 30742 25892 29703  Cash - - - -  Cash & Equivalents 28683 30742 25892 29703  Short Term Investments - - - -  Total Receivables, Net 6417 6355 5134 5450  Accounts Receivables - Trade, Net 6417 6355 5134 5450  Total Inventory 25719 26912 23161 169  Prepaid Expenses 1001 1174 1305 1110  Other Current Assets, Total 3160 1759 1541 23613","Cash and Short Term Investments 28683 30742 25892 29703  Cash - - - -  Cash & Equivalents 28683 30742 25892 29703  Short Term Investments - - - -  Total Receivables, Net 6417 6355 5134 5450  Accounts Receivables - Trade, Net 6417 6355 5134 5450  Total Inventory 25719 26912 23161 169  Prepaid Expenses 1001 1174 1305 1110  Other Current Assets, Total 3160 1759 1541 23613","Cash and Short Term Investments 28683 30742 25892 29703  Cash - - - -  Cash & Equivalents 28683 30742 25892 29703  Short Term Investments - - - -  Total Receivables, Net 6417 6355 5134 5450  Accounts Receivables - Trade, Net 6417 6355 5134 5450  Total Inventory 25719 26912 23161 169  Prepaid Expenses 1001 1174 1305 1110  Other Current Assets, Total 3160 1759 1541 23613"
Cash and Short Term Investments,28683,30742,25892,29703
Cash,-,-,-,-
Cash & Equivalents,28683,30742,25892,29703
Short Term Investments,-,-,-,-
"Total Receivables, Net",6417,6355,5134,5450
"Accounts Receivables - Trade, Net",6417,6355,5134,5450
Total Inventory,25719,26912,23161,169
Prepaid Expenses,1001,1174,1305,1110
"Other Current Assets, Total",3160,1759,1541,23613
Total Assets,97046,99652,90593,90024
"Property/Plant/Equipment, Total - Net 11176 12221 12733 8220  Property/Plant/Equipment, Total - Gross - 31467 30387 25640  Accumulated Depreciation, Total - -19247 -17656 -17422  Goodwill, Net - - - 606  Intangibles, Net 8115 8105 8337 9258  Long Term Investments 11008 10170 10412 8758  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 1 1 1 3137  Other Assets, Total 24228 24529 21645 -","Property/Plant/Equipment, Total - Net 11176 12221 12733 8220  Property/Plant/Equipment, Total - Gross - 31467 30387 25640  Accumulated Depreciation, Total - -19247 -17656 -17422  Goodwill, Net - - - 606  Intangibles, Net 8115 8105 8337 9258  Long Term Investments 11008 10170 10412 8758  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 1 1 1 3137  Other Assets, Total 24228 24529 21645 -","Property/Plant/Equipment, Total - Net 11176 12221 12733 8220  Property/Plant/Equipment, Total - Gross - 31467 30387 25640  Accumulated Depreciation, Total - -19247 -17656 -17422  Goodwill, Net - - - 606  Intangibles, Net 8115 8105 8337 9258  Long Term Investments 11008 10170 10412 8758  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 1 1 1 3137  Other Assets, Total 24228 24529 21645 -","Property/Plant/Equipment, Total - Net 11176 12221 12733 8220  Property/Plant/Equipment, Total - Gross - 31467 30387 25640  Accumulated Depreciation, Total - -19247 -17656 -17422  Goodwill, Net - - - 606  Intangibles, Net 8115 8105 8337 9258  Long Term Investments 11008 10170 10412 8758  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 1 1 1 3137  Other Assets, Total 24228 24529 21645 -","Property/Plant/Equipment, Total - Net 11176 12221 12733 8220  Property/Plant/Equipment, Total - Gross - 31467 30387 25640  Accumulated Depreciation, Total - -19247 -17656 -17422  Goodwill, Net - - - 606  Intangibles, Net 8115 8105 8337 9258  Long Term Investments 11008 10170 10412 8758  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 1 1 1 3137  Other Assets, Total 24228 24529 21645 -"
"Property/Plant/Equipment, Total - Net",11176,12221,12733,8220
"Property/Plant/Equipment, Total - Gross",-,31467,30387,25640
"Accumulated Depreciation, Total",-,-19247,-17656,-17422
"Goodwill, Net",-,-,-,606
"Intangibles, Net",8115,8105,8337,9258
Long Term Investments,11008,10170,10412,8758
Note Receivable - Long Term,-,-,-,-
"Other Long Term Assets, Total",1,1,1,3137
"Other Assets, Total",24228,24529,21645,-
Total Current Liabilities,28282,30566,26667,26617
"Accounts Payable 21314 23538 18763 18769  Payable/Accrued - - - -  Accrued Expenses 3800 3957 4682 4109  Notes Payable/Short Term Debt - - - -  Current Port. of LT Debt/Capital Leases - - 37 32  Other Current liabilities, Total 3168 3071 3222 3707","Accounts Payable 21314 23538 18763 18769  Payable/Accrued - - - -  Accrued Expenses 3800 3957 4682 4109  Notes Payable/Short Term Debt - - - -  Current Port. of LT Debt/Capital Leases - - 37 32  Other Current liabilities, Total 3168 3071 3222 3707","Accounts Payable 21314 23538 18763 18769  Payable/Accrued - - - -  Accrued Expenses 3800 3957 4682 4109  Notes Payable/Short Term Debt - - - -  Current Port. of LT Debt/Capital Leases - - 37 32  Other Current liabilities, Total 3168 3071 3222 3707","Accounts Payable 21314 23538 18763 18769  Payable/Accrued - - - -  Accrued Expenses 3800 3957 4682 4109  Notes Payable/Short Term Debt - - - -  Current Port. of LT Debt/Capital Leases - - 37 32  Other Current liabilities, Total 3168 3071 3222 3707","Accounts Payable 21314 23538 18763 18769  Payable/Accrued - - - -  Accrued Expenses 3800 3957 4682 4109  Notes Payable/Short Term Debt - - - -  Current Port. of LT Debt/Capital Leases - - 37 32  Other Current liabilities, Total 3168 3071 3222 3707"
Accounts Payable,21314,23538,18763,18769
Payable/Accrued,-,-,-,-
Accrued Expenses,3800,3957,4682,4109
Notes Payable/Short Term Debt,-,-,-,-
Current Port. of LT Debt/Capital Leases,-,-,37,32
"Other Current liabilities, Total",3168,3071,3222,3707
Total Liabilities,30219,32696,28837,29469
