Period Ending:,202231/03,202131/03,202031/03,201931/03
Total Current Assets,5218.48,5033.06,6084.15,4894.55
"Cash and Short Term Investments 851.43 472.68 696.49 388.62  Cash - - - -  Cash & Equivalents 851.43 472.68 696.49 388.62  Short Term Investments - - - -  Total Receivables, Net 2118.19 2591.61 2832.53 2356.1  Accounts Receivables - Trade, Net 1959.64 2098.55 2627.33 1711.66  Total Inventory 1614.6 1812.69 2346.46 2029.59  Prepaid Expenses 36.84 57.5 65.59 27.38  Other Current Assets, Total 597.41 98.59 143.09 92.86","Cash and Short Term Investments 851.43 472.68 696.49 388.62  Cash - - - -  Cash & Equivalents 851.43 472.68 696.49 388.62  Short Term Investments - - - -  Total Receivables, Net 2118.19 2591.61 2832.53 2356.1  Accounts Receivables - Trade, Net 1959.64 2098.55 2627.33 1711.66  Total Inventory 1614.6 1812.69 2346.46 2029.59  Prepaid Expenses 36.84 57.5 65.59 27.38  Other Current Assets, Total 597.41 98.59 143.09 92.86","Cash and Short Term Investments 851.43 472.68 696.49 388.62  Cash - - - -  Cash & Equivalents 851.43 472.68 696.49 388.62  Short Term Investments - - - -  Total Receivables, Net 2118.19 2591.61 2832.53 2356.1  Accounts Receivables - Trade, Net 1959.64 2098.55 2627.33 1711.66  Total Inventory 1614.6 1812.69 2346.46 2029.59  Prepaid Expenses 36.84 57.5 65.59 27.38  Other Current Assets, Total 597.41 98.59 143.09 92.86","Cash and Short Term Investments 851.43 472.68 696.49 388.62  Cash - - - -  Cash & Equivalents 851.43 472.68 696.49 388.62  Short Term Investments - - - -  Total Receivables, Net 2118.19 2591.61 2832.53 2356.1  Accounts Receivables - Trade, Net 1959.64 2098.55 2627.33 1711.66  Total Inventory 1614.6 1812.69 2346.46 2029.59  Prepaid Expenses 36.84 57.5 65.59 27.38  Other Current Assets, Total 597.41 98.59 143.09 92.86","Cash and Short Term Investments 851.43 472.68 696.49 388.62  Cash - - - -  Cash & Equivalents 851.43 472.68 696.49 388.62  Short Term Investments - - - -  Total Receivables, Net 2118.19 2591.61 2832.53 2356.1  Accounts Receivables - Trade, Net 1959.64 2098.55 2627.33 1711.66  Total Inventory 1614.6 1812.69 2346.46 2029.59  Prepaid Expenses 36.84 57.5 65.59 27.38  Other Current Assets, Total 597.41 98.59 143.09 92.86"
Cash and Short Term Investments,851.43,472.68,696.49,388.62
Cash,-,-,-,-
Cash & Equivalents,851.43,472.68,696.49,388.62
Short Term Investments,-,-,-,-
"Total Receivables, Net",2118.19,2591.61,2832.53,2356.1
"Accounts Receivables - Trade, Net",1959.64,2098.55,2627.33,1711.66
Total Inventory,1614.6,1812.69,2346.46,2029.59
Prepaid Expenses,36.84,57.5,65.59,27.38
"Other Current Assets, Total",597.41,98.59,143.09,92.86
Total Assets,9162.82,9067.39,9943.64,8649.73
