Period Ending:,202130/06,202030/06,201930/06,201830/06
Total Current Assets,823.65,1026.15,1168.1,566.79
"Cash and Short Term Investments 495.89 615.12 793.07 293.43  Cash - - - -  Cash & Equivalents 495.89 615.12 793.07 293.43  Short Term Investments - - - -  Total Receivables, Net 278.87 323.7 313.24 243.56  Accounts Receivables - Trade, Net 219.04 323.7 313.24 243.56  Total Inventory 16.69 18.98 15.28 3.3  Prepaid Expenses 19.37 27.49 40.46 24.55  Other Current Assets, Total 12.83 40.86 6.05 1.95","Cash and Short Term Investments 495.89 615.12 793.07 293.43  Cash - - - -  Cash & Equivalents 495.89 615.12 793.07 293.43  Short Term Investments - - - -  Total Receivables, Net 278.87 323.7 313.24 243.56  Accounts Receivables - Trade, Net 219.04 323.7 313.24 243.56  Total Inventory 16.69 18.98 15.28 3.3  Prepaid Expenses 19.37 27.49 40.46 24.55  Other Current Assets, Total 12.83 40.86 6.05 1.95","Cash and Short Term Investments 495.89 615.12 793.07 293.43  Cash - - - -  Cash & Equivalents 495.89 615.12 793.07 293.43  Short Term Investments - - - -  Total Receivables, Net 278.87 323.7 313.24 243.56  Accounts Receivables - Trade, Net 219.04 323.7 313.24 243.56  Total Inventory 16.69 18.98 15.28 3.3  Prepaid Expenses 19.37 27.49 40.46 24.55  Other Current Assets, Total 12.83 40.86 6.05 1.95","Cash and Short Term Investments 495.89 615.12 793.07 293.43  Cash - - - -  Cash & Equivalents 495.89 615.12 793.07 293.43  Short Term Investments - - - -  Total Receivables, Net 278.87 323.7 313.24 243.56  Accounts Receivables - Trade, Net 219.04 323.7 313.24 243.56  Total Inventory 16.69 18.98 15.28 3.3  Prepaid Expenses 19.37 27.49 40.46 24.55  Other Current Assets, Total 12.83 40.86 6.05 1.95","Cash and Short Term Investments 495.89 615.12 793.07 293.43  Cash - - - -  Cash & Equivalents 495.89 615.12 793.07 293.43  Short Term Investments - - - -  Total Receivables, Net 278.87 323.7 313.24 243.56  Accounts Receivables - Trade, Net 219.04 323.7 313.24 243.56  Total Inventory 16.69 18.98 15.28 3.3  Prepaid Expenses 19.37 27.49 40.46 24.55  Other Current Assets, Total 12.83 40.86 6.05 1.95"
Cash and Short Term Investments,495.89,615.12,793.07,293.43
Cash,-,-,-,-
Cash & Equivalents,495.89,615.12,793.07,293.43
Short Term Investments,-,-,-,-
"Total Receivables, Net",278.87,323.7,313.24,243.56
"Accounts Receivables - Trade, Net",219.04,323.7,313.24,243.56
Total Inventory,16.69,18.98,15.28,3.3
Prepaid Expenses,19.37,27.49,40.46,24.55
"Other Current Assets, Total",12.83,40.86,6.05,1.95
Total Assets,1161.61,1388.34,1396.8,616.14
"Property/Plant/Equipment, Total - Net 92.69 82.97 59.21 4.36  Property/Plant/Equipment, Total - Gross 123.79 102.67 60.78 5.75  Accumulated Depreciation, Total -31.1 -19.7 -1.57 -1.39  Goodwill, Net - - - -  Intangibles, Net 4.37 17.54 0.47 5.77  Long Term Investments 150.11 117.26 0.81 0.81  Note Receivable - Long Term 242.47 285.28 5 -  Other Long Term Assets, Total -151.69 -140.86 163.21 38.41  Other Assets, Total - - - -","Property/Plant/Equipment, Total - Net 92.69 82.97 59.21 4.36  Property/Plant/Equipment, Total - Gross 123.79 102.67 60.78 5.75  Accumulated Depreciation, Total -31.1 -19.7 -1.57 -1.39  Goodwill, Net - - - -  Intangibles, Net 4.37 17.54 0.47 5.77  Long Term Investments 150.11 117.26 0.81 0.81  Note Receivable - Long Term 242.47 285.28 5 -  Other Long Term Assets, Total -151.69 -140.86 163.21 38.41  Other Assets, Total - - - -","Property/Plant/Equipment, Total - Net 92.69 82.97 59.21 4.36  Property/Plant/Equipment, Total - Gross 123.79 102.67 60.78 5.75  Accumulated Depreciation, Total -31.1 -19.7 -1.57 -1.39  Goodwill, Net - - - -  Intangibles, Net 4.37 17.54 0.47 5.77  Long Term Investments 150.11 117.26 0.81 0.81  Note Receivable - Long Term 242.47 285.28 5 -  Other Long Term Assets, Total -151.69 -140.86 163.21 38.41  Other Assets, Total - - - -","Property/Plant/Equipment, Total - Net 92.69 82.97 59.21 4.36  Property/Plant/Equipment, Total - Gross 123.79 102.67 60.78 5.75  Accumulated Depreciation, Total -31.1 -19.7 -1.57 -1.39  Goodwill, Net - - - -  Intangibles, Net 4.37 17.54 0.47 5.77  Long Term Investments 150.11 117.26 0.81 0.81  Note Receivable - Long Term 242.47 285.28 5 -  Other Long Term Assets, Total -151.69 -140.86 163.21 38.41  Other Assets, Total - - - -","Property/Plant/Equipment, Total - Net 92.69 82.97 59.21 4.36  Property/Plant/Equipment, Total - Gross 123.79 102.67 60.78 5.75  Accumulated Depreciation, Total -31.1 -19.7 -1.57 -1.39  Goodwill, Net - - - -  Intangibles, Net 4.37 17.54 0.47 5.77  Long Term Investments 150.11 117.26 0.81 0.81  Note Receivable - Long Term 242.47 285.28 5 -  Other Long Term Assets, Total -151.69 -140.86 163.21 38.41  Other Assets, Total - - - -"
"Property/Plant/Equipment, Total - Net",92.69,82.97,59.21,4.36
"Property/Plant/Equipment, Total - Gross",123.79,102.67,60.78,5.75
"Accumulated Depreciation, Total",-31.1,-19.7,-1.57,-1.39
"Goodwill, Net",-,-,-,-
"Intangibles, Net",4.37,17.54,0.47,5.77
Long Term Investments,150.11,117.26,0.81,0.81
Note Receivable - Long Term,242.47,285.28,5,-
"Other Long Term Assets, Total",-151.69,-140.86,163.21,38.41
"Other Assets, Total",-,-,-,-
Total Current Liabilities,322.88,448.03,364.4,258.09
"Accounts Payable 86.35 97.52 141.85 98.96  Payable/Accrued - - - -  Accrued Expenses 8.29 16.77 27.41 19.71  Notes Payable/Short Term Debt - - - -  Current Port. of LT Debt/Capital Leases 202.1 188.74 53.72 68.44  Other Current liabilities, Total 26.14 145 141.42 70.97","Accounts Payable 86.35 97.52 141.85 98.96  Payable/Accrued - - - -  Accrued Expenses 8.29 16.77 27.41 19.71  Notes Payable/Short Term Debt - - - -  Current Port. of LT Debt/Capital Leases 202.1 188.74 53.72 68.44  Other Current liabilities, Total 26.14 145 141.42 70.97","Accounts Payable 86.35 97.52 141.85 98.96  Payable/Accrued - - - -  Accrued Expenses 8.29 16.77 27.41 19.71  Notes Payable/Short Term Debt - - - -  Current Port. of LT Debt/Capital Leases 202.1 188.74 53.72 68.44  Other Current liabilities, Total 26.14 145 141.42 70.97","Accounts Payable 86.35 97.52 141.85 98.96  Payable/Accrued - - - -  Accrued Expenses 8.29 16.77 27.41 19.71  Notes Payable/Short Term Debt - - - -  Current Port. of LT Debt/Capital Leases 202.1 188.74 53.72 68.44  Other Current liabilities, Total 26.14 145 141.42 70.97","Accounts Payable 86.35 97.52 141.85 98.96  Payable/Accrued - - - -  Accrued Expenses 8.29 16.77 27.41 19.71  Notes Payable/Short Term Debt - - - -  Current Port. of LT Debt/Capital Leases 202.1 188.74 53.72 68.44  Other Current liabilities, Total 26.14 145 141.42 70.97"
Accounts Payable,86.35,97.52,141.85,98.96
Payable/Accrued,-,-,-,-
Accrued Expenses,8.29,16.77,27.41,19.71
Notes Payable/Short Term Debt,-,-,-,-
Current Port. of LT Debt/Capital Leases,202.1,188.74,53.72,68.44
"Other Current liabilities, Total",26.14,145,141.42,70.97
Total Liabilities,829.47,960.15,406.51,321.9
