Period Ending:,202331/01,202231/07,202231/01,202131/07
Total Current Assets,20597,19470,21112,20672
"Cash and Short Term Investments 11396 10201 12201 11890  Cash - - - -  Cash & Equivalents 11396 10201 12201 11890  Short Term Investments - - - -  Total Receivables, Net 7 7 9 8  Accounts Receivables - Trade, Net 7 7 9 8  Total Inventory - - - -  Prepaid Expenses - - - 452.86  Other Current Assets, Total 9194 9262 8902 8774","Cash and Short Term Investments 11396 10201 12201 11890  Cash - - - -  Cash & Equivalents 11396 10201 12201 11890  Short Term Investments - - - -  Total Receivables, Net 7 7 9 8  Accounts Receivables - Trade, Net 7 7 9 8  Total Inventory - - - -  Prepaid Expenses - - - 452.86  Other Current Assets, Total 9194 9262 8902 8774","Cash and Short Term Investments 11396 10201 12201 11890  Cash - - - -  Cash & Equivalents 11396 10201 12201 11890  Short Term Investments - - - -  Total Receivables, Net 7 7 9 8  Accounts Receivables - Trade, Net 7 7 9 8  Total Inventory - - - -  Prepaid Expenses - - - 452.86  Other Current Assets, Total 9194 9262 8902 8774","Cash and Short Term Investments 11396 10201 12201 11890  Cash - - - -  Cash & Equivalents 11396 10201 12201 11890  Short Term Investments - - - -  Total Receivables, Net 7 7 9 8  Accounts Receivables - Trade, Net 7 7 9 8  Total Inventory - - - -  Prepaid Expenses - - - 452.86  Other Current Assets, Total 9194 9262 8902 8774","Cash and Short Term Investments 11396 10201 12201 11890  Cash - - - -  Cash & Equivalents 11396 10201 12201 11890  Short Term Investments - - - -  Total Receivables, Net 7 7 9 8  Accounts Receivables - Trade, Net 7 7 9 8  Total Inventory - - - -  Prepaid Expenses - - - 452.86  Other Current Assets, Total 9194 9262 8902 8774"
Cash and Short Term Investments,11396,10201,12201,11890
Cash,-,-,-,-
Cash & Equivalents,11396,10201,12201,11890
Short Term Investments,-,-,-,-
"Total Receivables, Net",7,7,9,8
"Accounts Receivables - Trade, Net",7,7,9,8
Total Inventory,-,-,-,-
Prepaid Expenses,-,-,-,452.86
"Other Current Assets, Total",9194,9262,8902,8774
Total Assets,303392,300510,282277,282839
