Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Current Assets,175573,162072,151619,153591
"Cash and Short Term Investments 28289 32070 32331 43767  Cash - - - -  Cash & Equivalents 28289 32028 32331 43767  Short Term Investments - 42 - -  Total Receivables, Net 127875 111802 87427 82956  Accounts Receivables - Trade, Net 127875 111802 87427 82956  Total Inventory 5742 5155 7040 9426  Prepaid Expenses - 8211 15285 12068  Other Current Assets, Total 13667 4834 9536 5374","Cash and Short Term Investments 28289 32070 32331 43767  Cash - - - -  Cash & Equivalents 28289 32028 32331 43767  Short Term Investments - 42 - -  Total Receivables, Net 127875 111802 87427 82956  Accounts Receivables - Trade, Net 127875 111802 87427 82956  Total Inventory 5742 5155 7040 9426  Prepaid Expenses - 8211 15285 12068  Other Current Assets, Total 13667 4834 9536 5374","Cash and Short Term Investments 28289 32070 32331 43767  Cash - - - -  Cash & Equivalents 28289 32028 32331 43767  Short Term Investments - 42 - -  Total Receivables, Net 127875 111802 87427 82956  Accounts Receivables - Trade, Net 127875 111802 87427 82956  Total Inventory 5742 5155 7040 9426  Prepaid Expenses - 8211 15285 12068  Other Current Assets, Total 13667 4834 9536 5374","Cash and Short Term Investments 28289 32070 32331 43767  Cash - - - -  Cash & Equivalents 28289 32028 32331 43767  Short Term Investments - 42 - -  Total Receivables, Net 127875 111802 87427 82956  Accounts Receivables - Trade, Net 127875 111802 87427 82956  Total Inventory 5742 5155 7040 9426  Prepaid Expenses - 8211 15285 12068  Other Current Assets, Total 13667 4834 9536 5374","Cash and Short Term Investments 28289 32070 32331 43767  Cash - - - -  Cash & Equivalents 28289 32028 32331 43767  Short Term Investments - 42 - -  Total Receivables, Net 127875 111802 87427 82956  Accounts Receivables - Trade, Net 127875 111802 87427 82956  Total Inventory 5742 5155 7040 9426  Prepaid Expenses - 8211 15285 12068  Other Current Assets, Total 13667 4834 9536 5374"
Cash and Short Term Investments,28289,32070,32331,43767
Cash,-,-,-,-
Cash & Equivalents,28289,32028,32331,43767
Short Term Investments,-,42,-,-
"Total Receivables, Net",127875,111802,87427,82956
"Accounts Receivables - Trade, Net",127875,111802,87427,82956
Total Inventory,5742,5155,7040,9426
Prepaid Expenses,-,8211,15285,12068
"Other Current Assets, Total",13667,4834,9536,5374
Total Assets,226928,212916,204200,202657
"Property/Plant/Equipment, Total - Net 35602 35095 34745 29405  Property/Plant/Equipment, Total - Gross - 64406 63367 57184  Accumulated Depreciation, Total - -29312 -28624 -27782  Goodwill, Net - - - -  Intangibles, Net 808 975 1050 990  Long Term Investments 12841 10600 11324 10642  Note Receivable - Long Term - 116 131 149  Other Long Term Assets, Total 1 4058 5331 7880  Other Assets, Total -106363 - - -","Property/Plant/Equipment, Total - Net 35602 35095 34745 29405  Property/Plant/Equipment, Total - Gross - 64406 63367 57184  Accumulated Depreciation, Total - -29312 -28624 -27782  Goodwill, Net - - - -  Intangibles, Net 808 975 1050 990  Long Term Investments 12841 10600 11324 10642  Note Receivable - Long Term - 116 131 149  Other Long Term Assets, Total 1 4058 5331 7880  Other Assets, Total -106363 - - -","Property/Plant/Equipment, Total - Net 35602 35095 34745 29405  Property/Plant/Equipment, Total - Gross - 64406 63367 57184  Accumulated Depreciation, Total - -29312 -28624 -27782  Goodwill, Net - - - -  Intangibles, Net 808 975 1050 990  Long Term Investments 12841 10600 11324 10642  Note Receivable - Long Term - 116 131 149  Other Long Term Assets, Total 1 4058 5331 7880  Other Assets, Total -106363 - - -","Property/Plant/Equipment, Total - Net 35602 35095 34745 29405  Property/Plant/Equipment, Total - Gross - 64406 63367 57184  Accumulated Depreciation, Total - -29312 -28624 -27782  Goodwill, Net - - - -  Intangibles, Net 808 975 1050 990  Long Term Investments 12841 10600 11324 10642  Note Receivable - Long Term - 116 131 149  Other Long Term Assets, Total 1 4058 5331 7880  Other Assets, Total -106363 - - -","Property/Plant/Equipment, Total - Net 35602 35095 34745 29405  Property/Plant/Equipment, Total - Gross - 64406 63367 57184  Accumulated Depreciation, Total - -29312 -28624 -27782  Goodwill, Net - - - -  Intangibles, Net 808 975 1050 990  Long Term Investments 12841 10600 11324 10642  Note Receivable - Long Term - 116 131 149  Other Long Term Assets, Total 1 4058 5331 7880  Other Assets, Total -106363 - - -"
"Property/Plant/Equipment, Total - Net",35602,35095,34745,29405
"Property/Plant/Equipment, Total - Gross",-,64406,63367,57184
"Accumulated Depreciation, Total",-,-29312,-28624,-27782
"Goodwill, Net",-,-,-,-
"Intangibles, Net",808,975,1050,990
Long Term Investments,12841,10600,11324,10642
Note Receivable - Long Term,-,116,131,149
"Other Long Term Assets, Total",1,4058,5331,7880
"Other Assets, Total",-106363,-,-,-
Total Current Liabilities,122249,107750,100914,104699
"Accounts Payable 44866 42498 43934 46690  Payable/Accrued - - - -  Accrued Expenses 28 63 - -  Notes Payable/Short Term Debt 36708 - 4116 8636  Current Port. of LT Debt/Capital Leases - 18875 6283 6171  Other Current liabilities, Total 40647 46314 46581 43202","Accounts Payable 44866 42498 43934 46690  Payable/Accrued - - - -  Accrued Expenses 28 63 - -  Notes Payable/Short Term Debt 36708 - 4116 8636  Current Port. of LT Debt/Capital Leases - 18875 6283 6171  Other Current liabilities, Total 40647 46314 46581 43202","Accounts Payable 44866 42498 43934 46690  Payable/Accrued - - - -  Accrued Expenses 28 63 - -  Notes Payable/Short Term Debt 36708 - 4116 8636  Current Port. of LT Debt/Capital Leases - 18875 6283 6171  Other Current liabilities, Total 40647 46314 46581 43202","Accounts Payable 44866 42498 43934 46690  Payable/Accrued - - - -  Accrued Expenses 28 63 - -  Notes Payable/Short Term Debt 36708 - 4116 8636  Current Port. of LT Debt/Capital Leases - 18875 6283 6171  Other Current liabilities, Total 40647 46314 46581 43202","Accounts Payable 44866 42498 43934 46690  Payable/Accrued - - - -  Accrued Expenses 28 63 - -  Notes Payable/Short Term Debt 36708 - 4116 8636  Current Port. of LT Debt/Capital Leases - 18875 6283 6171  Other Current liabilities, Total 40647 46314 46581 43202"
Accounts Payable,44866,42498,43934,46690
Payable/Accrued,-,-,-,-
Accrued Expenses,28,63,-,-
Notes Payable/Short Term Debt,36708,-,4116,8636
Current Port. of LT Debt/Capital Leases,-,18875,6283,6171
"Other Current liabilities, Total",40647,46314,46581,43202
Total Liabilities,137568,126888,128753,134194
