Period Ending:,202230/09,202130/09,202030/09,201930/09
Total Current Assets,1854,1743.34,1735.33,1174.07
"Cash and Short Term Investments 1279 1168.34 1214.86 896.41  Cash - - - -  Cash & Equivalents 1279 1128.34 1214.86 896.41  Short Term Investments - 40 - -  Total Receivables, Net 480 507.83 420.33 252.13  Accounts Receivables - Trade, Net 480 507.83 420.33 252.13  Total Inventory - - - -  Prepaid Expenses 91 64.2 74.5 23.67  Other Current Assets, Total 4 2.96 25.64 1.85","Cash and Short Term Investments 1279 1168.34 1214.86 896.41  Cash - - - -  Cash & Equivalents 1279 1128.34 1214.86 896.41  Short Term Investments - 40 - -  Total Receivables, Net 480 507.83 420.33 252.13  Accounts Receivables - Trade, Net 480 507.83 420.33 252.13  Total Inventory - - - -  Prepaid Expenses 91 64.2 74.5 23.67  Other Current Assets, Total 4 2.96 25.64 1.85","Cash and Short Term Investments 1279 1168.34 1214.86 896.41  Cash - - - -  Cash & Equivalents 1279 1128.34 1214.86 896.41  Short Term Investments - 40 - -  Total Receivables, Net 480 507.83 420.33 252.13  Accounts Receivables - Trade, Net 480 507.83 420.33 252.13  Total Inventory - - - -  Prepaid Expenses 91 64.2 74.5 23.67  Other Current Assets, Total 4 2.96 25.64 1.85","Cash and Short Term Investments 1279 1168.34 1214.86 896.41  Cash - - - -  Cash & Equivalents 1279 1128.34 1214.86 896.41  Short Term Investments - 40 - -  Total Receivables, Net 480 507.83 420.33 252.13  Accounts Receivables - Trade, Net 480 507.83 420.33 252.13  Total Inventory - - - -  Prepaid Expenses 91 64.2 74.5 23.67  Other Current Assets, Total 4 2.96 25.64 1.85","Cash and Short Term Investments 1279 1168.34 1214.86 896.41  Cash - - - -  Cash & Equivalents 1279 1128.34 1214.86 896.41  Short Term Investments - 40 - -  Total Receivables, Net 480 507.83 420.33 252.13  Accounts Receivables - Trade, Net 480 507.83 420.33 252.13  Total Inventory - - - -  Prepaid Expenses 91 64.2 74.5 23.67  Other Current Assets, Total 4 2.96 25.64 1.85"
Cash and Short Term Investments,1279,1168.34,1214.86,896.41
Cash,-,-,-,-
Cash & Equivalents,1279,1128.34,1214.86,896.41
Short Term Investments,-,40,-,-
"Total Receivables, Net",480,507.83,420.33,252.13
"Accounts Receivables - Trade, Net",480,507.83,420.33,252.13
Total Inventory,-,-,-,-
Prepaid Expenses,91,64.2,74.5,23.67
"Other Current Assets, Total",4,2.96,25.64,1.85
Total Assets,2008,1848.83,1863.86,1288.84
"Property/Plant/Equipment, Total - Net 8 9.38 10.37 9.28  Property/Plant/Equipment, Total - Gross - 17.88 16.11 13.05  Accumulated Depreciation, Total - -8.49 -5.75 -3.77  Goodwill, Net - - - -  Intangibles, Net 8 6.02 8.38 9.58  Long Term Investments 104 9 40 40  Note Receivable - Long Term - 1.5 0.14 2.4  Other Long Term Assets, Total 2 79.59 69.65 53.52  Other Assets, Total -444 - - -","Property/Plant/Equipment, Total - Net 8 9.38 10.37 9.28  Property/Plant/Equipment, Total - Gross - 17.88 16.11 13.05  Accumulated Depreciation, Total - -8.49 -5.75 -3.77  Goodwill, Net - - - -  Intangibles, Net 8 6.02 8.38 9.58  Long Term Investments 104 9 40 40  Note Receivable - Long Term - 1.5 0.14 2.4  Other Long Term Assets, Total 2 79.59 69.65 53.52  Other Assets, Total -444 - - -","Property/Plant/Equipment, Total - Net 8 9.38 10.37 9.28  Property/Plant/Equipment, Total - Gross - 17.88 16.11 13.05  Accumulated Depreciation, Total - -8.49 -5.75 -3.77  Goodwill, Net - - - -  Intangibles, Net 8 6.02 8.38 9.58  Long Term Investments 104 9 40 40  Note Receivable - Long Term - 1.5 0.14 2.4  Other Long Term Assets, Total 2 79.59 69.65 53.52  Other Assets, Total -444 - - -","Property/Plant/Equipment, Total - Net 8 9.38 10.37 9.28  Property/Plant/Equipment, Total - Gross - 17.88 16.11 13.05  Accumulated Depreciation, Total - -8.49 -5.75 -3.77  Goodwill, Net - - - -  Intangibles, Net 8 6.02 8.38 9.58  Long Term Investments 104 9 40 40  Note Receivable - Long Term - 1.5 0.14 2.4  Other Long Term Assets, Total 2 79.59 69.65 53.52  Other Assets, Total -444 - - -","Property/Plant/Equipment, Total - Net 8 9.38 10.37 9.28  Property/Plant/Equipment, Total - Gross - 17.88 16.11 13.05  Accumulated Depreciation, Total - -8.49 -5.75 -3.77  Goodwill, Net - - - -  Intangibles, Net 8 6.02 8.38 9.58  Long Term Investments 104 9 40 40  Note Receivable - Long Term - 1.5 0.14 2.4  Other Long Term Assets, Total 2 79.59 69.65 53.52  Other Assets, Total -444 - - -"
"Property/Plant/Equipment, Total - Net",8,9.38,10.37,9.28
"Property/Plant/Equipment, Total - Gross",-,17.88,16.11,13.05
"Accumulated Depreciation, Total",-,-8.49,-5.75,-3.77
"Goodwill, Net",-,-,-,-
"Intangibles, Net",8,6.02,8.38,9.58
Long Term Investments,104,9,40,40
Note Receivable - Long Term,-,1.5,0.14,2.4
"Other Long Term Assets, Total",2,79.59,69.65,53.52
"Other Assets, Total",-444,-,-,-
Total Current Liabilities,719,650.92,603.92,328.12
"Accounts Payable 4 5.13 5.17 5.25  Payable/Accrued - - - -  Accrued Expenses 97 120.77 68.97 62.87  Notes Payable/Short Term Debt - - - -  Current Port. of LT Debt/Capital Leases 150 155.05 164.24 60  Other Current liabilities, Total 468 369.98 365.54 200","Accounts Payable 4 5.13 5.17 5.25  Payable/Accrued - - - -  Accrued Expenses 97 120.77 68.97 62.87  Notes Payable/Short Term Debt - - - -  Current Port. of LT Debt/Capital Leases 150 155.05 164.24 60  Other Current liabilities, Total 468 369.98 365.54 200","Accounts Payable 4 5.13 5.17 5.25  Payable/Accrued - - - -  Accrued Expenses 97 120.77 68.97 62.87  Notes Payable/Short Term Debt - - - -  Current Port. of LT Debt/Capital Leases 150 155.05 164.24 60  Other Current liabilities, Total 468 369.98 365.54 200","Accounts Payable 4 5.13 5.17 5.25  Payable/Accrued - - - -  Accrued Expenses 97 120.77 68.97 62.87  Notes Payable/Short Term Debt - - - -  Current Port. of LT Debt/Capital Leases 150 155.05 164.24 60  Other Current liabilities, Total 468 369.98 365.54 200","Accounts Payable 4 5.13 5.17 5.25  Payable/Accrued - - - -  Accrued Expenses 97 120.77 68.97 62.87  Notes Payable/Short Term Debt - - - -  Current Port. of LT Debt/Capital Leases 150 155.05 164.24 60  Other Current liabilities, Total 468 369.98 365.54 200"
Accounts Payable,4,5.13,5.17,5.25
Payable/Accrued,-,-,-,-
Accrued Expenses,97,120.77,68.97,62.87
Notes Payable/Short Term Debt,-,-,-,-
Current Port. of LT Debt/Capital Leases,150,155.05,164.24,60
"Other Current liabilities, Total",468,369.98,365.54,200
Total Liabilities,866,947.87,1055.92,488.12
"Total Long Term Debt 146 296.95 452 160  Long Term Debt 146 296.95 452 160  Capital Lease Obligations - - - -  Deferred Income Tax - - - -  Minority Interest - - - -  Other Liabilities, Total 1 - - -","Total Long Term Debt 146 296.95 452 160  Long Term Debt 146 296.95 452 160  Capital Lease Obligations - - - -  Deferred Income Tax - - - -  Minority Interest - - - -  Other Liabilities, Total 1 - - -","Total Long Term Debt 146 296.95 452 160  Long Term Debt 146 296.95 452 160  Capital Lease Obligations - - - -  Deferred Income Tax - - - -  Minority Interest - - - -  Other Liabilities, Total 1 - - -","Total Long Term Debt 146 296.95 452 160  Long Term Debt 146 296.95 452 160  Capital Lease Obligations - - - -  Deferred Income Tax - - - -  Minority Interest - - - -  Other Liabilities, Total 1 - - -","Total Long Term Debt 146 296.95 452 160  Long Term Debt 146 296.95 452 160  Capital Lease Obligations - - - -  Deferred Income Tax - - - -  Minority Interest - - - -  Other Liabilities, Total 1 - - -"
Total Long Term Debt,146,296.95,452,160
Long Term Debt,146,296.95,452,160
Capital Lease Obligations,-,-,-,-
Deferred Income Tax,-,-,-,-
Minority Interest,-,-,-,-
"Other Liabilities, Total",1,-,-,-
Total Equity,1142,900.96,807.94,800.72
"Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 194 193.83 193.45 192.53  Additional Paid-In Capital 163 162.83 162.45 161.53  Retained Earnings (Accumulated Deficit) 776 544.41 452.05 446.66  Treasury Stock - Common - -0.1 - -  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - - - -  Other Equity, Total 9 - - -","Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 194 193.83 193.45 192.53  Additional Paid-In Capital 163 162.83 162.45 161.53  Retained Earnings (Accumulated Deficit) 776 544.41 452.05 446.66  Treasury Stock - Common - -0.1 - -  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - - - -  Other Equity, Total 9 - - -","Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 194 193.83 193.45 192.53  Additional Paid-In Capital 163 162.83 162.45 161.53  Retained Earnings (Accumulated Deficit) 776 544.41 452.05 446.66  Treasury Stock - Common - -0.1 - -  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - - - -  Other Equity, Total 9 - - -","Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 194 193.83 193.45 192.53  Additional Paid-In Capital 163 162.83 162.45 161.53  Retained Earnings (Accumulated Deficit) 776 544.41 452.05 446.66  Treasury Stock - Common - -0.1 - -  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - - - -  Other Equity, Total 9 - - -","Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 194 193.83 193.45 192.53  Additional Paid-In Capital 163 162.83 162.45 161.53  Retained Earnings (Accumulated Deficit) 776 544.41 452.05 446.66  Treasury Stock - Common - -0.1 - -  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - - - -  Other Equity, Total 9 - - -"
"Redeemable Preferred Stock, Total",-,-,-,-
"Preferred Stock - Non Redeemable, Net",-,-,-,-
"Common Stock, Total",194,193.83,193.45,192.53
Additional Paid-In Capital,163,162.83,162.45,161.53
Retained Earnings (Accumulated Deficit),776,544.41,452.05,446.66
Treasury Stock - Common,-,-0.1,-,-
ESOP Debt Guarantee,-,-,-,-
Unrealized Gain (Loss),-,-,-,-
"Other Equity, Total",9,-,-,-
Total Liabilities & Shareholders' Equity,2008,1848.83,1863.86,1288.84
Total Common Shares Outstanding,1.34,1.34,1.34,1.33
Total Preferred Shares Outstanding,-,-,-,-
