Period Ending:,202130/06,202030/06,201930/06,201830/06
Total Current Assets,-,2947.4,2954.7,2835.78
"Cash and Short Term Investments - 1251.19 1379.26 1366.04  Cash - - - -  Cash & Equivalents - 1251.19 1379.26 1366.04  Short Term Investments - - - -  Total Receivables, Net - 1453.15 1296.04 1166.69  Accounts Receivables - Trade, Net - 1013.59 1087.13 909.42  Total Inventory - 203.3 203.27 207.92  Prepaid Expenses 7.74 5.92 32.02 18.9  Other Current Assets, Total - 33.84 44.1 76.24","Cash and Short Term Investments - 1251.19 1379.26 1366.04  Cash - - - -  Cash & Equivalents - 1251.19 1379.26 1366.04  Short Term Investments - - - -  Total Receivables, Net - 1453.15 1296.04 1166.69  Accounts Receivables - Trade, Net - 1013.59 1087.13 909.42  Total Inventory - 203.3 203.27 207.92  Prepaid Expenses 7.74 5.92 32.02 18.9  Other Current Assets, Total - 33.84 44.1 76.24","Cash and Short Term Investments - 1251.19 1379.26 1366.04  Cash - - - -  Cash & Equivalents - 1251.19 1379.26 1366.04  Short Term Investments - - - -  Total Receivables, Net - 1453.15 1296.04 1166.69  Accounts Receivables - Trade, Net - 1013.59 1087.13 909.42  Total Inventory - 203.3 203.27 207.92  Prepaid Expenses 7.74 5.92 32.02 18.9  Other Current Assets, Total - 33.84 44.1 76.24","Cash and Short Term Investments - 1251.19 1379.26 1366.04  Cash - - - -  Cash & Equivalents - 1251.19 1379.26 1366.04  Short Term Investments - - - -  Total Receivables, Net - 1453.15 1296.04 1166.69  Accounts Receivables - Trade, Net - 1013.59 1087.13 909.42  Total Inventory - 203.3 203.27 207.92  Prepaid Expenses 7.74 5.92 32.02 18.9  Other Current Assets, Total - 33.84 44.1 76.24","Cash and Short Term Investments - 1251.19 1379.26 1366.04  Cash - - - -  Cash & Equivalents - 1251.19 1379.26 1366.04  Short Term Investments - - - -  Total Receivables, Net - 1453.15 1296.04 1166.69  Accounts Receivables - Trade, Net - 1013.59 1087.13 909.42  Total Inventory - 203.3 203.27 207.92  Prepaid Expenses 7.74 5.92 32.02 18.9  Other Current Assets, Total - 33.84 44.1 76.24"
Cash and Short Term Investments,-,1251.19,1379.26,1366.04
Cash,-,-,-,-
Cash & Equivalents,-,1251.19,1379.26,1366.04
Short Term Investments,-,-,-,-
"Total Receivables, Net",-,1453.15,1296.04,1166.69
"Accounts Receivables - Trade, Net",-,1013.59,1087.13,909.42
Total Inventory,-,203.3,203.27,207.92
Prepaid Expenses,7.74,5.92,32.02,18.9
"Other Current Assets, Total",-,33.84,44.1,76.24
Total Assets,-,4003.98,4049.33,3934.44
"Property/Plant/Equipment, Total - Net - 735 761.64 734.48  Property/Plant/Equipment, Total - Gross 2269.71 2274.62 2253.68 2282.04  Accumulated Depreciation, Total -1561.74 -1539.62 -1492.05 -1547.57  Goodwill, Net - - - -  Intangibles, Net - 23.13 24.05 27.56  Long Term Investments - 267.82 306.92 338.75  Note Receivable - Long Term 17.62 17.62 17.62 17.62  Other Long Term Assets, Total - 13.02 -15.59 -19.74  Other Assets, Total - - - -","Property/Plant/Equipment, Total - Net - 735 761.64 734.48  Property/Plant/Equipment, Total - Gross 2269.71 2274.62 2253.68 2282.04  Accumulated Depreciation, Total -1561.74 -1539.62 -1492.05 -1547.57  Goodwill, Net - - - -  Intangibles, Net - 23.13 24.05 27.56  Long Term Investments - 267.82 306.92 338.75  Note Receivable - Long Term 17.62 17.62 17.62 17.62  Other Long Term Assets, Total - 13.02 -15.59 -19.74  Other Assets, Total - - - -","Property/Plant/Equipment, Total - Net - 735 761.64 734.48  Property/Plant/Equipment, Total - Gross 2269.71 2274.62 2253.68 2282.04  Accumulated Depreciation, Total -1561.74 -1539.62 -1492.05 -1547.57  Goodwill, Net - - - -  Intangibles, Net - 23.13 24.05 27.56  Long Term Investments - 267.82 306.92 338.75  Note Receivable - Long Term 17.62 17.62 17.62 17.62  Other Long Term Assets, Total - 13.02 -15.59 -19.74  Other Assets, Total - - - -","Property/Plant/Equipment, Total - Net - 735 761.64 734.48  Property/Plant/Equipment, Total - Gross 2269.71 2274.62 2253.68 2282.04  Accumulated Depreciation, Total -1561.74 -1539.62 -1492.05 -1547.57  Goodwill, Net - - - -  Intangibles, Net - 23.13 24.05 27.56  Long Term Investments - 267.82 306.92 338.75  Note Receivable - Long Term 17.62 17.62 17.62 17.62  Other Long Term Assets, Total - 13.02 -15.59 -19.74  Other Assets, Total - - - -","Property/Plant/Equipment, Total - Net - 735 761.64 734.48  Property/Plant/Equipment, Total - Gross 2269.71 2274.62 2253.68 2282.04  Accumulated Depreciation, Total -1561.74 -1539.62 -1492.05 -1547.57  Goodwill, Net - - - -  Intangibles, Net - 23.13 24.05 27.56  Long Term Investments - 267.82 306.92 338.75  Note Receivable - Long Term 17.62 17.62 17.62 17.62  Other Long Term Assets, Total - 13.02 -15.59 -19.74  Other Assets, Total - - - -"
"Property/Plant/Equipment, Total - Net",-,735,761.64,734.48
"Property/Plant/Equipment, Total - Gross",2269.71,2274.62,2253.68,2282.04
"Accumulated Depreciation, Total",-1561.74,-1539.62,-1492.05,-1547.57
"Goodwill, Net",-,-,-,-
"Intangibles, Net",-,23.13,24.05,27.56
Long Term Investments,-,267.82,306.92,338.75
Note Receivable - Long Term,17.62,17.62,17.62,17.62
"Other Long Term Assets, Total",-,13.02,-15.59,-19.74
"Other Assets, Total",-,-,-,-
Total Current Liabilities,-,1420,1343.36,1197.19
"Accounts Payable - 850.52 977.78 963.46  Payable/Accrued - - - -  Accrued Expenses - 37.45 49.85 41.89  Notes Payable/Short Term Debt - - - -  Current Port. of LT Debt/Capital Leases - 2.63 6.63 6.63  Other Current liabilities, Total - 529.4 309.1 185.2","Accounts Payable - 850.52 977.78 963.46  Payable/Accrued - - - -  Accrued Expenses - 37.45 49.85 41.89  Notes Payable/Short Term Debt - - - -  Current Port. of LT Debt/Capital Leases - 2.63 6.63 6.63  Other Current liabilities, Total - 529.4 309.1 185.2","Accounts Payable - 850.52 977.78 963.46  Payable/Accrued - - - -  Accrued Expenses - 37.45 49.85 41.89  Notes Payable/Short Term Debt - - - -  Current Port. of LT Debt/Capital Leases - 2.63 6.63 6.63  Other Current liabilities, Total - 529.4 309.1 185.2","Accounts Payable - 850.52 977.78 963.46  Payable/Accrued - - - -  Accrued Expenses - 37.45 49.85 41.89  Notes Payable/Short Term Debt - - - -  Current Port. of LT Debt/Capital Leases - 2.63 6.63 6.63  Other Current liabilities, Total - 529.4 309.1 185.2","Accounts Payable - 850.52 977.78 963.46  Payable/Accrued - - - -  Accrued Expenses - 37.45 49.85 41.89  Notes Payable/Short Term Debt - - - -  Current Port. of LT Debt/Capital Leases - 2.63 6.63 6.63  Other Current liabilities, Total - 529.4 309.1 185.2"
Accounts Payable,-,850.52,977.78,963.46
Payable/Accrued,-,-,-,-
Accrued Expenses,-,37.45,49.85,41.89
Notes Payable/Short Term Debt,-,-,-,-
Current Port. of LT Debt/Capital Leases,-,2.63,6.63,6.63
"Other Current liabilities, Total",-,529.4,309.1,185.2
Total Liabilities,-,1479.76,1368.79,1247.68
"Total Long Term Debt - - 2.63 9.27  Long Term Debt - - - -  Capital Lease Obligations - - 2.63 9.27  Deferred Income Tax - 6.78 8.2 4.63  Minority Interest - - - -  Other Liabilities, Total - 52.98 14.59 36.59","Total Long Term Debt - - 2.63 9.27  Long Term Debt - - - -  Capital Lease Obligations - - 2.63 9.27  Deferred Income Tax - 6.78 8.2 4.63  Minority Interest - - - -  Other Liabilities, Total - 52.98 14.59 36.59","Total Long Term Debt - - 2.63 9.27  Long Term Debt - - - -  Capital Lease Obligations - - 2.63 9.27  Deferred Income Tax - 6.78 8.2 4.63  Minority Interest - - - -  Other Liabilities, Total - 52.98 14.59 36.59","Total Long Term Debt - - 2.63 9.27  Long Term Debt - - - -  Capital Lease Obligations - - 2.63 9.27  Deferred Income Tax - 6.78 8.2 4.63  Minority Interest - - - -  Other Liabilities, Total - 52.98 14.59 36.59","Total Long Term Debt - - 2.63 9.27  Long Term Debt - - - -  Capital Lease Obligations - - 2.63 9.27  Deferred Income Tax - 6.78 8.2 4.63  Minority Interest - - - -  Other Liabilities, Total - 52.98 14.59 36.59"
Total Long Term Debt,-,-,2.63,9.27
Long Term Debt,-,-,-,-
Capital Lease Obligations,-,-,2.63,9.27
Deferred Income Tax,-,6.78,8.2,4.63
Minority Interest,-,-,-,-
"Other Liabilities, Total",-,52.98,14.59,36.59
Total Equity,-,2524.22,2680.54,2686.76
