Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Current Assets,2181.7,500.24,901.71,205.78
"Cash and Short Term Investments 1839.16 288.93 825.38 96.11  Cash - - - -  Cash & Equivalents 1839.16 288.93 825.38 96.11  Short Term Investments - - - -  Total Receivables, Net 262.04 70.01 53.83 98.19  Accounts Receivables - Trade, Net 259.37 63.13 49.15 49.24  Total Inventory 1.28 1.95 - -  Prepaid Expenses 5.08 3.55 14.53 4.52  Other Current Assets, Total 74.14 135.8 7.97 6.96","Cash and Short Term Investments 1839.16 288.93 825.38 96.11  Cash - - - -  Cash & Equivalents 1839.16 288.93 825.38 96.11  Short Term Investments - - - -  Total Receivables, Net 262.04 70.01 53.83 98.19  Accounts Receivables - Trade, Net 259.37 63.13 49.15 49.24  Total Inventory 1.28 1.95 - -  Prepaid Expenses 5.08 3.55 14.53 4.52  Other Current Assets, Total 74.14 135.8 7.97 6.96","Cash and Short Term Investments 1839.16 288.93 825.38 96.11  Cash - - - -  Cash & Equivalents 1839.16 288.93 825.38 96.11  Short Term Investments - - - -  Total Receivables, Net 262.04 70.01 53.83 98.19  Accounts Receivables - Trade, Net 259.37 63.13 49.15 49.24  Total Inventory 1.28 1.95 - -  Prepaid Expenses 5.08 3.55 14.53 4.52  Other Current Assets, Total 74.14 135.8 7.97 6.96","Cash and Short Term Investments 1839.16 288.93 825.38 96.11  Cash - - - -  Cash & Equivalents 1839.16 288.93 825.38 96.11  Short Term Investments - - - -  Total Receivables, Net 262.04 70.01 53.83 98.19  Accounts Receivables - Trade, Net 259.37 63.13 49.15 49.24  Total Inventory 1.28 1.95 - -  Prepaid Expenses 5.08 3.55 14.53 4.52  Other Current Assets, Total 74.14 135.8 7.97 6.96","Cash and Short Term Investments 1839.16 288.93 825.38 96.11  Cash - - - -  Cash & Equivalents 1839.16 288.93 825.38 96.11  Short Term Investments - - - -  Total Receivables, Net 262.04 70.01 53.83 98.19  Accounts Receivables - Trade, Net 259.37 63.13 49.15 49.24  Total Inventory 1.28 1.95 - -  Prepaid Expenses 5.08 3.55 14.53 4.52  Other Current Assets, Total 74.14 135.8 7.97 6.96"
Cash and Short Term Investments,1839.16,288.93,825.38,96.11
Cash,-,-,-,-
Cash & Equivalents,1839.16,288.93,825.38,96.11
Short Term Investments,-,-,-,-
"Total Receivables, Net",262.04,70.01,53.83,98.19
"Accounts Receivables - Trade, Net",259.37,63.13,49.15,49.24
Total Inventory,1.28,1.95,-,-
Prepaid Expenses,5.08,3.55,14.53,4.52
