Period Ending:,202331/01,202231/07,202231/01,202131/07
Total Current Assets,9741,9759,-,7279.15
"Cash and Short Term Investments 1966 686 - 738.49  Cash - - - -  Cash & Equivalents 1966 686 - 738.49  Short Term Investments - - - -  Total Receivables, Net 57 276 - 252.48  Accounts Receivables - Trade, Net 57 276 - 252.48  Total Inventory - - - -  Prepaid Expenses - - - 45.4  Other Current Assets, Total 7718 8797 - 6242.78","Cash and Short Term Investments 1966 686 - 738.49  Cash - - - -  Cash & Equivalents 1966 686 - 738.49  Short Term Investments - - - -  Total Receivables, Net 57 276 - 252.48  Accounts Receivables - Trade, Net 57 276 - 252.48  Total Inventory - - - -  Prepaid Expenses - - - 45.4  Other Current Assets, Total 7718 8797 - 6242.78","Cash and Short Term Investments 1966 686 - 738.49  Cash - - - -  Cash & Equivalents 1966 686 - 738.49  Short Term Investments - - - -  Total Receivables, Net 57 276 - 252.48  Accounts Receivables - Trade, Net 57 276 - 252.48  Total Inventory - - - -  Prepaid Expenses - - - 45.4  Other Current Assets, Total 7718 8797 - 6242.78","Cash and Short Term Investments 1966 686 - 738.49  Cash - - - -  Cash & Equivalents 1966 686 - 738.49  Short Term Investments - - - -  Total Receivables, Net 57 276 - 252.48  Accounts Receivables - Trade, Net 57 276 - 252.48  Total Inventory - - - -  Prepaid Expenses - - - 45.4  Other Current Assets, Total 7718 8797 - 6242.78","Cash and Short Term Investments 1966 686 - 738.49  Cash - - - -  Cash & Equivalents 1966 686 - 738.49  Short Term Investments - - - -  Total Receivables, Net 57 276 - 252.48  Accounts Receivables - Trade, Net 57 276 - 252.48  Total Inventory - - - -  Prepaid Expenses - - - 45.4  Other Current Assets, Total 7718 8797 - 6242.78"
Cash and Short Term Investments,1966,686,-,738.49
Cash,-,-,-,-
Cash & Equivalents,1966,686,-,738.49
Short Term Investments,-,-,-,-
"Total Receivables, Net",57,276,-,252.48
"Accounts Receivables - Trade, Net",57,276,-,252.48
Total Inventory,-,-,-,-
Prepaid Expenses,-,-,-,45.4
"Other Current Assets, Total",7718,8797,-,6242.78
Total Assets,336551,339016,-,296103.45
"Property/Plant/Equipment, Total - Net 326695 329115 - 3221.01  Property/Plant/Equipment, Total - Gross 346393.12 - - 4156.88  Accumulated Depreciation, Total -19722.8 - - -935.88  Goodwill, Net - - - -  Intangibles, Net 0.989 - - 1.91  Long Term Investments - - - 285397.47  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 115 142 - 203.91  Other Assets, Total 7661 8521 - -","Property/Plant/Equipment, Total - Net 326695 329115 - 3221.01  Property/Plant/Equipment, Total - Gross 346393.12 - - 4156.88  Accumulated Depreciation, Total -19722.8 - - -935.88  Goodwill, Net - - - -  Intangibles, Net 0.989 - - 1.91  Long Term Investments - - - 285397.47  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 115 142 - 203.91  Other Assets, Total 7661 8521 - -","Property/Plant/Equipment, Total - Net 326695 329115 - 3221.01  Property/Plant/Equipment, Total - Gross 346393.12 - - 4156.88  Accumulated Depreciation, Total -19722.8 - - -935.88  Goodwill, Net - - - -  Intangibles, Net 0.989 - - 1.91  Long Term Investments - - - 285397.47  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 115 142 - 203.91  Other Assets, Total 7661 8521 - -","Property/Plant/Equipment, Total - Net 326695 329115 - 3221.01  Property/Plant/Equipment, Total - Gross 346393.12 - - 4156.88  Accumulated Depreciation, Total -19722.8 - - -935.88  Goodwill, Net - - - -  Intangibles, Net 0.989 - - 1.91  Long Term Investments - - - 285397.47  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 115 142 - 203.91  Other Assets, Total 7661 8521 - -","Property/Plant/Equipment, Total - Net 326695 329115 - 3221.01  Property/Plant/Equipment, Total - Gross 346393.12 - - 4156.88  Accumulated Depreciation, Total -19722.8 - - -935.88  Goodwill, Net - - - -  Intangibles, Net 0.989 - - 1.91  Long Term Investments - - - 285397.47  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 115 142 - 203.91  Other Assets, Total 7661 8521 - -"
"Property/Plant/Equipment, Total - Net",326695,329115,-,3221.01
"Property/Plant/Equipment, Total - Gross",346393.12,-,-,4156.88
"Accumulated Depreciation, Total",-19722.8,-,-,-935.88
"Goodwill, Net",-,-,-,-
"Intangibles, Net",0.989,-,-,1.91
Long Term Investments,-,-,-,285397.47
Note Receivable - Long Term,-,-,-,-
"Other Long Term Assets, Total",115,142,-,203.91
"Other Assets, Total",7661,8521,-,-
Total Current Liabilities,14304,17581,-,6807.83
"Accounts Payable 2839 1538 - 246.41  Payable/Accrued - - - -  Accrued Expenses 11 10 - 8.71  Notes Payable/Short Term Debt - 5200 - 2000  Current Port. of LT Debt/Capital Leases 9600 9000 - 1900  Other Current liabilities, Total 1854 1833 - 2652.7","Accounts Payable 2839 1538 - 246.41  Payable/Accrued - - - -  Accrued Expenses 11 10 - 8.71  Notes Payable/Short Term Debt - 5200 - 2000  Current Port. of LT Debt/Capital Leases 9600 9000 - 1900  Other Current liabilities, Total 1854 1833 - 2652.7","Accounts Payable 2839 1538 - 246.41  Payable/Accrued - - - -  Accrued Expenses 11 10 - 8.71  Notes Payable/Short Term Debt - 5200 - 2000  Current Port. of LT Debt/Capital Leases 9600 9000 - 1900  Other Current liabilities, Total 1854 1833 - 2652.7","Accounts Payable 2839 1538 - 246.41  Payable/Accrued - - - -  Accrued Expenses 11 10 - 8.71  Notes Payable/Short Term Debt - 5200 - 2000  Current Port. of LT Debt/Capital Leases 9600 9000 - 1900  Other Current liabilities, Total 1854 1833 - 2652.7","Accounts Payable 2839 1538 - 246.41  Payable/Accrued - - - -  Accrued Expenses 11 10 - 8.71  Notes Payable/Short Term Debt - 5200 - 2000  Current Port. of LT Debt/Capital Leases 9600 9000 - 1900  Other Current liabilities, Total 1854 1833 - 2652.7"
Accounts Payable,2839,1538,-,246.41
Payable/Accrued,-,-,-,-
Accrued Expenses,11,10,-,8.71
Notes Payable/Short Term Debt,-,5200,-,2000
Current Port. of LT Debt/Capital Leases,9600,9000,-,1900
"Other Current liabilities, Total",1854,1833,-,2652.7
Total Liabilities,132321,134179,-,108594.84
"Total Long Term Debt 111100 109700 - 95500  Long Term Debt 111100 109700 - 95500  Capital Lease Obligations - - - -  Deferred Income Tax - - - -  Minority Interest - - - -  Other Liabilities, Total 6917 1698 - 6287.01","Total Long Term Debt 111100 109700 - 95500  Long Term Debt 111100 109700 - 95500  Capital Lease Obligations - - - -  Deferred Income Tax - - - -  Minority Interest - - - -  Other Liabilities, Total 6917 1698 - 6287.01","Total Long Term Debt 111100 109700 - 95500  Long Term Debt 111100 109700 - 95500  Capital Lease Obligations - - - -  Deferred Income Tax - - - -  Minority Interest - - - -  Other Liabilities, Total 6917 1698 - 6287.01","Total Long Term Debt 111100 109700 - 95500  Long Term Debt 111100 109700 - 95500  Capital Lease Obligations - - - -  Deferred Income Tax - - - -  Minority Interest - - - -  Other Liabilities, Total 6917 1698 - 6287.01","Total Long Term Debt 111100 109700 - 95500  Long Term Debt 111100 109700 - 95500  Capital Lease Obligations - - - -  Deferred Income Tax - - - -  Minority Interest - - - -  Other Liabilities, Total 6917 1698 - 6287.01"
Total Long Term Debt,111100,109700,-,95500
Long Term Debt,111100,109700,-,95500
Capital Lease Obligations,-,-,-,-
Deferred Income Tax,-,-,-,-
Minority Interest,-,-,-,-
"Other Liabilities, Total",6917,1698,-,6287.01
Total Equity,204230,204837,-,187508.61
"Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 200025 200671 - 183800.23  Additional Paid-In Capital - - - -  Retained Earnings (Accumulated Deficit) 4205 4165 - 3708.37  Treasury Stock - Common - - - -  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - - - -  Other Equity, Total - 1 - -","Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 200025 200671 - 183800.23  Additional Paid-In Capital - - - -  Retained Earnings (Accumulated Deficit) 4205 4165 - 3708.37  Treasury Stock - Common - - - -  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - - - -  Other Equity, Total - 1 - -","Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 200025 200671 - 183800.23  Additional Paid-In Capital - - - -  Retained Earnings (Accumulated Deficit) 4205 4165 - 3708.37  Treasury Stock - Common - - - -  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - - - -  Other Equity, Total - 1 - -","Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 200025 200671 - 183800.23  Additional Paid-In Capital - - - -  Retained Earnings (Accumulated Deficit) 4205 4165 - 3708.37  Treasury Stock - Common - - - -  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - - - -  Other Equity, Total - 1 - -","Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 200025 200671 - 183800.23  Additional Paid-In Capital - - - -  Retained Earnings (Accumulated Deficit) 4205 4165 - 3708.37  Treasury Stock - Common - - - -  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - - - -  Other Equity, Total - 1 - -"
"Redeemable Preferred Stock, Total",-,-,-,-
"Preferred Stock - Non Redeemable, Net",-,-,-,-
"Common Stock, Total",200025,200671,-,183800.23
Additional Paid-In Capital,-,-,-,-
Retained Earnings (Accumulated Deficit),4205,4165,-,3708.37
Treasury Stock - Common,-,-,-,-
ESOP Debt Guarantee,-,-,-,-
Unrealized Gain (Loss),-,-,-,-
"Other Equity, Total",-,1,-,-
Total Liabilities & Shareholders' Equity,336551,339016,-,296103.45
Total Common Shares Outstanding,0.576,0.576,-,0.54
Total Preferred Shares Outstanding,-,-,-,-
