Period Ending:,202231/12,202131/12,202031/12,201931/12
Total Current Assets,524229,521533,514763,532623
"Cash and Short Term Investments 137534 172056 151013 110342  Cash - - - -  Cash & Equivalents 119036 172056 130013 110342  Short Term Investments 18498 16429 21000 -  Total Receivables, Net 182069 147083 141084 170164  Accounts Receivables - Trade, Net 182069 147083 141084 170164  Total Inventory 130942 143758 170031 181104  Prepaid Expenses 11074 - - -  Other Current Assets, Total 62610 58636 52635 71013","Cash and Short Term Investments 137534 172056 151013 110342  Cash - - - -  Cash & Equivalents 119036 172056 130013 110342  Short Term Investments 18498 16429 21000 -  Total Receivables, Net 182069 147083 141084 170164  Accounts Receivables - Trade, Net 182069 147083 141084 170164  Total Inventory 130942 143758 170031 181104  Prepaid Expenses 11074 - - -  Other Current Assets, Total 62610 58636 52635 71013","Cash and Short Term Investments 137534 172056 151013 110342  Cash - - - -  Cash & Equivalents 119036 172056 130013 110342  Short Term Investments 18498 16429 21000 -  Total Receivables, Net 182069 147083 141084 170164  Accounts Receivables - Trade, Net 182069 147083 141084 170164  Total Inventory 130942 143758 170031 181104  Prepaid Expenses 11074 - - -  Other Current Assets, Total 62610 58636 52635 71013","Cash and Short Term Investments 137534 172056 151013 110342  Cash - - - -  Cash & Equivalents 119036 172056 130013 110342  Short Term Investments 18498 16429 21000 -  Total Receivables, Net 182069 147083 141084 170164  Accounts Receivables - Trade, Net 182069 147083 141084 170164  Total Inventory 130942 143758 170031 181104  Prepaid Expenses 11074 - - -  Other Current Assets, Total 62610 58636 52635 71013","Cash and Short Term Investments 137534 172056 151013 110342  Cash - - - -  Cash & Equivalents 119036 172056 130013 110342  Short Term Investments 18498 16429 21000 -  Total Receivables, Net 182069 147083 141084 170164  Accounts Receivables - Trade, Net 182069 147083 141084 170164  Total Inventory 130942 143758 170031 181104  Prepaid Expenses 11074 - - -  Other Current Assets, Total 62610 58636 52635 71013"
Cash and Short Term Investments,137534,172056,151013,110342
Cash,-,-,-,-
Cash & Equivalents,119036,172056,130013,110342
Short Term Investments,18498,16429,21000,-
"Total Receivables, Net",182069,147083,141084,170164
"Accounts Receivables - Trade, Net",182069,147083,141084,170164
Total Inventory,130942,143758,170031,181104
Prepaid Expenses,11074,-,-,-
"Other Current Assets, Total",62610,58636,52635,71013
Total Assets,1307661,1179360,1204229,1218795
"Property/Plant/Equipment, Total - Net 432615 357405 341044 314757  Property/Plant/Equipment, Total - Gross - 627947 585017 541712  Accumulated Depreciation, Total - -270544 -243976 -226955  Goodwill, Net 57879 44159 54429 64499  Intangibles, Net 123217 102330 186963 184710  Long Term Investments 106334 49848 13527 13915  Note Receivable - Long Term - 31116 - -  Other Long Term Assets, Total 5 1 93503 108291  Other Assets, Total 93363 159395 - -","Property/Plant/Equipment, Total - Net 432615 357405 341044 314757  Property/Plant/Equipment, Total - Gross - 627947 585017 541712  Accumulated Depreciation, Total - -270544 -243976 -226955  Goodwill, Net 57879 44159 54429 64499  Intangibles, Net 123217 102330 186963 184710  Long Term Investments 106334 49848 13527 13915  Note Receivable - Long Term - 31116 - -  Other Long Term Assets, Total 5 1 93503 108291  Other Assets, Total 93363 159395 - -","Property/Plant/Equipment, Total - Net 432615 357405 341044 314757  Property/Plant/Equipment, Total - Gross - 627947 585017 541712  Accumulated Depreciation, Total - -270544 -243976 -226955  Goodwill, Net 57879 44159 54429 64499  Intangibles, Net 123217 102330 186963 184710  Long Term Investments 106334 49848 13527 13915  Note Receivable - Long Term - 31116 - -  Other Long Term Assets, Total 5 1 93503 108291  Other Assets, Total 93363 159395 - -","Property/Plant/Equipment, Total - Net 432615 357405 341044 314757  Property/Plant/Equipment, Total - Gross - 627947 585017 541712  Accumulated Depreciation, Total - -270544 -243976 -226955  Goodwill, Net 57879 44159 54429 64499  Intangibles, Net 123217 102330 186963 184710  Long Term Investments 106334 49848 13527 13915  Note Receivable - Long Term - 31116 - -  Other Long Term Assets, Total 5 1 93503 108291  Other Assets, Total 93363 159395 - -","Property/Plant/Equipment, Total - Net 432615 357405 341044 314757  Property/Plant/Equipment, Total - Gross - 627947 585017 541712  Accumulated Depreciation, Total - -270544 -243976 -226955  Goodwill, Net 57879 44159 54429 64499  Intangibles, Net 123217 102330 186963 184710  Long Term Investments 106334 49848 13527 13915  Note Receivable - Long Term - 31116 - -  Other Long Term Assets, Total 5 1 93503 108291  Other Assets, Total 93363 159395 - -"
"Property/Plant/Equipment, Total - Net",432615,357405,341044,314757
"Property/Plant/Equipment, Total - Gross",-,627947,585017,541712
"Accumulated Depreciation, Total",-,-270544,-243976,-226955
"Goodwill, Net",57879,44159,54429,64499
"Intangibles, Net",123217,102330,186963,184710
Long Term Investments,106334,49848,13527,13915
Note Receivable - Long Term,-,31116,-,-
"Other Long Term Assets, Total",5,1,93503,108291
"Other Assets, Total",93363,159395,-,-
Total Current Liabilities,388021,384031,352977,464273
"Accounts Payable 203770 68605 76927 96937  Payable/Accrued - - - -  Accrued Expenses 64519 29726 15189 25233  Notes Payable/Short Term Debt - - 56491 120496  Current Port. of LT Debt/Capital Leases 49672 25394 21583 26437  Other Current liabilities, Total 69985 260306 182787 195170","Accounts Payable 203770 68605 76927 96937  Payable/Accrued - - - -  Accrued Expenses 64519 29726 15189 25233  Notes Payable/Short Term Debt - - 56491 120496  Current Port. of LT Debt/Capital Leases 49672 25394 21583 26437  Other Current liabilities, Total 69985 260306 182787 195170","Accounts Payable 203770 68605 76927 96937  Payable/Accrued - - - -  Accrued Expenses 64519 29726 15189 25233  Notes Payable/Short Term Debt - - 56491 120496  Current Port. of LT Debt/Capital Leases 49672 25394 21583 26437  Other Current liabilities, Total 69985 260306 182787 195170","Accounts Payable 203770 68605 76927 96937  Payable/Accrued - - - -  Accrued Expenses 64519 29726 15189 25233  Notes Payable/Short Term Debt - - 56491 120496  Current Port. of LT Debt/Capital Leases 49672 25394 21583 26437  Other Current liabilities, Total 69985 260306 182787 195170","Accounts Payable 203770 68605 76927 96937  Payable/Accrued - - - -  Accrued Expenses 64519 29726 15189 25233  Notes Payable/Short Term Debt - - 56491 120496  Current Port. of LT Debt/Capital Leases 49672 25394 21583 26437  Other Current liabilities, Total 69985 260306 182787 195170"
Accounts Payable,203770,68605,76927,96937
Payable/Accrued,-,-,-,-
Accrued Expenses,64519,29726,15189,25233
Notes Payable/Short Term Debt,-,-,56491,120496
Current Port. of LT Debt/Capital Leases,49672,25394,21583,26437
"Other Current liabilities, Total",69985,260306,182787,195170
Total Liabilities,681908,611928,718541,721094
"Total Long Term Debt 247441 165588 298661 151541  Long Term Debt 140000 145915 282789 134173  Capital Lease Obligations 107441 19673 15872 17368  Deferred Income Tax 2174 1040 2944 2712  Minority Interest 21494 21343 20905 20156  Other Liabilities, Total -73287 -56719 43054 82412","Total Long Term Debt 247441 165588 298661 151541  Long Term Debt 140000 145915 282789 134173  Capital Lease Obligations 107441 19673 15872 17368  Deferred Income Tax 2174 1040 2944 2712  Minority Interest 21494 21343 20905 20156  Other Liabilities, Total -73287 -56719 43054 82412","Total Long Term Debt 247441 165588 298661 151541  Long Term Debt 140000 145915 282789 134173  Capital Lease Obligations 107441 19673 15872 17368  Deferred Income Tax 2174 1040 2944 2712  Minority Interest 21494 21343 20905 20156  Other Liabilities, Total -73287 -56719 43054 82412","Total Long Term Debt 247441 165588 298661 151541  Long Term Debt 140000 145915 282789 134173  Capital Lease Obligations 107441 19673 15872 17368  Deferred Income Tax 2174 1040 2944 2712  Minority Interest 21494 21343 20905 20156  Other Liabilities, Total -73287 -56719 43054 82412","Total Long Term Debt 247441 165588 298661 151541  Long Term Debt 140000 145915 282789 134173  Capital Lease Obligations 107441 19673 15872 17368  Deferred Income Tax 2174 1040 2944 2712  Minority Interest 21494 21343 20905 20156  Other Liabilities, Total -73287 -56719 43054 82412"
Total Long Term Debt,247441,165588,298661,151541
Long Term Debt,140000,145915,282789,134173
Capital Lease Obligations,107441,19673,15872,17368
Deferred Income Tax,2174,1040,2944,2712
Minority Interest,21494,21343,20905,20156
"Other Liabilities, Total",-73287,-56719,43054,82412
Total Equity,625753,567432,485688,497701
"Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 64506 64506 64506 64506  Additional Paid-In Capital 73560 70741 70741 70741  Retained Earnings (Accumulated Deficit) 394877 366306 341216 372698  Treasury Stock - Common -2089 -2338 -2455 -2591  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - 1267 3054 3106  Other Equity, Total 94899 68217 8626 -10759","Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 64506 64506 64506 64506  Additional Paid-In Capital 73560 70741 70741 70741  Retained Earnings (Accumulated Deficit) 394877 366306 341216 372698  Treasury Stock - Common -2089 -2338 -2455 -2591  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - 1267 3054 3106  Other Equity, Total 94899 68217 8626 -10759","Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 64506 64506 64506 64506  Additional Paid-In Capital 73560 70741 70741 70741  Retained Earnings (Accumulated Deficit) 394877 366306 341216 372698  Treasury Stock - Common -2089 -2338 -2455 -2591  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - 1267 3054 3106  Other Equity, Total 94899 68217 8626 -10759","Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 64506 64506 64506 64506  Additional Paid-In Capital 73560 70741 70741 70741  Retained Earnings (Accumulated Deficit) 394877 366306 341216 372698  Treasury Stock - Common -2089 -2338 -2455 -2591  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - 1267 3054 3106  Other Equity, Total 94899 68217 8626 -10759","Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 64506 64506 64506 64506  Additional Paid-In Capital 73560 70741 70741 70741  Retained Earnings (Accumulated Deficit) 394877 366306 341216 372698  Treasury Stock - Common -2089 -2338 -2455 -2591  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - 1267 3054 3106  Other Equity, Total 94899 68217 8626 -10759"
"Redeemable Preferred Stock, Total",-,-,-,-
"Preferred Stock - Non Redeemable, Net",-,-,-,-
"Common Stock, Total",64506,64506,64506,64506
Additional Paid-In Capital,73560,70741,70741,70741
Retained Earnings (Accumulated Deficit),394877,366306,341216,372698
Treasury Stock - Common,-2089,-2338,-2455,-2591
ESOP Debt Guarantee,-,-,-,-
Unrealized Gain (Loss),-,1267,3054,3106
"Other Equity, Total",94899,68217,8626,-10759
Total Liabilities & Shareholders' Equity,1307661,1179360,1204229,1218795
Total Common Shares Outstanding,399.55,399.49,399.47,399.44
Total Preferred Shares Outstanding,-,-,-,-
