Period Ending:,202230/09,202130/09,202030/09,201930/09
Total Current Assets,4874,3858,1851.43,1357.64
"Cash and Short Term Investments 4552 3710 1706.53 1220.21  Cash - - - -  Cash & Equivalents 4552 3710 1706.53 1220.21  Short Term Investments - - - -  Total Receivables, Net 148 69 60.66 69.84  Accounts Receivables - Trade, Net 148 69 60.66 69.84  Total Inventory 35 0.25 6.62 0.45  Prepaid Expenses 71 30 43.64 64.43  Other Current Assets, Total 68 49 33.98 2.71","Cash and Short Term Investments 4552 3710 1706.53 1220.21  Cash - - - -  Cash & Equivalents 4552 3710 1706.53 1220.21  Short Term Investments - - - -  Total Receivables, Net 148 69 60.66 69.84  Accounts Receivables - Trade, Net 148 69 60.66 69.84  Total Inventory 35 0.25 6.62 0.45  Prepaid Expenses 71 30 43.64 64.43  Other Current Assets, Total 68 49 33.98 2.71","Cash and Short Term Investments 4552 3710 1706.53 1220.21  Cash - - - -  Cash & Equivalents 4552 3710 1706.53 1220.21  Short Term Investments - - - -  Total Receivables, Net 148 69 60.66 69.84  Accounts Receivables - Trade, Net 148 69 60.66 69.84  Total Inventory 35 0.25 6.62 0.45  Prepaid Expenses 71 30 43.64 64.43  Other Current Assets, Total 68 49 33.98 2.71","Cash and Short Term Investments 4552 3710 1706.53 1220.21  Cash - - - -  Cash & Equivalents 4552 3710 1706.53 1220.21  Short Term Investments - - - -  Total Receivables, Net 148 69 60.66 69.84  Accounts Receivables - Trade, Net 148 69 60.66 69.84  Total Inventory 35 0.25 6.62 0.45  Prepaid Expenses 71 30 43.64 64.43  Other Current Assets, Total 68 49 33.98 2.71","Cash and Short Term Investments 4552 3710 1706.53 1220.21  Cash - - - -  Cash & Equivalents 4552 3710 1706.53 1220.21  Short Term Investments - - - -  Total Receivables, Net 148 69 60.66 69.84  Accounts Receivables - Trade, Net 148 69 60.66 69.84  Total Inventory 35 0.25 6.62 0.45  Prepaid Expenses 71 30 43.64 64.43  Other Current Assets, Total 68 49 33.98 2.71"
Cash and Short Term Investments,4552,3710,1706.53,1220.21
Cash,-,-,-,-
Cash & Equivalents,4552,3710,1706.53,1220.21
Short Term Investments,-,-,-,-
"Total Receivables, Net",148,69,60.66,69.84
"Accounts Receivables - Trade, Net",148,69,60.66,69.84
Total Inventory,35,0.25,6.62,0.45
Prepaid Expenses,71,30,43.64,64.43
"Other Current Assets, Total",68,49,33.98,2.71
Total Assets,6506,4395,2303,1842.81
