Period Ending:,202130/09,202030/09,201930/09,Unnamed: 4
Total Current Assets,9407.5,9153.84,9122.4,-
"Cash and Short Term Investments 3349.71 2557.3 2071.25 -  Cash - - - -  Cash & Equivalents 3349.71 2557.3 2071.25 -  Short Term Investments - - - -  Total Receivables, Net 4570.29 4918.18 5519.33 -  Accounts Receivables - Trade, Net 3727.45 4459.7 4911.47 -  Total Inventory 1423.26 1643.82 1411.59 -  Prepaid Expenses 61.7 32.38 116.88 -  Other Current Assets, Total 2.54 2.16 3.35 -","Cash and Short Term Investments 3349.71 2557.3 2071.25 -  Cash - - - -  Cash & Equivalents 3349.71 2557.3 2071.25 -  Short Term Investments - - - -  Total Receivables, Net 4570.29 4918.18 5519.33 -  Accounts Receivables - Trade, Net 3727.45 4459.7 4911.47 -  Total Inventory 1423.26 1643.82 1411.59 -  Prepaid Expenses 61.7 32.38 116.88 -  Other Current Assets, Total 2.54 2.16 3.35 -","Cash and Short Term Investments 3349.71 2557.3 2071.25 -  Cash - - - -  Cash & Equivalents 3349.71 2557.3 2071.25 -  Short Term Investments - - - -  Total Receivables, Net 4570.29 4918.18 5519.33 -  Accounts Receivables - Trade, Net 3727.45 4459.7 4911.47 -  Total Inventory 1423.26 1643.82 1411.59 -  Prepaid Expenses 61.7 32.38 116.88 -  Other Current Assets, Total 2.54 2.16 3.35 -","Cash and Short Term Investments 3349.71 2557.3 2071.25 -  Cash - - - -  Cash & Equivalents 3349.71 2557.3 2071.25 -  Short Term Investments - - - -  Total Receivables, Net 4570.29 4918.18 5519.33 -  Accounts Receivables - Trade, Net 3727.45 4459.7 4911.47 -  Total Inventory 1423.26 1643.82 1411.59 -  Prepaid Expenses 61.7 32.38 116.88 -  Other Current Assets, Total 2.54 2.16 3.35 -","Cash and Short Term Investments 3349.71 2557.3 2071.25 -  Cash - - - -  Cash & Equivalents 3349.71 2557.3 2071.25 -  Short Term Investments - - - -  Total Receivables, Net 4570.29 4918.18 5519.33 -  Accounts Receivables - Trade, Net 3727.45 4459.7 4911.47 -  Total Inventory 1423.26 1643.82 1411.59 -  Prepaid Expenses 61.7 32.38 116.88 -  Other Current Assets, Total 2.54 2.16 3.35 -"
Cash and Short Term Investments,3349.71,2557.3,2071.25,-
Cash,-,-,-,-
Cash & Equivalents,3349.71,2557.3,2071.25,-
Short Term Investments,-,-,-,-
"Total Receivables, Net",4570.29,4918.18,5519.33,-
"Accounts Receivables - Trade, Net",3727.45,4459.7,4911.47,-
Total Inventory,1423.26,1643.82,1411.59,-
Prepaid Expenses,61.7,32.38,116.88,-
"Other Current Assets, Total",2.54,2.16,3.35,-
Total Assets,12532.56,12339.22,12457.31,-
"Property/Plant/Equipment, Total - Net 2383.84 2467.2 2600.42 -  Property/Plant/Equipment, Total - Gross 6012.65 6001.4 6096.44 -  Accumulated Depreciation, Total -3628.81 -3534.2 -3496.02 -  Goodwill, Net - - - -  Intangibles, Net 25.45 24.59 26.16 -  Long Term Investments 76.59 68.8 61.55 -  Note Receivable - Long Term 166.13 177.17 188.79 -  Other Long Term Assets, Total 473.05 447.62 458 -  Other Assets, Total - - - -","Property/Plant/Equipment, Total - Net 2383.84 2467.2 2600.42 -  Property/Plant/Equipment, Total - Gross 6012.65 6001.4 6096.44 -  Accumulated Depreciation, Total -3628.81 -3534.2 -3496.02 -  Goodwill, Net - - - -  Intangibles, Net 25.45 24.59 26.16 -  Long Term Investments 76.59 68.8 61.55 -  Note Receivable - Long Term 166.13 177.17 188.79 -  Other Long Term Assets, Total 473.05 447.62 458 -  Other Assets, Total - - - -","Property/Plant/Equipment, Total - Net 2383.84 2467.2 2600.42 -  Property/Plant/Equipment, Total - Gross 6012.65 6001.4 6096.44 -  Accumulated Depreciation, Total -3628.81 -3534.2 -3496.02 -  Goodwill, Net - - - -  Intangibles, Net 25.45 24.59 26.16 -  Long Term Investments 76.59 68.8 61.55 -  Note Receivable - Long Term 166.13 177.17 188.79 -  Other Long Term Assets, Total 473.05 447.62 458 -  Other Assets, Total - - - -","Property/Plant/Equipment, Total - Net 2383.84 2467.2 2600.42 -  Property/Plant/Equipment, Total - Gross 6012.65 6001.4 6096.44 -  Accumulated Depreciation, Total -3628.81 -3534.2 -3496.02 -  Goodwill, Net - - - -  Intangibles, Net 25.45 24.59 26.16 -  Long Term Investments 76.59 68.8 61.55 -  Note Receivable - Long Term 166.13 177.17 188.79 -  Other Long Term Assets, Total 473.05 447.62 458 -  Other Assets, Total - - - -","Property/Plant/Equipment, Total - Net 2383.84 2467.2 2600.42 -  Property/Plant/Equipment, Total - Gross 6012.65 6001.4 6096.44 -  Accumulated Depreciation, Total -3628.81 -3534.2 -3496.02 -  Goodwill, Net - - - -  Intangibles, Net 25.45 24.59 26.16 -  Long Term Investments 76.59 68.8 61.55 -  Note Receivable - Long Term 166.13 177.17 188.79 -  Other Long Term Assets, Total 473.05 447.62 458 -  Other Assets, Total - - - -"
"Property/Plant/Equipment, Total - Net",2383.84,2467.2,2600.42,-
"Property/Plant/Equipment, Total - Gross",6012.65,6001.4,6096.44,-
"Accumulated Depreciation, Total",-3628.81,-3534.2,-3496.02,-
"Goodwill, Net",-,-,-,-
"Intangibles, Net",25.45,24.59,26.16,-
Long Term Investments,76.59,68.8,61.55,-
Note Receivable - Long Term,166.13,177.17,188.79,-
"Other Long Term Assets, Total",473.05,447.62,458,-
"Other Assets, Total",-,-,-,-
