Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Current Assets,345101,281266,247642,225222
"Cash and Short Term Investments 164289 116969 104975 100419  Cash - - - -  Cash & Equivalents 96135 69112 61045 69005  Short Term Investments 68154 47857 43930 31414  Total Receivables, Net 114396 99788 84269 76834  Accounts Receivables - Trade, Net 114396 99788 84269 68957  Total Inventory 44814 41817 39151 32906  Prepaid Expenses - 10952 10003 10829  Other Current Assets, Total 21602 11740 9244 4234","Cash and Short Term Investments 164289 116969 104975 100419  Cash - - - -  Cash & Equivalents 96135 69112 61045 69005  Short Term Investments 68154 47857 43930 31414  Total Receivables, Net 114396 99788 84269 76834  Accounts Receivables - Trade, Net 114396 99788 84269 68957  Total Inventory 44814 41817 39151 32906  Prepaid Expenses - 10952 10003 10829  Other Current Assets, Total 21602 11740 9244 4234","Cash and Short Term Investments 164289 116969 104975 100419  Cash - - - -  Cash & Equivalents 96135 69112 61045 69005  Short Term Investments 68154 47857 43930 31414  Total Receivables, Net 114396 99788 84269 76834  Accounts Receivables - Trade, Net 114396 99788 84269 68957  Total Inventory 44814 41817 39151 32906  Prepaid Expenses - 10952 10003 10829  Other Current Assets, Total 21602 11740 9244 4234","Cash and Short Term Investments 164289 116969 104975 100419  Cash - - - -  Cash & Equivalents 96135 69112 61045 69005  Short Term Investments 68154 47857 43930 31414  Total Receivables, Net 114396 99788 84269 76834  Accounts Receivables - Trade, Net 114396 99788 84269 68957  Total Inventory 44814 41817 39151 32906  Prepaid Expenses - 10952 10003 10829  Other Current Assets, Total 21602 11740 9244 4234","Cash and Short Term Investments 164289 116969 104975 100419  Cash - - - -  Cash & Equivalents 96135 69112 61045 69005  Short Term Investments 68154 47857 43930 31414  Total Receivables, Net 114396 99788 84269 76834  Accounts Receivables - Trade, Net 114396 99788 84269 68957  Total Inventory 44814 41817 39151 32906  Prepaid Expenses - 10952 10003 10829  Other Current Assets, Total 21602 11740 9244 4234"
Cash and Short Term Investments,164289,116969,104975,100419
Cash,-,-,-,-
Cash & Equivalents,96135,69112,61045,69005
Short Term Investments,68154,47857,43930,31414
"Total Receivables, Net",114396,99788,84269,76834
"Accounts Receivables - Trade, Net",114396,99788,84269,68957
Total Inventory,44814,41817,39151,32906
Prepaid Expenses,-,10952,10003,10829
