Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Current Assets,-,96672,105142,114734
"Cash and Short Term Investments - 32602 30756 33407  Cash - - - -  Cash & Equivalents - 32035 29293 31736  Short Term Investments - 567 1463 1671  Total Receivables, Net - 618 365 591  Accounts Receivables - Trade, Net - 618 365 591  Total Inventory - 57283 68185 76209  Prepaid Expenses - 1325 1539 2147  Other Current Assets, Total - 4844 4297 2380","Cash and Short Term Investments - 32602 30756 33407  Cash - - - -  Cash & Equivalents - 32035 29293 31736  Short Term Investments - 567 1463 1671  Total Receivables, Net - 618 365 591  Accounts Receivables - Trade, Net - 618 365 591  Total Inventory - 57283 68185 76209  Prepaid Expenses - 1325 1539 2147  Other Current Assets, Total - 4844 4297 2380","Cash and Short Term Investments - 32602 30756 33407  Cash - - - -  Cash & Equivalents - 32035 29293 31736  Short Term Investments - 567 1463 1671  Total Receivables, Net - 618 365 591  Accounts Receivables - Trade, Net - 618 365 591  Total Inventory - 57283 68185 76209  Prepaid Expenses - 1325 1539 2147  Other Current Assets, Total - 4844 4297 2380","Cash and Short Term Investments - 32602 30756 33407  Cash - - - -  Cash & Equivalents - 32035 29293 31736  Short Term Investments - 567 1463 1671  Total Receivables, Net - 618 365 591  Accounts Receivables - Trade, Net - 618 365 591  Total Inventory - 57283 68185 76209  Prepaid Expenses - 1325 1539 2147  Other Current Assets, Total - 4844 4297 2380","Cash and Short Term Investments - 32602 30756 33407  Cash - - - -  Cash & Equivalents - 32035 29293 31736  Short Term Investments - 567 1463 1671  Total Receivables, Net - 618 365 591  Accounts Receivables - Trade, Net - 618 365 591  Total Inventory - 57283 68185 76209  Prepaid Expenses - 1325 1539 2147  Other Current Assets, Total - 4844 4297 2380"
Cash and Short Term Investments,-,32602,30756,33407
Cash,-,-,-,-
Cash & Equivalents,-,32035,29293,31736
Short Term Investments,-,567,1463,1671
"Total Receivables, Net",-,618,365,591
"Accounts Receivables - Trade, Net",-,618,365,591
Total Inventory,-,57283,68185,76209
Prepaid Expenses,-,1325,1539,2147
"Other Current Assets, Total",-,4844,4297,2380
Total Assets,-,127905,136030,143897
