Period Ending:,202231/12,202131/12,202031/12,Unnamed: 4
Total Current Assets,4363,2977.18,2899.23,-
"Cash and Short Term Investments 1765 1408.4 1333.61 -  Cash - - - -  Cash & Equivalents 1765 1408.4 1333.61 -  Short Term Investments - - - -  Total Receivables, Net 188 90.56 83.35 -  Accounts Receivables - Trade, Net 188 90.56 83.35 -  Total Inventory 1768 1073.63 1134.99 -  Prepaid Expenses - 258.63 177.44 -  Other Current Assets, Total 642 145.97 169.84 -","Cash and Short Term Investments 1765 1408.4 1333.61 -  Cash - - - -  Cash & Equivalents 1765 1408.4 1333.61 -  Short Term Investments - - - -  Total Receivables, Net 188 90.56 83.35 -  Accounts Receivables - Trade, Net 188 90.56 83.35 -  Total Inventory 1768 1073.63 1134.99 -  Prepaid Expenses - 258.63 177.44 -  Other Current Assets, Total 642 145.97 169.84 -","Cash and Short Term Investments 1765 1408.4 1333.61 -  Cash - - - -  Cash & Equivalents 1765 1408.4 1333.61 -  Short Term Investments - - - -  Total Receivables, Net 188 90.56 83.35 -  Accounts Receivables - Trade, Net 188 90.56 83.35 -  Total Inventory 1768 1073.63 1134.99 -  Prepaid Expenses - 258.63 177.44 -  Other Current Assets, Total 642 145.97 169.84 -","Cash and Short Term Investments 1765 1408.4 1333.61 -  Cash - - - -  Cash & Equivalents 1765 1408.4 1333.61 -  Short Term Investments - - - -  Total Receivables, Net 188 90.56 83.35 -  Accounts Receivables - Trade, Net 188 90.56 83.35 -  Total Inventory 1768 1073.63 1134.99 -  Prepaid Expenses - 258.63 177.44 -  Other Current Assets, Total 642 145.97 169.84 -","Cash and Short Term Investments 1765 1408.4 1333.61 -  Cash - - - -  Cash & Equivalents 1765 1408.4 1333.61 -  Short Term Investments - - - -  Total Receivables, Net 188 90.56 83.35 -  Accounts Receivables - Trade, Net 188 90.56 83.35 -  Total Inventory 1768 1073.63 1134.99 -  Prepaid Expenses - 258.63 177.44 -  Other Current Assets, Total 642 145.97 169.84 -"
Cash and Short Term Investments,1765,1408.4,1333.61,-
Cash,-,-,-,-
Cash & Equivalents,1765,1408.4,1333.61,-
Short Term Investments,-,-,-,-
"Total Receivables, Net",188,90.56,83.35,-
"Accounts Receivables - Trade, Net",188,90.56,83.35,-
Total Inventory,1768,1073.63,1134.99,-
Prepaid Expenses,-,258.63,177.44,-
"Other Current Assets, Total",642,145.97,169.84,-
Total Assets,7517,5465.24,4620.9,-
