Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Current Assets,116057,103872,81528,68096
"Cash and Short Term Investments 95692 82380 70770 56729  Cash - - - -  Cash & Equivalents 92692 79380 67770 50729  Short Term Investments 3000 3000 3000 6000  Total Receivables, Net 16261 16979 8788 8459  Accounts Receivables - Trade, Net 16261 16979 2192 2856  Total Inventory 1843 1206 1028 1052  Prepaid Expenses 163 167 161 171  Other Current Assets, Total 2098 3140 781 1685","Cash and Short Term Investments 95692 82380 70770 56729  Cash - - - -  Cash & Equivalents 92692 79380 67770 50729  Short Term Investments 3000 3000 3000 6000  Total Receivables, Net 16261 16979 8788 8459  Accounts Receivables - Trade, Net 16261 16979 2192 2856  Total Inventory 1843 1206 1028 1052  Prepaid Expenses 163 167 161 171  Other Current Assets, Total 2098 3140 781 1685","Cash and Short Term Investments 95692 82380 70770 56729  Cash - - - -  Cash & Equivalents 92692 79380 67770 50729  Short Term Investments 3000 3000 3000 6000  Total Receivables, Net 16261 16979 8788 8459  Accounts Receivables - Trade, Net 16261 16979 2192 2856  Total Inventory 1843 1206 1028 1052  Prepaid Expenses 163 167 161 171  Other Current Assets, Total 2098 3140 781 1685","Cash and Short Term Investments 95692 82380 70770 56729  Cash - - - -  Cash & Equivalents 92692 79380 67770 50729  Short Term Investments 3000 3000 3000 6000  Total Receivables, Net 16261 16979 8788 8459  Accounts Receivables - Trade, Net 16261 16979 2192 2856  Total Inventory 1843 1206 1028 1052  Prepaid Expenses 163 167 161 171  Other Current Assets, Total 2098 3140 781 1685","Cash and Short Term Investments 95692 82380 70770 56729  Cash - - - -  Cash & Equivalents 92692 79380 67770 50729  Short Term Investments 3000 3000 3000 6000  Total Receivables, Net 16261 16979 8788 8459  Accounts Receivables - Trade, Net 16261 16979 2192 2856  Total Inventory 1843 1206 1028 1052  Prepaid Expenses 163 167 161 171  Other Current Assets, Total 2098 3140 781 1685"
Cash and Short Term Investments,95692,82380,70770,56729
Cash,-,-,-,-
Cash & Equivalents,92692,79380,67770,50729
Short Term Investments,3000,3000,3000,6000
"Total Receivables, Net",16261,16979,8788,8459
"Accounts Receivables - Trade, Net",16261,16979,2192,2856
Total Inventory,1843,1206,1028,1052
Prepaid Expenses,163,167,161,171
"Other Current Assets, Total",2098,3140,781,1685
Total Assets,242352,229354,210699,219133
"Property/Plant/Equipment, Total - Net 100604 100379 103302 106747  Property/Plant/Equipment, Total - Gross - - - -  Accumulated Depreciation, Total - - - -  Goodwill, Net 7826 8366 8906 29449  Intangibles, Net 5719 6209 6282 6671  Long Term Investments 8562 7197 5414 3402  Note Receivable - Long Term - 30 44 48  Other Long Term Assets, Total 2 2 5223 4720  Other Assets, Total -5738 -6304 - -","Property/Plant/Equipment, Total - Net 100604 100379 103302 106747  Property/Plant/Equipment, Total - Gross - - - -  Accumulated Depreciation, Total - - - -  Goodwill, Net 7826 8366 8906 29449  Intangibles, Net 5719 6209 6282 6671  Long Term Investments 8562 7197 5414 3402  Note Receivable - Long Term - 30 44 48  Other Long Term Assets, Total 2 2 5223 4720  Other Assets, Total -5738 -6304 - -","Property/Plant/Equipment, Total - Net 100604 100379 103302 106747  Property/Plant/Equipment, Total - Gross - - - -  Accumulated Depreciation, Total - - - -  Goodwill, Net 7826 8366 8906 29449  Intangibles, Net 5719 6209 6282 6671  Long Term Investments 8562 7197 5414 3402  Note Receivable - Long Term - 30 44 48  Other Long Term Assets, Total 2 2 5223 4720  Other Assets, Total -5738 -6304 - -","Property/Plant/Equipment, Total - Net 100604 100379 103302 106747  Property/Plant/Equipment, Total - Gross - - - -  Accumulated Depreciation, Total - - - -  Goodwill, Net 7826 8366 8906 29449  Intangibles, Net 5719 6209 6282 6671  Long Term Investments 8562 7197 5414 3402  Note Receivable - Long Term - 30 44 48  Other Long Term Assets, Total 2 2 5223 4720  Other Assets, Total -5738 -6304 - -","Property/Plant/Equipment, Total - Net 100604 100379 103302 106747  Property/Plant/Equipment, Total - Gross - - - -  Accumulated Depreciation, Total - - - -  Goodwill, Net 7826 8366 8906 29449  Intangibles, Net 5719 6209 6282 6671  Long Term Investments 8562 7197 5414 3402  Note Receivable - Long Term - 30 44 48  Other Long Term Assets, Total 2 2 5223 4720  Other Assets, Total -5738 -6304 - -"
"Property/Plant/Equipment, Total - Net",100604,100379,103302,106747
"Property/Plant/Equipment, Total - Gross",-,-,-,-
"Accumulated Depreciation, Total",-,-,-,-
"Goodwill, Net",7826,8366,8906,29449
"Intangibles, Net",5719,6209,6282,6671
Long Term Investments,8562,7197,5414,3402
Note Receivable - Long Term,-,30,44,48
"Other Long Term Assets, Total",2,2,5223,4720
"Other Assets, Total",-5738,-6304,-,-
Total Current Liabilities,39273,37884,26922,24497
"Accounts Payable 23450 21911 707 376  Payable/Accrued - - - -  Accrued Expenses 889 782 767 713  Notes Payable/Short Term Debt 340 186 - 300  Current Port. of LT Debt/Capital Leases 254 256 227 298  Other Current liabilities, Total 14340 14749 25221 22810","Accounts Payable 23450 21911 707 376  Payable/Accrued - - - -  Accrued Expenses 889 782 767 713  Notes Payable/Short Term Debt 340 186 - 300  Current Port. of LT Debt/Capital Leases 254 256 227 298  Other Current liabilities, Total 14340 14749 25221 22810","Accounts Payable 23450 21911 707 376  Payable/Accrued - - - -  Accrued Expenses 889 782 767 713  Notes Payable/Short Term Debt 340 186 - 300  Current Port. of LT Debt/Capital Leases 254 256 227 298  Other Current liabilities, Total 14340 14749 25221 22810","Accounts Payable 23450 21911 707 376  Payable/Accrued - - - -  Accrued Expenses 889 782 767 713  Notes Payable/Short Term Debt 340 186 - 300  Current Port. of LT Debt/Capital Leases 254 256 227 298  Other Current liabilities, Total 14340 14749 25221 22810","Accounts Payable 23450 21911 707 376  Payable/Accrued - - - -  Accrued Expenses 889 782 767 713  Notes Payable/Short Term Debt 340 186 - 300  Current Port. of LT Debt/Capital Leases 254 256 227 298  Other Current liabilities, Total 14340 14749 25221 22810"
Accounts Payable,23450,21911,707,376
Payable/Accrued,-,-,-,-
Accrued Expenses,889,782,767,713
Notes Payable/Short Term Debt,340,186,-,300
Current Port. of LT Debt/Capital Leases,254,256,227,298
"Other Current liabilities, Total",14340,14749,25221,22810
Total Liabilities,48199,46880,38872,36699
"Total Long Term Debt 1825 2384 2946 2461  Long Term Debt 1794 2356 2911 2420  Capital Lease Obligations 31 28 35 41  Deferred Income Tax - - 747 1655  Minority Interest 2699 2136 1697 1546  Other Liabilities, Total 4062 1528 6560 6540","Total Long Term Debt 1825 2384 2946 2461  Long Term Debt 1794 2356 2911 2420  Capital Lease Obligations 31 28 35 41  Deferred Income Tax - - 747 1655  Minority Interest 2699 2136 1697 1546  Other Liabilities, Total 4062 1528 6560 6540","Total Long Term Debt 1825 2384 2946 2461  Long Term Debt 1794 2356 2911 2420  Capital Lease Obligations 31 28 35 41  Deferred Income Tax - - 747 1655  Minority Interest 2699 2136 1697 1546  Other Liabilities, Total 4062 1528 6560 6540","Total Long Term Debt 1825 2384 2946 2461  Long Term Debt 1794 2356 2911 2420  Capital Lease Obligations 31 28 35 41  Deferred Income Tax - - 747 1655  Minority Interest 2699 2136 1697 1546  Other Liabilities, Total 4062 1528 6560 6540","Total Long Term Debt 1825 2384 2946 2461  Long Term Debt 1794 2356 2911 2420  Capital Lease Obligations 31 28 35 41  Deferred Income Tax - - 747 1655  Minority Interest 2699 2136 1697 1546  Other Liabilities, Total 4062 1528 6560 6540"
Total Long Term Debt,1825,2384,2946,2461
Long Term Debt,1794,2356,2911,2420
Capital Lease Obligations,31,28,35,41
Deferred Income Tax,-,-,747,1655
Minority Interest,2699,2136,1697,1546
"Other Liabilities, Total",4062,1528,6560,6540
Total Equity,194153,182474,171827,182434
"Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 18881 18881 18881 18881  Additional Paid-In Capital 8992 18915 18911 18911  Retained Earnings (Accumulated Deficit) 180137 211843 196747 207148  Treasury Stock - Common -12034 -65039 -57435 -56861  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - -4706 -5258 -5631  Other Equity, Total -1823 -2126 -19 -14","Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 18881 18881 18881 18881  Additional Paid-In Capital 8992 18915 18911 18911  Retained Earnings (Accumulated Deficit) 180137 211843 196747 207148  Treasury Stock - Common -12034 -65039 -57435 -56861  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - -4706 -5258 -5631  Other Equity, Total -1823 -2126 -19 -14","Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 18881 18881 18881 18881  Additional Paid-In Capital 8992 18915 18911 18911  Retained Earnings (Accumulated Deficit) 180137 211843 196747 207148  Treasury Stock - Common -12034 -65039 -57435 -56861  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - -4706 -5258 -5631  Other Equity, Total -1823 -2126 -19 -14","Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 18881 18881 18881 18881  Additional Paid-In Capital 8992 18915 18911 18911  Retained Earnings (Accumulated Deficit) 180137 211843 196747 207148  Treasury Stock - Common -12034 -65039 -57435 -56861  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - -4706 -5258 -5631  Other Equity, Total -1823 -2126 -19 -14","Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 18881 18881 18881 18881  Additional Paid-In Capital 8992 18915 18911 18911  Retained Earnings (Accumulated Deficit) 180137 211843 196747 207148  Treasury Stock - Common -12034 -65039 -57435 -56861  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - -4706 -5258 -5631  Other Equity, Total -1823 -2126 -19 -14"
"Redeemable Preferred Stock, Total",-,-,-,-
"Preferred Stock - Non Redeemable, Net",-,-,-,-
"Common Stock, Total",18881,18881,18881,18881
Additional Paid-In Capital,8992,18915,18911,18911
Retained Earnings (Accumulated Deficit),180137,211843,196747,207148
Treasury Stock - Common,-12034,-65039,-57435,-56861
ESOP Debt Guarantee,-,-,-,-
Unrealized Gain (Loss),-,-4706,-5258,-5631
"Other Equity, Total",-1823,-2126,-19,-14
Total Liabilities & Shareholders' Equity,242352,229354,210699,219133
Total Common Shares Outstanding,244.59,245.2,249.31,249.53
Total Preferred Shares Outstanding,-,-,-,-
