Period Ending:,202231/12,202131/12,202031/12,201931/12
Total Current Assets,51781,44342,41476,29881.82
"Cash and Short Term Investments 9950 13238 12611 7160.06  Cash - - - -  Cash & Equivalents 9950 12198 11571 7153.98  Short Term Investments - 1040 1040 6.08  Total Receivables, Net 1208 -170 -164 76.53  Accounts Receivables - Trade, Net 1208 -170 -164 76.53  Total Inventory 38865 29535 26929 19903.31  Prepaid Expenses - 313 860 1769.19  Other Current Assets, Total 1758 1426 1240 972.73","Cash and Short Term Investments 9950 13238 12611 7160.06  Cash - - - -  Cash & Equivalents 9950 12198 11571 7153.98  Short Term Investments - 1040 1040 6.08  Total Receivables, Net 1208 -170 -164 76.53  Accounts Receivables - Trade, Net 1208 -170 -164 76.53  Total Inventory 38865 29535 26929 19903.31  Prepaid Expenses - 313 860 1769.19  Other Current Assets, Total 1758 1426 1240 972.73","Cash and Short Term Investments 9950 13238 12611 7160.06  Cash - - - -  Cash & Equivalents 9950 12198 11571 7153.98  Short Term Investments - 1040 1040 6.08  Total Receivables, Net 1208 -170 -164 76.53  Accounts Receivables - Trade, Net 1208 -170 -164 76.53  Total Inventory 38865 29535 26929 19903.31  Prepaid Expenses - 313 860 1769.19  Other Current Assets, Total 1758 1426 1240 972.73","Cash and Short Term Investments 9950 13238 12611 7160.06  Cash - - - -  Cash & Equivalents 9950 12198 11571 7153.98  Short Term Investments - 1040 1040 6.08  Total Receivables, Net 1208 -170 -164 76.53  Accounts Receivables - Trade, Net 1208 -170 -164 76.53  Total Inventory 38865 29535 26929 19903.31  Prepaid Expenses - 313 860 1769.19  Other Current Assets, Total 1758 1426 1240 972.73","Cash and Short Term Investments 9950 13238 12611 7160.06  Cash - - - -  Cash & Equivalents 9950 12198 11571 7153.98  Short Term Investments - 1040 1040 6.08  Total Receivables, Net 1208 -170 -164 76.53  Accounts Receivables - Trade, Net 1208 -170 -164 76.53  Total Inventory 38865 29535 26929 19903.31  Prepaid Expenses - 313 860 1769.19  Other Current Assets, Total 1758 1426 1240 972.73"
Cash and Short Term Investments,9950,13238,12611,7160.06
Cash,-,-,-,-
Cash & Equivalents,9950,12198,11571,7153.98
Short Term Investments,-,1040,1040,6.08
"Total Receivables, Net",1208,-170,-164,76.53
"Accounts Receivables - Trade, Net",1208,-170,-164,76.53
Total Inventory,38865,29535,26929,19903.31
Prepaid Expenses,-,313,860,1769.19
"Other Current Assets, Total",1758,1426,1240,972.73
Total Assets,56005,48753,45961,33555.91
"Property/Plant/Equipment, Total - Net 1040 1045 1075 1058.21  Property/Plant/Equipment, Total - Gross - - - -  Accumulated Depreciation, Total - - - -  Goodwill, Net 171 215 263 217.9  Intangibles, Net 686 699 705 697.61  Long Term Investments 1586 - - -  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 2 2452 2442 1700.37  Other Assets, Total 40154 - - -","Property/Plant/Equipment, Total - Net 1040 1045 1075 1058.21  Property/Plant/Equipment, Total - Gross - - - -  Accumulated Depreciation, Total - - - -  Goodwill, Net 171 215 263 217.9  Intangibles, Net 686 699 705 697.61  Long Term Investments 1586 - - -  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 2 2452 2442 1700.37  Other Assets, Total 40154 - - -","Property/Plant/Equipment, Total - Net 1040 1045 1075 1058.21  Property/Plant/Equipment, Total - Gross - - - -  Accumulated Depreciation, Total - - - -  Goodwill, Net 171 215 263 217.9  Intangibles, Net 686 699 705 697.61  Long Term Investments 1586 - - -  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 2 2452 2442 1700.37  Other Assets, Total 40154 - - -","Property/Plant/Equipment, Total - Net 1040 1045 1075 1058.21  Property/Plant/Equipment, Total - Gross - - - -  Accumulated Depreciation, Total - - - -  Goodwill, Net 171 215 263 217.9  Intangibles, Net 686 699 705 697.61  Long Term Investments 1586 - - -  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 2 2452 2442 1700.37  Other Assets, Total 40154 - - -","Property/Plant/Equipment, Total - Net 1040 1045 1075 1058.21  Property/Plant/Equipment, Total - Gross - - - -  Accumulated Depreciation, Total - - - -  Goodwill, Net 171 215 263 217.9  Intangibles, Net 686 699 705 697.61  Long Term Investments 1586 - - -  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 2 2452 2442 1700.37  Other Assets, Total 40154 - - -"
"Property/Plant/Equipment, Total - Net",1040,1045,1075,1058.21
"Property/Plant/Equipment, Total - Gross",-,-,-,-
"Accumulated Depreciation, Total",-,-,-,-
"Goodwill, Net",171,215,263,217.9
"Intangibles, Net",686,699,705,697.61
Long Term Investments,1586,-,-,-
Note Receivable - Long Term,-,-,-,-
"Other Long Term Assets, Total",2,2452,2442,1700.37
"Other Assets, Total",40154,-,-,-
Total Current Liabilities,17018,17798,13866,11093.32
