Period Ending:,202231/12,202131/12,202031/12,201931/12
Total Current Assets,4122,4222.26,4976.54,2269.18
"Cash and Short Term Investments 1699 1823.8 2772.59 790.15  Cash - - - -  Cash & Equivalents 1699 1823.8 2772.59 790.15  Short Term Investments - - - -  Total Receivables, Net 1720 1728.16 1744.71 1125.87  Accounts Receivables - Trade, Net 1720 1728.16 1744.71 1125.87  Total Inventory - - - -  Prepaid Expenses - 49.16 145.91 96.27  Other Current Assets, Total 703 621.15 313.33 256.9","Cash and Short Term Investments 1699 1823.8 2772.59 790.15  Cash - - - -  Cash & Equivalents 1699 1823.8 2772.59 790.15  Short Term Investments - - - -  Total Receivables, Net 1720 1728.16 1744.71 1125.87  Accounts Receivables - Trade, Net 1720 1728.16 1744.71 1125.87  Total Inventory - - - -  Prepaid Expenses - 49.16 145.91 96.27  Other Current Assets, Total 703 621.15 313.33 256.9","Cash and Short Term Investments 1699 1823.8 2772.59 790.15  Cash - - - -  Cash & Equivalents 1699 1823.8 2772.59 790.15  Short Term Investments - - - -  Total Receivables, Net 1720 1728.16 1744.71 1125.87  Accounts Receivables - Trade, Net 1720 1728.16 1744.71 1125.87  Total Inventory - - - -  Prepaid Expenses - 49.16 145.91 96.27  Other Current Assets, Total 703 621.15 313.33 256.9","Cash and Short Term Investments 1699 1823.8 2772.59 790.15  Cash - - - -  Cash & Equivalents 1699 1823.8 2772.59 790.15  Short Term Investments - - - -  Total Receivables, Net 1720 1728.16 1744.71 1125.87  Accounts Receivables - Trade, Net 1720 1728.16 1744.71 1125.87  Total Inventory - - - -  Prepaid Expenses - 49.16 145.91 96.27  Other Current Assets, Total 703 621.15 313.33 256.9","Cash and Short Term Investments 1699 1823.8 2772.59 790.15  Cash - - - -  Cash & Equivalents 1699 1823.8 2772.59 790.15  Short Term Investments - - - -  Total Receivables, Net 1720 1728.16 1744.71 1125.87  Accounts Receivables - Trade, Net 1720 1728.16 1744.71 1125.87  Total Inventory - - - -  Prepaid Expenses - 49.16 145.91 96.27  Other Current Assets, Total 703 621.15 313.33 256.9"
Cash and Short Term Investments,1699,1823.8,2772.59,790.15
Cash,-,-,-,-
Cash & Equivalents,1699,1823.8,2772.59,790.15
Short Term Investments,-,-,-,-
"Total Receivables, Net",1720,1728.16,1744.71,1125.87
"Accounts Receivables - Trade, Net",1720,1728.16,1744.71,1125.87
Total Inventory,-,-,-,-
Prepaid Expenses,-,49.16,145.91,96.27
"Other Current Assets, Total",703,621.15,313.33,256.9
Total Assets,16891,15259.02,10031.26,7002.93
"Property/Plant/Equipment, Total - Net 2047 1694.81 496.31 292.69  Property/Plant/Equipment, Total - Gross - 2527.24 1142.05 838.06  Accumulated Depreciation, Total - -832.43 -645.74 -545.37  Goodwill, Net 4071 3759.12 767.85 879.82  Intangibles, Net 3024 2366.7 2095.23 2025.92  Long Term Investments 1719 580.78 413 474.54  Note Receivable - Long Term - 48.76 - -  Other Long Term Assets, Total - 2586.6 1282.33 1060.78  Other Assets, Total 891 - - -","Property/Plant/Equipment, Total - Net 2047 1694.81 496.31 292.69  Property/Plant/Equipment, Total - Gross - 2527.24 1142.05 838.06  Accumulated Depreciation, Total - -832.43 -645.74 -545.37  Goodwill, Net 4071 3759.12 767.85 879.82  Intangibles, Net 3024 2366.7 2095.23 2025.92  Long Term Investments 1719 580.78 413 474.54  Note Receivable - Long Term - 48.76 - -  Other Long Term Assets, Total - 2586.6 1282.33 1060.78  Other Assets, Total 891 - - -","Property/Plant/Equipment, Total - Net 2047 1694.81 496.31 292.69  Property/Plant/Equipment, Total - Gross - 2527.24 1142.05 838.06  Accumulated Depreciation, Total - -832.43 -645.74 -545.37  Goodwill, Net 4071 3759.12 767.85 879.82  Intangibles, Net 3024 2366.7 2095.23 2025.92  Long Term Investments 1719 580.78 413 474.54  Note Receivable - Long Term - 48.76 - -  Other Long Term Assets, Total - 2586.6 1282.33 1060.78  Other Assets, Total 891 - - -","Property/Plant/Equipment, Total - Net 2047 1694.81 496.31 292.69  Property/Plant/Equipment, Total - Gross - 2527.24 1142.05 838.06  Accumulated Depreciation, Total - -832.43 -645.74 -545.37  Goodwill, Net 4071 3759.12 767.85 879.82  Intangibles, Net 3024 2366.7 2095.23 2025.92  Long Term Investments 1719 580.78 413 474.54  Note Receivable - Long Term - 48.76 - -  Other Long Term Assets, Total - 2586.6 1282.33 1060.78  Other Assets, Total 891 - - -","Property/Plant/Equipment, Total - Net 2047 1694.81 496.31 292.69  Property/Plant/Equipment, Total - Gross - 2527.24 1142.05 838.06  Accumulated Depreciation, Total - -832.43 -645.74 -545.37  Goodwill, Net 4071 3759.12 767.85 879.82  Intangibles, Net 3024 2366.7 2095.23 2025.92  Long Term Investments 1719 580.78 413 474.54  Note Receivable - Long Term - 48.76 - -  Other Long Term Assets, Total - 2586.6 1282.33 1060.78  Other Assets, Total 891 - - -"
"Property/Plant/Equipment, Total - Net",2047,1694.81,496.31,292.69
"Property/Plant/Equipment, Total - Gross",-,2527.24,1142.05,838.06
"Accumulated Depreciation, Total",-,-832.43,-645.74,-545.37
"Goodwill, Net",4071,3759.12,767.85,879.82
"Intangibles, Net",3024,2366.7,2095.23,2025.92
Long Term Investments,1719,580.78,413,474.54
Note Receivable - Long Term,-,48.76,-,-
"Other Long Term Assets, Total",-,2586.6,1282.33,1060.78
"Other Assets, Total",891,-,-,-
Total Current Liabilities,9324,4578.98,5034.82,2248.18
