Period Ending:,202130/11,202030/11,201930/11,201830/11
Total Current Assets,1588.77,1515.04,1153.3,1469.7
"Cash and Short Term Investments 907.88 825.59 257.87 494.71  Cash - - - -  Cash & Equivalents 907.88 825.59 257.87 494.71  Short Term Investments - - - -  Total Receivables, Net 365.08 357.55 459.02 495.1  Accounts Receivables - Trade, Net 365.08 357.55 459.02 495.1  Total Inventory 236.77 262.88 356.85 421.19  Prepaid Expenses 44.63 27.78 44.39 24.68  Other Current Assets, Total 34.43 41.24 35.17 34.02","Cash and Short Term Investments 907.88 825.59 257.87 494.71  Cash - - - -  Cash & Equivalents 907.88 825.59 257.87 494.71  Short Term Investments - - - -  Total Receivables, Net 365.08 357.55 459.02 495.1  Accounts Receivables - Trade, Net 365.08 357.55 459.02 495.1  Total Inventory 236.77 262.88 356.85 421.19  Prepaid Expenses 44.63 27.78 44.39 24.68  Other Current Assets, Total 34.43 41.24 35.17 34.02","Cash and Short Term Investments 907.88 825.59 257.87 494.71  Cash - - - -  Cash & Equivalents 907.88 825.59 257.87 494.71  Short Term Investments - - - -  Total Receivables, Net 365.08 357.55 459.02 495.1  Accounts Receivables - Trade, Net 365.08 357.55 459.02 495.1  Total Inventory 236.77 262.88 356.85 421.19  Prepaid Expenses 44.63 27.78 44.39 24.68  Other Current Assets, Total 34.43 41.24 35.17 34.02","Cash and Short Term Investments 907.88 825.59 257.87 494.71  Cash - - - -  Cash & Equivalents 907.88 825.59 257.87 494.71  Short Term Investments - - - -  Total Receivables, Net 365.08 357.55 459.02 495.1  Accounts Receivables - Trade, Net 365.08 357.55 459.02 495.1  Total Inventory 236.77 262.88 356.85 421.19  Prepaid Expenses 44.63 27.78 44.39 24.68  Other Current Assets, Total 34.43 41.24 35.17 34.02","Cash and Short Term Investments 907.88 825.59 257.87 494.71  Cash - - - -  Cash & Equivalents 907.88 825.59 257.87 494.71  Short Term Investments - - - -  Total Receivables, Net 365.08 357.55 459.02 495.1  Accounts Receivables - Trade, Net 365.08 357.55 459.02 495.1  Total Inventory 236.77 262.88 356.85 421.19  Prepaid Expenses 44.63 27.78 44.39 24.68  Other Current Assets, Total 34.43 41.24 35.17 34.02"
Cash and Short Term Investments,907.88,825.59,257.87,494.71
Cash,-,-,-,-
Cash & Equivalents,907.88,825.59,257.87,494.71
Short Term Investments,-,-,-,-
"Total Receivables, Net",365.08,357.55,459.02,495.1
"Accounts Receivables - Trade, Net",365.08,357.55,459.02,495.1
Total Inventory,236.77,262.88,356.85,421.19
Prepaid Expenses,44.63,27.78,44.39,24.68
"Other Current Assets, Total",34.43,41.24,35.17,34.02
Total Assets,2053.24,1960.15,1619.9,1952.85
