Period Ending:,202231/12,202131/12,202031/12,201931/12
Total Current Assets,8318,14268.79,12955.12,8421.05
"Cash and Short Term Investments 6683 12619.86 11520.98 7159.69  Cash - - - -  Cash & Equivalents 6683 12619.86 11520.98 7159.69  Short Term Investments - - - -  Total Receivables, Net 744 729.25 824.74 347.29  Accounts Receivables - Trade, Net 744 729.25 483.48 347.29  Total Inventory 650 407.49 391.38 692.65  Prepaid Expenses 191 175.12 173.81 179.2  Other Current Assets, Total 49 337.08 44.2 42.23","Cash and Short Term Investments 6683 12619.86 11520.98 7159.69  Cash - - - -  Cash & Equivalents 6683 12619.86 11520.98 7159.69  Short Term Investments - - - -  Total Receivables, Net 744 729.25 824.74 347.29  Accounts Receivables - Trade, Net 744 729.25 483.48 347.29  Total Inventory 650 407.49 391.38 692.65  Prepaid Expenses 191 175.12 173.81 179.2  Other Current Assets, Total 49 337.08 44.2 42.23","Cash and Short Term Investments 6683 12619.86 11520.98 7159.69  Cash - - - -  Cash & Equivalents 6683 12619.86 11520.98 7159.69  Short Term Investments - - - -  Total Receivables, Net 744 729.25 824.74 347.29  Accounts Receivables - Trade, Net 744 729.25 483.48 347.29  Total Inventory 650 407.49 391.38 692.65  Prepaid Expenses 191 175.12 173.81 179.2  Other Current Assets, Total 49 337.08 44.2 42.23","Cash and Short Term Investments 6683 12619.86 11520.98 7159.69  Cash - - - -  Cash & Equivalents 6683 12619.86 11520.98 7159.69  Short Term Investments - - - -  Total Receivables, Net 744 729.25 824.74 347.29  Accounts Receivables - Trade, Net 744 729.25 483.48 347.29  Total Inventory 650 407.49 391.38 692.65  Prepaid Expenses 191 175.12 173.81 179.2  Other Current Assets, Total 49 337.08 44.2 42.23","Cash and Short Term Investments 6683 12619.86 11520.98 7159.69  Cash - - - -  Cash & Equivalents 6683 12619.86 11520.98 7159.69  Short Term Investments - - - -  Total Receivables, Net 744 729.25 824.74 347.29  Accounts Receivables - Trade, Net 744 729.25 483.48 347.29  Total Inventory 650 407.49 391.38 692.65  Prepaid Expenses 191 175.12 173.81 179.2  Other Current Assets, Total 49 337.08 44.2 42.23"
Cash and Short Term Investments,6683,12619.86,11520.98,7159.69
Cash,-,-,-,-
Cash & Equivalents,6683,12619.86,11520.98,7159.69
Short Term Investments,-,-,-,-
"Total Receivables, Net",744,729.25,824.74,347.29
"Accounts Receivables - Trade, Net",744,729.25,483.48,347.29
Total Inventory,650,407.49,391.38,692.65
Prepaid Expenses,191,175.12,173.81,179.2
"Other Current Assets, Total",49,337.08,44.2,42.23
Total Assets,21477,26871.15,24495.19,21041.87
