Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Current Assets,11630,10631,9958,10058.06
"Cash and Short Term Investments 2657 2743 4310 3797.22  Cash - - - -  Cash & Equivalents 2657 2743 4310 3797.22  Short Term Investments - - - -  Total Receivables, Net 4690 3888 3760 3827.23  Accounts Receivables - Trade, Net 4690 3888 3760 3788.83  Total Inventory 2792 2486 1874 2263.81  Prepaid Expenses 10 10 10 10.98  Other Current Assets, Total 1481 1504 4 158.82","Cash and Short Term Investments 2657 2743 4310 3797.22  Cash - - - -  Cash & Equivalents 2657 2743 4310 3797.22  Short Term Investments - - - -  Total Receivables, Net 4690 3888 3760 3827.23  Accounts Receivables - Trade, Net 4690 3888 3760 3788.83  Total Inventory 2792 2486 1874 2263.81  Prepaid Expenses 10 10 10 10.98  Other Current Assets, Total 1481 1504 4 158.82","Cash and Short Term Investments 2657 2743 4310 3797.22  Cash - - - -  Cash & Equivalents 2657 2743 4310 3797.22  Short Term Investments - - - -  Total Receivables, Net 4690 3888 3760 3827.23  Accounts Receivables - Trade, Net 4690 3888 3760 3788.83  Total Inventory 2792 2486 1874 2263.81  Prepaid Expenses 10 10 10 10.98  Other Current Assets, Total 1481 1504 4 158.82","Cash and Short Term Investments 2657 2743 4310 3797.22  Cash - - - -  Cash & Equivalents 2657 2743 4310 3797.22  Short Term Investments - - - -  Total Receivables, Net 4690 3888 3760 3827.23  Accounts Receivables - Trade, Net 4690 3888 3760 3788.83  Total Inventory 2792 2486 1874 2263.81  Prepaid Expenses 10 10 10 10.98  Other Current Assets, Total 1481 1504 4 158.82","Cash and Short Term Investments 2657 2743 4310 3797.22  Cash - - - -  Cash & Equivalents 2657 2743 4310 3797.22  Short Term Investments - - - -  Total Receivables, Net 4690 3888 3760 3827.23  Accounts Receivables - Trade, Net 4690 3888 3760 3788.83  Total Inventory 2792 2486 1874 2263.81  Prepaid Expenses 10 10 10 10.98  Other Current Assets, Total 1481 1504 4 158.82"
Cash and Short Term Investments,2657,2743,4310,3797.22
Cash,-,-,-,-
Cash & Equivalents,2657,2743,4310,3797.22
Short Term Investments,-,-,-,-
"Total Receivables, Net",4690,3888,3760,3827.23
"Accounts Receivables - Trade, Net",4690,3888,3760,3788.83
Total Inventory,2792,2486,1874,2263.81
Prepaid Expenses,10,10,10,10.98
"Other Current Assets, Total",1481,1504,4,158.82
Total Assets,12826,11523,10856,10992.22
"Property/Plant/Equipment, Total - Net 685 643 648 658.6  Property/Plant/Equipment, Total - Gross - 1138.12 1125.69 1153.39  Accumulated Depreciation, Total - -494.38 -476.8 -494.79  Goodwill, Net - - - -  Intangibles, Net 16 20 21 48.94  Long Term Investments 123 121 123 20.53  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 1 3 2 206.09  Other Assets, Total -46 207 -1778 -","Property/Plant/Equipment, Total - Net 685 643 648 658.6  Property/Plant/Equipment, Total - Gross - 1138.12 1125.69 1153.39  Accumulated Depreciation, Total - -494.38 -476.8 -494.79  Goodwill, Net - - - -  Intangibles, Net 16 20 21 48.94  Long Term Investments 123 121 123 20.53  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 1 3 2 206.09  Other Assets, Total -46 207 -1778 -","Property/Plant/Equipment, Total - Net 685 643 648 658.6  Property/Plant/Equipment, Total - Gross - 1138.12 1125.69 1153.39  Accumulated Depreciation, Total - -494.38 -476.8 -494.79  Goodwill, Net - - - -  Intangibles, Net 16 20 21 48.94  Long Term Investments 123 121 123 20.53  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 1 3 2 206.09  Other Assets, Total -46 207 -1778 -","Property/Plant/Equipment, Total - Net 685 643 648 658.6  Property/Plant/Equipment, Total - Gross - 1138.12 1125.69 1153.39  Accumulated Depreciation, Total - -494.38 -476.8 -494.79  Goodwill, Net - - - -  Intangibles, Net 16 20 21 48.94  Long Term Investments 123 121 123 20.53  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 1 3 2 206.09  Other Assets, Total -46 207 -1778 -","Property/Plant/Equipment, Total - Net 685 643 648 658.6  Property/Plant/Equipment, Total - Gross - 1138.12 1125.69 1153.39  Accumulated Depreciation, Total - -494.38 -476.8 -494.79  Goodwill, Net - - - -  Intangibles, Net 16 20 21 48.94  Long Term Investments 123 121 123 20.53  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 1 3 2 206.09  Other Assets, Total -46 207 -1778 -"
"Property/Plant/Equipment, Total - Net",685,643,648,658.6
"Property/Plant/Equipment, Total - Gross",-,1138.12,1125.69,1153.39
"Accumulated Depreciation, Total",-,-494.38,-476.8,-494.79
"Goodwill, Net",-,-,-,-
"Intangibles, Net",16,20,21,48.94
Long Term Investments,123,121,123,20.53
Note Receivable - Long Term,-,-,-,-
"Other Long Term Assets, Total",1,3,2,206.09
"Other Assets, Total",-46,207,-1778,-
Total Current Liabilities,3117,2477,2225,2620.16
"Accounts Payable 1792 1825 1612 1898.05  Payable/Accrued - - - -  Accrued Expenses 307 243 228 210.81  Notes Payable/Short Term Debt 300 - - -  Current Port. of LT Debt/Capital Leases 11 8 7 7.72  Other Current liabilities, Total 707 401 378 503.58","Accounts Payable 1792 1825 1612 1898.05  Payable/Accrued - - - -  Accrued Expenses 307 243 228 210.81  Notes Payable/Short Term Debt 300 - - -  Current Port. of LT Debt/Capital Leases 11 8 7 7.72  Other Current liabilities, Total 707 401 378 503.58","Accounts Payable 1792 1825 1612 1898.05  Payable/Accrued - - - -  Accrued Expenses 307 243 228 210.81  Notes Payable/Short Term Debt 300 - - -  Current Port. of LT Debt/Capital Leases 11 8 7 7.72  Other Current liabilities, Total 707 401 378 503.58","Accounts Payable 1792 1825 1612 1898.05  Payable/Accrued - - - -  Accrued Expenses 307 243 228 210.81  Notes Payable/Short Term Debt 300 - - -  Current Port. of LT Debt/Capital Leases 11 8 7 7.72  Other Current liabilities, Total 707 401 378 503.58","Accounts Payable 1792 1825 1612 1898.05  Payable/Accrued - - - -  Accrued Expenses 307 243 228 210.81  Notes Payable/Short Term Debt 300 - - -  Current Port. of LT Debt/Capital Leases 11 8 7 7.72  Other Current liabilities, Total 707 401 378 503.58"
Accounts Payable,1792,1825,1612,1898.05
Payable/Accrued,-,-,-,-
Accrued Expenses,307,243,228,210.81
Notes Payable/Short Term Debt,300,-,-,-
Current Port. of LT Debt/Capital Leases,11,8,7,7.72
"Other Current liabilities, Total",707,401,378,503.58
Total Liabilities,3517,2854,2591,2984.27
"Total Long Term Debt 31 25 25 32.44  Long Term Debt - - - -  Capital Lease Obligations 31 25 25 32.44  Deferred Income Tax - - - -  Minority Interest - - - -  Other Liabilities, Total 69 352 341 331.68","Total Long Term Debt 31 25 25 32.44  Long Term Debt - - - -  Capital Lease Obligations 31 25 25 32.44  Deferred Income Tax - - - -  Minority Interest - - - -  Other Liabilities, Total 69 352 341 331.68","Total Long Term Debt 31 25 25 32.44  Long Term Debt - - - -  Capital Lease Obligations 31 25 25 32.44  Deferred Income Tax - - - -  Minority Interest - - - -  Other Liabilities, Total 69 352 341 331.68","Total Long Term Debt 31 25 25 32.44  Long Term Debt - - - -  Capital Lease Obligations 31 25 25 32.44  Deferred Income Tax - - - -  Minority Interest - - - -  Other Liabilities, Total 69 352 341 331.68","Total Long Term Debt 31 25 25 32.44  Long Term Debt - - - -  Capital Lease Obligations 31 25 25 32.44  Deferred Income Tax - - - -  Minority Interest - - - -  Other Liabilities, Total 69 352 341 331.68"
Total Long Term Debt,31,25,25,32.44
Long Term Debt,-,-,-,-
Capital Lease Obligations,31,25,25,32.44
Deferred Income Tax,-,-,-,-
Minority Interest,-,-,-,-
"Other Liabilities, Total",69,352,341,331.68
Total Equity,9309,8669,8265,8007.95
