Period Ending:,202230/09,202130/09,202030/09,201930/09
Total Current Assets,1779,2359.07,1478.63,2436.3
"Cash and Short Term Investments 630 1635.25 945.13 1288.51  Cash - - - -  Cash & Equivalents 630 1635.25 945.13 1288.51  Short Term Investments - - - -  Total Receivables, Net 428 153.71 235.05 970.49  Accounts Receivables - Trade, Net 428 151.12 216.28 883.36  Total Inventory 599 467.79 51.73 26.53  Prepaid Expenses - 8.44 198.82 -  Other Current Assets, Total 122 93.88 47.9 150.76","Cash and Short Term Investments 630 1635.25 945.13 1288.51  Cash - - - -  Cash & Equivalents 630 1635.25 945.13 1288.51  Short Term Investments - - - -  Total Receivables, Net 428 153.71 235.05 970.49  Accounts Receivables - Trade, Net 428 151.12 216.28 883.36  Total Inventory 599 467.79 51.73 26.53  Prepaid Expenses - 8.44 198.82 -  Other Current Assets, Total 122 93.88 47.9 150.76","Cash and Short Term Investments 630 1635.25 945.13 1288.51  Cash - - - -  Cash & Equivalents 630 1635.25 945.13 1288.51  Short Term Investments - - - -  Total Receivables, Net 428 153.71 235.05 970.49  Accounts Receivables - Trade, Net 428 151.12 216.28 883.36  Total Inventory 599 467.79 51.73 26.53  Prepaid Expenses - 8.44 198.82 -  Other Current Assets, Total 122 93.88 47.9 150.76","Cash and Short Term Investments 630 1635.25 945.13 1288.51  Cash - - - -  Cash & Equivalents 630 1635.25 945.13 1288.51  Short Term Investments - - - -  Total Receivables, Net 428 153.71 235.05 970.49  Accounts Receivables - Trade, Net 428 151.12 216.28 883.36  Total Inventory 599 467.79 51.73 26.53  Prepaid Expenses - 8.44 198.82 -  Other Current Assets, Total 122 93.88 47.9 150.76","Cash and Short Term Investments 630 1635.25 945.13 1288.51  Cash - - - -  Cash & Equivalents 630 1635.25 945.13 1288.51  Short Term Investments - - - -  Total Receivables, Net 428 153.71 235.05 970.49  Accounts Receivables - Trade, Net 428 151.12 216.28 883.36  Total Inventory 599 467.79 51.73 26.53  Prepaid Expenses - 8.44 198.82 -  Other Current Assets, Total 122 93.88 47.9 150.76"
Cash and Short Term Investments,630,1635.25,945.13,1288.51
Cash,-,-,-,-
Cash & Equivalents,630,1635.25,945.13,1288.51
Short Term Investments,-,-,-,-
"Total Receivables, Net",428,153.71,235.05,970.49
"Accounts Receivables - Trade, Net",428,151.12,216.28,883.36
Total Inventory,599,467.79,51.73,26.53
Prepaid Expenses,-,8.44,198.82,-
"Other Current Assets, Total",122,93.88,47.9,150.76
Total Assets,3222,2949.3,2248.39,3429.11
"Property/Plant/Equipment, Total - Net 1054 341.03 342.41 464.67  Property/Plant/Equipment, Total - Gross - 431.11 417.92 531  Accumulated Depreciation, Total - -90.08 -75.51 -66.33  Goodwill, Net - - - -  Intangibles, Net 56 72.23 78.59 58.73  Long Term Investments 331 119.74 210.01 229.54  Note Receivable - Long Term - - 153 -  Other Long Term Assets, Total 2 57.22 -14.25 239.88  Other Assets, Total 293 - - -","Property/Plant/Equipment, Total - Net 1054 341.03 342.41 464.67  Property/Plant/Equipment, Total - Gross - 431.11 417.92 531  Accumulated Depreciation, Total - -90.08 -75.51 -66.33  Goodwill, Net - - - -  Intangibles, Net 56 72.23 78.59 58.73  Long Term Investments 331 119.74 210.01 229.54  Note Receivable - Long Term - - 153 -  Other Long Term Assets, Total 2 57.22 -14.25 239.88  Other Assets, Total 293 - - -","Property/Plant/Equipment, Total - Net 1054 341.03 342.41 464.67  Property/Plant/Equipment, Total - Gross - 431.11 417.92 531  Accumulated Depreciation, Total - -90.08 -75.51 -66.33  Goodwill, Net - - - -  Intangibles, Net 56 72.23 78.59 58.73  Long Term Investments 331 119.74 210.01 229.54  Note Receivable - Long Term - - 153 -  Other Long Term Assets, Total 2 57.22 -14.25 239.88  Other Assets, Total 293 - - -","Property/Plant/Equipment, Total - Net 1054 341.03 342.41 464.67  Property/Plant/Equipment, Total - Gross - 431.11 417.92 531  Accumulated Depreciation, Total - -90.08 -75.51 -66.33  Goodwill, Net - - - -  Intangibles, Net 56 72.23 78.59 58.73  Long Term Investments 331 119.74 210.01 229.54  Note Receivable - Long Term - - 153 -  Other Long Term Assets, Total 2 57.22 -14.25 239.88  Other Assets, Total 293 - - -","Property/Plant/Equipment, Total - Net 1054 341.03 342.41 464.67  Property/Plant/Equipment, Total - Gross - 431.11 417.92 531  Accumulated Depreciation, Total - -90.08 -75.51 -66.33  Goodwill, Net - - - -  Intangibles, Net 56 72.23 78.59 58.73  Long Term Investments 331 119.74 210.01 229.54  Note Receivable - Long Term - - 153 -  Other Long Term Assets, Total 2 57.22 -14.25 239.88  Other Assets, Total 293 - - -"
"Property/Plant/Equipment, Total - Net",1054,341.03,342.41,464.67
"Property/Plant/Equipment, Total - Gross",-,431.11,417.92,531
"Accumulated Depreciation, Total",-,-90.08,-75.51,-66.33
"Goodwill, Net",-,-,-,-
"Intangibles, Net",56,72.23,78.59,58.73
Long Term Investments,331,119.74,210.01,229.54
Note Receivable - Long Term,-,-,153,-
"Other Long Term Assets, Total",2,57.22,-14.25,239.88
"Other Assets, Total",293,-,-,-
Total Current Liabilities,554,246.9,285.49,463.69
"Accounts Payable 291 68.08 61.85 159.38  Payable/Accrued - - - -  Accrued Expenses - - - -  Notes Payable/Short Term Debt 50 50 50 50  Current Port. of LT Debt/Capital Leases 17 31.43 31.5 111.35  Other Current liabilities, Total 196 97.39 142.14 142.96","Accounts Payable 291 68.08 61.85 159.38  Payable/Accrued - - - -  Accrued Expenses - - - -  Notes Payable/Short Term Debt 50 50 50 50  Current Port. of LT Debt/Capital Leases 17 31.43 31.5 111.35  Other Current liabilities, Total 196 97.39 142.14 142.96","Accounts Payable 291 68.08 61.85 159.38  Payable/Accrued - - - -  Accrued Expenses - - - -  Notes Payable/Short Term Debt 50 50 50 50  Current Port. of LT Debt/Capital Leases 17 31.43 31.5 111.35  Other Current liabilities, Total 196 97.39 142.14 142.96","Accounts Payable 291 68.08 61.85 159.38  Payable/Accrued - - - -  Accrued Expenses - - - -  Notes Payable/Short Term Debt 50 50 50 50  Current Port. of LT Debt/Capital Leases 17 31.43 31.5 111.35  Other Current liabilities, Total 196 97.39 142.14 142.96","Accounts Payable 291 68.08 61.85 159.38  Payable/Accrued - - - -  Accrued Expenses - - - -  Notes Payable/Short Term Debt 50 50 50 50  Current Port. of LT Debt/Capital Leases 17 31.43 31.5 111.35  Other Current liabilities, Total 196 97.39 142.14 142.96"
Accounts Payable,291,68.08,61.85,159.38
Payable/Accrued,-,-,-,-
Accrued Expenses,-,-,-,-
Notes Payable/Short Term Debt,50,50,50,50
Current Port. of LT Debt/Capital Leases,17,31.43,31.5,111.35
"Other Current liabilities, Total",196,97.39,142.14,142.96
Total Liabilities,590,304.95,363.95,1526.7
"Total Long Term Debt 29 53.97 73.91 1060.01  Long Term Debt 29 53.97 73.91 1060.01  Capital Lease Obligations - - - -  Deferred Income Tax - - - -  Minority Interest - - - -  Other Liabilities, Total -139.54 4.08 4.55 3","Total Long Term Debt 29 53.97 73.91 1060.01  Long Term Debt 29 53.97 73.91 1060.01  Capital Lease Obligations - - - -  Deferred Income Tax - - - -  Minority Interest - - - -  Other Liabilities, Total -139.54 4.08 4.55 3","Total Long Term Debt 29 53.97 73.91 1060.01  Long Term Debt 29 53.97 73.91 1060.01  Capital Lease Obligations - - - -  Deferred Income Tax - - - -  Minority Interest - - - -  Other Liabilities, Total -139.54 4.08 4.55 3","Total Long Term Debt 29 53.97 73.91 1060.01  Long Term Debt 29 53.97 73.91 1060.01  Capital Lease Obligations - - - -  Deferred Income Tax - - - -  Minority Interest - - - -  Other Liabilities, Total -139.54 4.08 4.55 3","Total Long Term Debt 29 53.97 73.91 1060.01  Long Term Debt 29 53.97 73.91 1060.01  Capital Lease Obligations - - - -  Deferred Income Tax - - - -  Minority Interest - - - -  Other Liabilities, Total -139.54 4.08 4.55 3"
Total Long Term Debt,29,53.97,73.91,1060.01
Long Term Debt,29,53.97,73.91,1060.01
Capital Lease Obligations,-,-,-,-
Deferred Income Tax,-,-,-,-
Minority Interest,-,-,-,-
"Other Liabilities, Total",-139.54,4.08,4.55,3
Total Equity,2632,2644.35,1884.44,1902.42
