Period Ending:,202230/06,202130/06,202030/06,201930/06
Total Current Assets,5029,3542,3514.74,3894.37
"Cash and Short Term Investments 2721 1517 1893.95 2355.11  Cash - - - -  Cash & Equivalents 2721 1517 1893.95 2355.11  Short Term Investments - - - -  Total Receivables, Net 1326 1046 784.77 825.47  Accounts Receivables - Trade, Net 1326 1046 667.39 667.65  Total Inventory 774 777 593.53 591.7  Prepaid Expenses 189 190 236.11 116.76  Other Current Assets, Total 19 12 6.38 5.32","Cash and Short Term Investments 2721 1517 1893.95 2355.11  Cash - - - -  Cash & Equivalents 2721 1517 1893.95 2355.11  Short Term Investments - - - -  Total Receivables, Net 1326 1046 784.77 825.47  Accounts Receivables - Trade, Net 1326 1046 667.39 667.65  Total Inventory 774 777 593.53 591.7  Prepaid Expenses 189 190 236.11 116.76  Other Current Assets, Total 19 12 6.38 5.32","Cash and Short Term Investments 2721 1517 1893.95 2355.11  Cash - - - -  Cash & Equivalents 2721 1517 1893.95 2355.11  Short Term Investments - - - -  Total Receivables, Net 1326 1046 784.77 825.47  Accounts Receivables - Trade, Net 1326 1046 667.39 667.65  Total Inventory 774 777 593.53 591.7  Prepaid Expenses 189 190 236.11 116.76  Other Current Assets, Total 19 12 6.38 5.32","Cash and Short Term Investments 2721 1517 1893.95 2355.11  Cash - - - -  Cash & Equivalents 2721 1517 1893.95 2355.11  Short Term Investments - - - -  Total Receivables, Net 1326 1046 784.77 825.47  Accounts Receivables - Trade, Net 1326 1046 667.39 667.65  Total Inventory 774 777 593.53 591.7  Prepaid Expenses 189 190 236.11 116.76  Other Current Assets, Total 19 12 6.38 5.32","Cash and Short Term Investments 2721 1517 1893.95 2355.11  Cash - - - -  Cash & Equivalents 2721 1517 1893.95 2355.11  Short Term Investments - - - -  Total Receivables, Net 1326 1046 784.77 825.47  Accounts Receivables - Trade, Net 1326 1046 667.39 667.65  Total Inventory 774 777 593.53 591.7  Prepaid Expenses 189 190 236.11 116.76  Other Current Assets, Total 19 12 6.38 5.32"
Cash and Short Term Investments,2721,1517,1893.95,2355.11
Cash,-,-,-,-
Cash & Equivalents,2721,1517,1893.95,2355.11
Short Term Investments,-,-,-,-
"Total Receivables, Net",1326,1046,784.77,825.47
"Accounts Receivables - Trade, Net",1326,1046,667.39,667.65
Total Inventory,774,777,593.53,591.7
Prepaid Expenses,189,190,236.11,116.76
"Other Current Assets, Total",19,12,6.38,5.32
Total Assets,11858,9186,8554.07,7838.52
